,country,region_name,nuts_code,year_week,rate_14_day_per_100k,source
0,Austria,Burgenland,AT11,2020-W13,,"Epidemic intelligence, subnational weekly data"
1,Austria,Burgenland,AT11,2020-W14,38.3784591558098,"Epidemic intelligence, subnational weekly data"
2,Austria,Burgenland,AT11,2020-W15,37.0199296281705,"Epidemic intelligence, subnational weekly data"
3,Austria,Burgenland,AT11,2020-W16,27.8498553166053,"Epidemic intelligence, subnational weekly data"
4,Austria,Burgenland,AT11,2020-W17,13.924927658302698,"Epidemic intelligence, subnational weekly data"
5,Austria,Burgenland,AT11,2020-W18,6.4530152562866,"Epidemic intelligence, subnational weekly data"
6,Austria,Burgenland,AT11,2020-W19,3.7359562010080296,"Epidemic intelligence, subnational weekly data"
7,Austria,Burgenland,AT11,2020-W20,3.0566914371883898,"Epidemic intelligence, subnational weekly data"
8,Austria,Burgenland,AT11,2020-W21,2.71705905527857,"Epidemic intelligence, subnational weekly data"
9,Austria,Burgenland,AT11,2020-W22,1.35852952763928,"Epidemic intelligence, subnational weekly data"
10,Austria,Burgenland,AT11,2020-W23,0.6792647638196421,"Epidemic intelligence, subnational weekly data"
11,Austria,Burgenland,AT11,2020-W24,0.33963238190982104,"Epidemic intelligence, subnational weekly data"
12,Austria,Burgenland,AT11,2020-W25,2.37742667336875,"Epidemic intelligence, subnational weekly data"
13,Austria,Burgenland,AT11,2020-W26,3.39632381909821,"Epidemic intelligence, subnational weekly data"
14,Austria,Burgenland,AT11,2020-W27,4.75485334673749,"Epidemic intelligence, subnational weekly data"
15,Austria,Burgenland,AT11,2020-W28,7.471912402016059,"Epidemic intelligence, subnational weekly data"
16,Austria,Burgenland,AT11,2020-W29,8.83044192965534,"Epidemic intelligence, subnational weekly data"
17,Austria,Burgenland,AT11,2020-W30,11.2078686030241,"Epidemic intelligence, subnational weekly data"
18,Austria,Burgenland,AT11,2020-W31,11.2078686030241,"Epidemic intelligence, subnational weekly data"
19,Austria,Burgenland,AT11,2020-W32,7.81154478392588,"Epidemic intelligence, subnational weekly data"
20,Austria,Burgenland,AT11,2020-W33,7.471912402016059,"Epidemic intelligence, subnational weekly data"
21,Austria,Burgenland,AT11,2020-W34,15.962721949761601,"Epidemic intelligence, subnational weekly data"
22,Austria,Burgenland,AT11,2020-W35,23.4346343517776,"Epidemic intelligence, subnational weekly data"
23,Austria,Burgenland,AT11,2020-W36,27.8498553166053,"Epidemic intelligence, subnational weekly data"
24,Austria,Burgenland,AT11,2020-W37,35.321767718621395,"Epidemic intelligence, subnational weekly data"
25,Austria,Burgenland,AT11,2020-W38,52.6430191960222,"Epidemic intelligence, subnational weekly data"
26,Austria,Burgenland,AT11,2020-W39,72.68132972870171,"Epidemic intelligence, subnational weekly data"
27,Austria,Burgenland,AT11,2020-W40,89.3233164422829,"Epidemic intelligence, subnational weekly data"
28,Austria,Burgenland,AT11,2020-W41,124.30545177899401,"Epidemic intelligence, subnational weekly data"
29,Austria,Burgenland,AT11,2020-W42,152.49493947751,"Epidemic intelligence, subnational weekly data"
30,Austria,Burgenland,AT11,2020-W43,285.970465568069,"Epidemic intelligence, subnational weekly data"
31,Austria,Burgenland,AT11,2020-W44,520.656441467755,"Epidemic intelligence, subnational weekly data"
32,Austria,Burgenland,AT11,2020-W45,749.568666874975,"Epidemic intelligence, subnational weekly data"
33,Austria,Burgenland,AT11,2020-W46,939.762800744474,"Epidemic intelligence, subnational weekly data"
34,Austria,Burgenland,AT11,2020-W47,823.6085261313161,"Epidemic intelligence, subnational weekly data"
35,Austria,Burgenland,AT11,2020-W48,622.5461560407019,"Epidemic intelligence, subnational weekly data"
36,Austria,Burgenland,AT11,2020-W49,445.59768506568497,"Epidemic intelligence, subnational weekly data"
37,Austria,Burgenland,AT11,2020-W50,294.800907497724,"Epidemic intelligence, subnational weekly data"
38,Austria,Burgenland,AT11,2020-W51,270.687008382127,"Epidemic intelligence, subnational weekly data"
39,Austria,Burgenland,AT11,2020-W52,219.402518713744,"Epidemic intelligence, subnational weekly data"
40,Austria,Burgenland,AT11,2020-W53,250.648697849448,"Epidemic intelligence, subnational weekly data"
41,Austria,Burgenland,AT11,2021-W01,279.177817929873,"Epidemic intelligence, subnational weekly data"
42,Austria,Burgenland,AT11,2021-W02,238.082299718784,"Epidemic intelligence, subnational weekly data"
43,Austria,Burgenland,AT11,2021-W03,212.270238693638,"Epidemic intelligence, subnational weekly data"
44,Austria,Burgenland,AT11,2021-W04,201.402002472524,"Epidemic intelligence, subnational weekly data"
45,Austria,Burgenland,AT11,2021-W05,201.06237009061402,"Epidemic intelligence, subnational weekly data"
46,Austria,Burgenland,AT11,2021-W06,211.590973929818,"Epidemic intelligence, subnational weekly data"
47,Austria,Burgenland,AT11,2021-W07,270.347376000217,"Epidemic intelligence, subnational weekly data"
48,Austria,Burgenland,AT11,2021-W08,346.764661929927,"Epidemic intelligence, subnational weekly data"
49,Austria,Burgenland,AT11,2021-W09,422.84231547772697,"Epidemic intelligence, subnational weekly data"
50,Austria,Burgenland,AT11,2021-W10,505.033351899904,"Epidemic intelligence, subnational weekly data"
51,Austria,Karnten,AT21,2020-W13,,"Epidemic intelligence, subnational weekly data"
52,Austria,Karnten,AT21,2020-W14,24.2297694786858,"Epidemic intelligence, subnational weekly data"
53,Austria,Karnten,AT21,2020-W15,25.298729896863104,"Epidemic intelligence, subnational weekly data"
54,Austria,Karnten,AT21,2020-W16,14.787285784786198,"Epidemic intelligence, subnational weekly data"
55,Austria,Karnten,AT21,2020-W17,3.9195215333168196,"Epidemic intelligence, subnational weekly data"
56,Austria,Karnten,AT21,2020-W18,1.60344062726597,"Epidemic intelligence, subnational weekly data"
57,Austria,Karnten,AT21,2020-W19,0.178160069696219,"Epidemic intelligence, subnational weekly data"
58,Austria,Karnten,AT21,2020-W20,0.0,"Epidemic intelligence, subnational weekly data"
59,Austria,Karnten,AT21,2020-W21,0.35632013939243895,"Epidemic intelligence, subnational weekly data"
60,Austria,Karnten,AT21,2020-W22,0.8908003484810959,"Epidemic intelligence, subnational weekly data"
61,Austria,Karnten,AT21,2020-W23,0.35632013939243895,"Epidemic intelligence, subnational weekly data"
