sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
male,CH,202009,39,39,0.696,69.6,4268863,0.91,0.91,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202009,17,17,0.304,30.4,4337170,0.39,0.39,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202009,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202010,187,226,0.497,49.7,4268863,4.38,5.29,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-10,148,3.47,379.5,-19.89999999999999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202010,189,206,0.503,50.3,4337170,4.36,4.75,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-10,172,3.97,1011.8,19.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202010,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-10,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202011,1119,1345,0.494,49.4,4268863,26.21,31.51,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-11,932,21.83,498.4,-0.30000000000000426,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202011,1145,1351,0.505,50.5,4337170,26.4,31.15,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-11,956,22.04,505.8,0.20000000000000284,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202011,2,2,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-11,2,NA,NA,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202012,3176,4521,0.484,48.4,4268863,74.4,105.91,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-12,2057,48.19,183.8,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202012,3380,4731,0.515,51.5,4337170,77.93,109.08,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-12,2235,51.53,195.2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202012,3,5,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-12,1,NA,50,-0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202013,3409,7930,0.464,46.400000000000006,4268863,79.86,185.76,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-13,233,5.46,7.3,-1.999999999999993,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202013,3927,8658,0.535,53.5,4337170,90.54,199.62,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-13,547,12.61,16.2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202013,9,14,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-13,6,NA,200,0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202014,2700,10630,0.448,44.800000000000004,4268863,63.25,249.01,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-14,-709,-16.61,-20.8,-1.6000000000000014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202014,3323,11981,0.551,55.1,4337170,76.62,276.24,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-14,-604,-13.92,-15.4,1.6000000000000014,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202014,4,18,0.001,0.1,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-14,-5,NA,-55.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202015,1528,12158,0.425,42.5,4268863,35.79,284.81,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-15,-1172,-27.46,-43.4,-2.3000000000000043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202015,2070,14051,0.575,57.49999999999999,4337170,47.73,323.97,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-15,-1253,-28.89,-37.7,2.3999999999999915,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202015,1,19,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-15,-3,NA,-75,-0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202016,713,12871,0.388,38.800000000000004,4268863,16.7,301.51,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-16,-815,-19.09,-53.3,-3.6999999999999957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202016,1127,15178,0.613,61.3,4337170,25.98,349.95,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-16,-943,-21.75,-45.6,3.8000000000000043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202016,0,19,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-16,-1,NA,-100,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202017,496,13367,0.425,42.5,4268863,11.62,313.13,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-17,-217,-5.08,-30.4,3.6999999999999957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
female,CH,202017,671,15849,0.575,57.49999999999999,4337170,15.47,365.42,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-17,-456,-10.51,-40.5,-3.8000000000000043,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
unknown,CH,202017,0,19,0,0,NA,NA,NA,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-17,0,NA,NA,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
male,CH,202018,300,13667,0.429,42.9,4268863,7.03,320.16,COVID19Cases,sex,2021-06-25_07-49-37,isoweek,2020-18,-196,-4.59,-39.5,0.3999999999999986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
