geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH,202009,0,0,NA,NA,8606033,0,0,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-09,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202010,3,3,1,100,8606033,0.03,0.03,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-10,3,0.03,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202011,25,28,1,100,8606033,0.29,0.33,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-11,22,0.26,733.3,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202012,99,127,1,100,8606033,1.15,1.48,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-12,74,0.86,296,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202013,254,381,1,100,8606033,2.95,4.43,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-13,155,1.8,156.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202014,384,765,1,100,8606033,4.46,8.89,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-14,130,1.51,51.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202015,343,1108,1,100,8606033,3.99,12.87,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-15,-41,-0.47,-10.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202016,241,1349,1,100,8606033,2.8,15.68,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-16,-102,-1.19,-29.7,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202017,194,1543,1,100,8606033,2.25,17.93,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-17,-47,-0.55,-19.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH,202018,90,1633,1,100,8606033,1.05,18.98,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-18,-104,-1.2,-53.6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
