"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100PersonsTotal","type","version","granularity","freq","prct"
202052,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202053,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202101,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202102,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202103,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202104,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202105,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202106,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202107,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202108,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202109,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202110,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202111,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202112,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202113,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202114,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202115,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202116,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202117,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202118,"AI","0 - 9",0,"altersklasse_covid19",1763,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202052,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202053,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202101,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202102,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202103,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202104,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202105,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202106,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202107,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202108,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202109,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202110,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202111,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202112,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202113,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202114,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202115,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202116,"AI","10 - 19",0,"altersklasse_covid19",1642,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202117,"AI","10 - 19",1,"altersklasse_covid19",1642,1,0.06,0.06,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.002,0.2
202118,"AI","10 - 19",1,"altersklasse_covid19",1642,2,0.06,0.12,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.003,0.3
202052,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202053,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202101,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202102,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202103,"AI","20 - 29",0,"altersklasse_covid19",2104,0,0,0,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202104,"AI","20 - 29",6,"altersklasse_covid19",2104,6,0.29,0.29,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.065,6.5
202105,"AI","20 - 29",1,"altersklasse_covid19",2104,7,0.05,0.33,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.003,0.3
202106,"AI","20 - 29",0,"altersklasse_covid19",2104,7,0,0.33,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202107,"AI","20 - 29",9,"altersklasse_covid19",2104,16,0.43,0.76,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.024,2.4
202108,"AI","20 - 29",0,"altersklasse_covid19",2104,16,0,0.76,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202109,"AI","20 - 29",0,"altersklasse_covid19",2104,16,0,0.76,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",NA,NA
202110,"AI","20 - 29",1,"altersklasse_covid19",2104,17,0.05,0.81,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.011,1.1
202111,"AI","20 - 29",0,"altersklasse_covid19",2104,17,0,0.81,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202112,"AI","20 - 29",1,"altersklasse_covid19",2104,18,0.05,0.86,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.012,1.2
202113,"AI","20 - 29",0,"altersklasse_covid19",2104,18,0,0.86,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202114,"AI","20 - 29",0,"altersklasse_covid19",2104,18,0,0.86,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202115,"AI","20 - 29",0,"altersklasse_covid19",2104,18,0,0.86,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202116,"AI","20 - 29",0,"altersklasse_covid19",2104,18,0,0.86,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0,0
202117,"AI","20 - 29",4,"altersklasse_covid19",2104,22,0.19,1.05,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.007,0.7
202118,"AI","20 - 29",1,"altersklasse_covid19",2104,23,0.05,1.09,"COVID19FullyVaccPersons","2021-05-11_09-25-50","detailed",0.003,0.3
