date,geoRegion,indication,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202052,AG,age,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202053,AG,age,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202101,AG,age,3,indication,685845,3,0,0.75,75,75,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202102,AG,age,0,indication,685845,3,0,0,0,37.5,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202103,AG,age,5,indication,685845,8,0,0.026,2.6,4,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202104,AG,age,455,indication,685845,463,0.1,0.577,57.699999999999996,46.7,0.07,0.07,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202105,AG,age,1507,indication,685845,1970,0.3,0.58,57.99999999999999,54.900000000000006,0.22,0.29,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202106,AG,age,1381,indication,685845,3351,0.5,0.567,56.699999999999996,55.60000000000001,0.2,0.49,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202107,AG,age,3333,indication,685845,6684,1,0.64,64,59.5,0.49,0.97,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202108,AG,age,3417,indication,685845,10101,1.5,0.532,53.2,57.199999999999996,0.5,1.47,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202109,AG,age,2720,indication,685845,12821,1.9,0.461,46.1,54.400000000000006,0.4,1.87,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202110,AG,age,1804,indication,685845,14625,2.1,0.355,35.5,51.1,0.26,2.13,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202111,AG,age,1988,indication,685845,16613,2.4,0.361,36.1,48.699999999999996,0.29,2.42,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202112,AG,age,4272,indication,685845,20885,3,0.494,49.4,48.8,0.62,3.05,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202113,AG,age,3364,indication,685845,24249,3.5,0.534,53.400000000000006,49.4,0.49,3.54,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202114,AG,age,3828,indication,685845,28077,4.1,0.446,44.6,48.699999999999996,0.56,4.09,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202115,AG,age,1908,indication,685845,29985,4.4,0.307,30.7,46.9,0.28,4.37,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202116,AG,age,2200,indication,685845,32185,4.7,0.28,28.000000000000004,44.9,0.32,4.69,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202117,AG,age,1442,indication,685845,33627,4.9,0.153,15.299999999999999,41.4,0.21,4.9,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202118,AG,age,2293,indication,685845,35920,5.2,0.197,19.7,38.7,0.33,5.24,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202119,AG,age,1690,indication,685845,37610,5.5,0.119,11.899999999999999,35.099999999999994,0.25,5.48,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202120,AG,age,1369,indication,685845,38979,5.7,0.064,6.4,30.4,0.2,5.68,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202121,AG,age,756,indication,685845,39735,5.8,0.045,4.5,27.400000000000002,0.11,5.79,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202122,AG,age,1984,indication,685845,41719,6.1,0.078,7.8,24.5,0.29,6.08,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202123,AG,age,1530,indication,685845,43249,6.3,0.082,8.200000000000001,22.900000000000002,0.22,6.31,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202124,AG,age,1424,indication,685845,44673,6.5,0.087,8.7,21.7,0.21,6.51,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202052,AG,chronic_disease,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202053,AG,chronic_disease,0,indication,685845,0,0,NA,NA,NA,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202101,AG,chronic_disease,1,indication,685845,1,0,0.25,25,25,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202102,AG,chronic_disease,0,indication,685845,1,0,0,0,12.5,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202103,AG,chronic_disease,9,indication,685845,10,0,0.046,4.6,5,0,0,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202104,AG,chronic_disease,93,indication,685845,103,0,0.118,11.799999999999999,10.4,0.01,0.02,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202105,AG,chronic_disease,467,indication,685845,570,0.1,0.18,18,15.9,0.07,0.08,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202106,AG,chronic_disease,435,indication,685845,1005,0.1,0.179,17.9,16.7,0.06,0.15,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202107,AG,chronic_disease,1045,indication,685845,2050,0.3,0.201,20.1,18.3,0.15,0.3,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202108,AG,chronic_disease,1528,indication,685845,3578,0.5,0.238,23.799999999999997,20.3,0.22,0.52,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202109,AG,chronic_disease,1668,indication,685845,5246,0.8,0.283,28.299999999999997,22.3,0.24,0.76,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202110,AG,chronic_disease,1365,indication,685845,6611,1,0.269,26.900000000000002,23.1,0.2,0.96,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202111,AG,chronic_disease,1658,indication,685845,8269,1.2,0.301,30.099999999999998,24.2,0.24,1.21,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202112,AG,chronic_disease,2709,indication,685845,10978,1.6,0.313,31.3,25.7,0.39,1.6,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202113,AG,chronic_disease,1962,indication,685845,12940,1.9,0.312,31.2,26.400000000000002,0.29,1.89,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202114,AG,chronic_disease,3097,indication,685845,16037,2.3,0.361,36.1,27.800000000000004,0.45,2.34,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202115,AG,chronic_disease,2226,indication,685845,18263,2.7,0.358,35.8,28.599999999999998,0.32,2.66,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202116,AG,chronic_disease,3005,indication,685845,21268,3.1,0.383,38.3,29.599999999999998,0.44,3.1,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202117,AG,chronic_disease,3177,indication,685845,24445,3.6,0.337,33.7,30.099999999999998,0.46,3.56,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202118,AG,chronic_disease,4022,indication,685845,28467,4.2,0.345,34.5,30.7,0.59,4.15,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202119,AG,chronic_disease,4133,indication,685845,32600,4.8,0.29,28.999999999999996,30.4,0.6,4.75,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202120,AG,chronic_disease,7509,indication,685845,40109,5.8,0.352,35.199999999999996,31.2,1.09,5.85,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
202121,AG,chronic_disease,5063,indication,685845,45172,6.6,0.301,30.099999999999998,31.1,0.74,6.59,COVID19FullyVaccPersons,2021-06-25_09-42-12,detailed
