"date","geoRegion","sex","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202052,"AI","male",0,"sex",8303,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AI","male",0,"sex",8303,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"AI","male",0,"sex",8303,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AI","male",0,"sex",8303,0,0,0.32,0,26.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AI","male",0,"sex",8303,0,0,0.48,0,40,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"AI","male",28,"sex",8303,28,0.34,0.81,0.34,67,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.304,30.4
202105,"AI","male",157,"sex",8303,185,1.89,0.85,2.23,70.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.52,52
202106,"AI","male",95,"sex",8303,280,1.14,0.85,3.37,70.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.495,49.5
202107,"AI","male",189,"sex",8303,469,2.28,0.93,5.65,77,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.495,49.5
202108,"AI","male",26,"sex",8303,495,0.31,NA,5.96,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.491,49.1
202109,"AI","male",1,"sex",8303,496,0.01,NA,5.97,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202110,"AI","male",43,"sex",8303,539,0.52,NA,6.49,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.453,45.3
202052,"AI","female",0,"sex",7825,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AI","female",0,"sex",7825,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"AI","female",0,"sex",7825,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AI","female",0,"sex",7825,0,0,0.38,0,29.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AI","female",0,"sex",7825,0,0,0.56,0,43.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"AI","female",64,"sex",7825,64,0.82,0.91,0.82,71.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.696,69.6
202105,"AI","female",145,"sex",7825,209,1.85,0.96,2.67,75.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.48,48
202106,"AI","female",97,"sex",7825,306,1.24,0.96,3.91,75.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.505,50.5
202107,"AI","female",193,"sex",7825,499,2.47,1.06,6.38,82.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.505,50.5
202108,"AI","female",27,"sex",7825,526,0.35,NA,6.72,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.509,50.9
202109,"AI","female",0,"sex",7825,526,0,NA,6.72,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202110,"AI","female",52,"sex",7825,578,0.66,NA,7.39,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.547,54.7
202052,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202105,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202106,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202107,"AI","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202108,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202109,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202110,"AI","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202052,"AR","male",0,"sex",27938,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AR","male",1,"sex",27938,1,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202101,"AR","male",0,"sex",27938,1,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AR","male",0,"sex",27938,1,0,0.1,0,27.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AR","male",1,"sex",27938,2,0,0.13,0.01,36.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202104,"AR","male",190,"sex",27938,192,0.68,0.42,0.69,117.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.315,31.5
202105,"AR","male",0,"sex",27938,192,0,0.59,0.69,164.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202106,"AR","male",64,"sex",27938,256,0.23,0.7,0.92,194.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.286,28.6
202107,"AR","male",568,"sex",27938,824,2.03,0.7,2.95,196.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.523,52.3
202108,"AR","male",326,"sex",27938,1150,1.17,NA,4.12,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.535,53.5
202109,"AR","male",211,"sex",27938,1361,0.76,NA,4.87,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.504,50.4
202110,"AR","male",15,"sex",27938,1376,0.05,NA,4.93,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.319,31.9
202052,"AR","female",0,"sex",27507,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AR","female",0,"sex",27507,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202101,"AR","female",0,"sex",27507,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AR","female",0,"sex",27507,0,0,0.21,0,59,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AR","female",0,"sex",27507,0,0,0.3,0,81.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202104,"AR","female",413,"sex",27507,413,1.5,0.57,1.5,155.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.685,68.5
202105,"AR","female",0,"sex",27507,413,0,0.71,1.5,196.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202106,"AR","female",160,"sex",27507,573,0.58,0.82,2.08,226,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.714,71.4
202107,"AR","female",518,"sex",27507,1091,1.88,0.84,3.97,230.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.477,47.7
202108,"AR","female",283,"sex",27507,1374,1.03,NA,5,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.465,46.5
202109,"AR","female",208,"sex",27507,1582,0.76,NA,5.75,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.496,49.6
202110,"AR","female",32,"sex",27507,1614,0.12,NA,5.87,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.681,68.1
202052,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202101,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202104,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202105,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202106,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202107,"AR","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202108,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202109,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202110,"AR","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202052,"BE","male",0,"sex",510170,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"BE","male",0,"sex",510170,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"BE","male",0,"sex",510170,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"BE","male",0,"sex",510170,0,0,0,0,0.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"BE","male",0,"sex",510170,0,0,0.06,0,290.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"BE","male",0,"sex",510170,0,0,0.17,0,875.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202105,"BE","male",5,"sex",510170,5,0,0.31,0,1564.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.455,45.5
202106,"BE","male",2026,"sex",510170,2031,0.4,0.45,0.4,2282.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.445,44.5
202107,"BE","male",4099,"sex",510170,6130,0.8,0.55,1.2,2826.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.43,43
202108,"BE","male",4821,"sex",510170,10951,0.94,NA,2.15,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.454,45.4
202109,"BE","male",5025,"sex",510170,15976,0.98,NA,3.13,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.453,45.3
202110,"BE","male",3808,"sex",510170,19784,0.75,NA,3.88,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.385,38.5
202052,"BE","female",0,"sex",529304,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"BE","female",0,"sex",529304,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"BE","female",0,"sex",529304,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"BE","female",0,"sex",529304,0,0,0,0,1,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"BE","female",0,"sex",529304,0,0,0.07,0,361.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"BE","female",1,"sex",529304,1,0,0.21,0,1136.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202105,"BE","female",6,"sex",529304,7,0,0.37,0,1963.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.545,54.5
202106,"BE","female",2525,"sex",529304,2532,0.48,0.53,0.48,2830.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.554,55.4
202107,"BE","female",5421,"sex",529304,7953,1.02,0.7,1.5,3700.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.569,56.9
202108,"BE","female",5791,"sex",529304,13744,1.09,NA,2.6,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.545,54.5
202109,"BE","female",6069,"sex",529304,19813,1.15,NA,3.74,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.547,54.7
202110,"BE","female",6088,"sex",529304,25901,1.15,NA,4.89,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.615,61.5
202052,"BE","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"BE","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"BE","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"BE","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"BE","unknown",0,"sex",NA,0,NA,NA,NA,0.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"BE","unknown",0,"sex",NA,0,NA,NA,NA,1.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202105,"BE","unknown",0,"sex",NA,0,NA,NA,NA,2.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202106,"BE","unknown",3,"sex",NA,3,NA,NA,NA,3.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.001,0.1
202107,"BE","unknown",8,"sex",NA,11,NA,NA,NA,4.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.001,0.1
202108,"BE","unknown",9,"sex",NA,20,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.001,0.1
202109,"BE","unknown",4,"sex",NA,24,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202110,"BE","unknown",7,"sex",NA,31,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.001,0.1
202052,"FL","male",0,"sex",19215,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"FL","male",0,"sex",19215,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"FL","male",0,"sex",19215,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"FL","male",0,"sex",19215,0,0,0,0,0.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"FL","male",0,"sex",19215,0,0,0.07,0,13.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"FL","male",0,"sex",19215,0,0,0.09,0,17.71,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202105,"FL","male",3,"sex",19215,3,0.02,0.17,0.02,33.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.6,60
202106,"FL","male",93,"sex",19215,96,0.48,0.17,0.5,33.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.286,28.6
202107,"FL","male",28,"sex",19215,124,0.15,0.18,0.65,33.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.237,23.7
202108,"FL","male",109,"sex",19215,233,0.57,NA,1.21,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.293,29.3
202109,"FL","male",0,"sex",19215,233,0,NA,1.21,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202110,"FL","male",1,"sex",19215,234,0.01,NA,1.22,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202052,"FL","female",0,"sex",19532,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"FL","female",0,"sex",19532,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"FL","female",0,"sex",19532,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"FL","female",0,"sex",19532,0,0,0,0,0.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"FL","female",0,"sex",19532,0,0,0.17,0,33.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"FL","female",0,"sex",19532,0,0,0.24,0,46.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202105,"FL","female",2,"sex",19532,2,0.01,0.43,0.01,83.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.4,40
202106,"FL","female",232,"sex",19532,234,1.19,0.43,1.2,83.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.714,71.4
202107,"FL","female",90,"sex",19532,324,0.46,0.43,1.66,83.86,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.763,76.3
202108,"FL","female",263,"sex",19532,587,1.35,NA,3.01,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.707,70.7
202109,"FL","female",0,"sex",19532,587,0,NA,3.01,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202110,"FL","female",0,"sex",19532,587,0,NA,3.01,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202052,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202104,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202105,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202106,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202107,"FL","unknown",0,"sex",NA,0,NA,NA,NA,0,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202108,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202109,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202110,"FL","unknown",0,"sex",NA,0,NA,NA,NA,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202052,"FR","male",0,"sex",161153,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"FR","male",0,"sex",161153,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"FR","male",0,"sex",161153,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"FR","male",0,"sex",161153,0,0,0.04,0,58.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"FR","male",4,"sex",161153,4,0,0.08,0,134.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",1,100
202104,"FR","male",84,"sex",161153,88,0.05,0.19,0.05,307.29,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.264,26.4
202105,"FR","male",322,"sex",161153,410,0.2,0.31,0.25,499.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.257,25.7
202106,"FR","male",531,"sex",161153,941,0.33,0.43,0.58,699.43,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.363,36.3
202107,"FR","male",1210,"sex",161153,2151,0.75,0.48,1.33,774.57,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.448,44.8
202108,"FR","male",1343,"sex",161153,3494,0.83,NA,2.17,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.488,48.8
202109,"FR","male",1402,"sex",161153,4896,0.87,NA,3.04,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.447,44.7
202110,"FR","male",530,"sex",161153,5426,0.33,NA,3.37,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.488,48.8
202052,"FR","female",0,"sex",160630,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202053,"FR","female",0,"sex",160630,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202101,"FR","female",0,"sex",160630,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202102,"FR","female",0,"sex",160630,0,0,0.1,0,166.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",NA,NA
202103,"FR","female",0,"sex",160630,0,0,0.19,0,299.14,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0,0
202104,"FR","female",234,"sex",160630,234,0.15,0.32,0.15,512,"COVID19FullyVaccPersons","2021-03-16_11-15-36","detailed",0.736,73.6
