"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CH",202009,52,52,1,100,8606033,0.6,0.6,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202010,111,163,1,100,8606033,1.29,1.89,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202011,348,511,1,100,8606033,4.04,5.94,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202012,836,1347,1,100,8606033,9.71,15.65,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202013,1161,2508,1,100,8606033,13.49,29.14,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202014,665,3173,1,100,8606033,7.73,36.87,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202015,363,3536,1,100,8606033,4.22,41.09,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202016,218,3754,1,100,8606033,2.53,43.62,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202017,106,3860,1,100,8606033,1.23,44.85,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202018,64,3924,1,100,8606033,0.74,45.6,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202019,31,3955,1,100,8606033,0.36,45.96,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202020,25,3980,1,100,8606033,0.29,46.25,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202021,15,3995,1,100,8606033,0.17,46.42,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202022,19,4014,1,100,8606033,0.22,46.64,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202023,5,4019,1,100,8606033,0.06,46.7,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"CH",202024,7,4026,1,100,8606033,0.08,46.78,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202025,17,4043,1,100,8606033,0.2,46.98,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202026,17,4060,1,100,8606033,0.2,47.18,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202027,38,4098,1,100,8606033,0.44,47.62,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202028,54,4152,1,100,8606033,0.63,48.25,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202029,35,4187,1,100,8606033,0.41,48.65,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202030,58,4245,1,100,8606033,0.67,49.33,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202031,62,4307,1,100,8606033,0.72,50.05,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202032,49,4356,1,100,8606033,0.57,50.62,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202033,53,4409,1,100,8606033,0.62,51.23,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202034,51,4460,1,100,8606033,0.59,51.82,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202035,44,4504,1,100,8606033,0.51,52.34,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202036,72,4576,1,100,8606033,0.84,53.17,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202037,100,4676,1,100,8606033,1.16,54.33,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202038,103,4779,1,100,8606033,1.2,55.53,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202039,110,4889,1,100,8606033,1.28,56.81,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"CH",202040,161,5050,1,100,8606033,1.87,58.68,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202041,272,5322,1,100,8606033,3.16,61.84,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202042,626,5948,1,100,8606033,7.27,69.11,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202043,1175,7123,1,100,8606033,13.65,82.77,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202044,1568,8691,1,100,8606033,18.22,100.99,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202045,1605,10296,1,100,8606033,18.65,119.64,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202046,1460,11756,1,100,8606033,16.96,136.6,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202047,1269,13025,1,100,8606033,14.75,151.35,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202048,1172,14197,1,100,8606033,13.62,164.97,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202049,1127,15324,1,100,8606033,13.1,178.06,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202050,1187,16511,1,100,8606033,13.79,191.85,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202051,1120,17631,1,100,8606033,13.01,204.87,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202052,1078,18709,1,100,8606033,12.53,217.39,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202053,1103,19812,1,100,8606033,12.82,230.21,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202101,924,20736,1,100,8606033,10.74,240.95,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202102,659,21395,1,100,8606033,7.66,248.6,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202103,518,21913,1,100,8606033,6.02,254.62,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202104,434,22347,1,100,8606033,5.04,259.67,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202105,387,22734,1,100,8606033,4.5,264.16,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202106,301,23035,1,100,8606033,3.5,267.66,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202107,288,23323,1,100,8606033,3.35,271.01,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202108,268,23591,1,100,8606033,3.11,274.12,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-08",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202109,312,23903,1,100,8606033,3.63,277.75,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-09",TRUE,TRUE,TRUE,FALSE,FALSE
"CH",202110,333,24236,1,100,8606033,3.87,281.62,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202111,370,24606,1,100,8606033,4.3,285.92,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,FALSE
"CH",202112,384,24990,1,100,8606033,4.46,290.38,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-12",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202113,306,25296,1,100,8606033,3.56,293.93,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-13",TRUE,TRUE,TRUE,TRUE,TRUE
"CH",202114,8,25304,1,100,8606033,0.09,294.03,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2021-14",FALSE,FALSE,FALSE,FALSE,FALSE
"CHFL",202009,52,52,1,100,8644780,0.6,0.6,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202010,112,164,1,100,8644780,1.3,1.9,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202011,348,512,1,100,8644780,4.03,5.92,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202012,836,1348,1,100,8644780,9.67,15.59,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202013,1164,2512,1,100,8644780,13.46,29.06,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202014,669,3181,1,100,8644780,7.74,36.8,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"CHFL",202015,364,3545,1,100,8644780,4.21,41.01,"COVID19Hosp","","2021-04-06_07-51-19","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
