date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-22,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-23,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-24,AG,0,685845,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-25,AG,0,685845,0,0,0,0,13.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-26,AG,0,685845,0,0,0,0,22.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-27,AG,0,685845,0,0,0,0,32.57,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-28,AG,97,685845,97,0.01,0,0.01,32.57,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-29,AG,62,685845,159,0.01,0,0.02,32.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-30,AG,69,685845,228,0.01,0,0.03,32.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2020-12-31,AG,0,685845,228,0,0,0.03,32.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-01,AG,1,685845,229,0,0,0.03,19,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-02,AG,0,685845,229,0,0.01,0.03,75.14,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-03,AG,0,685845,229,0,0.02,0.03,132.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-04,AG,1,685845,230,0,0.04,0.03,236,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-05,AG,455,685845,685,0.07,0.05,0.1,327.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-06,AG,472,685845,1157,0.07,0.05,0.17,359,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-07,AG,723,685845,1880,0.11,0.05,0.27,359,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-08,AG,644,685845,2524,0.09,0.06,0.37,428.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-09,AG,218,685845,2742,0.03,0.07,0.4,482,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-10,AG,0,685845,2742,0,0.07,0.4,514.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-11,AG,490,685845,3232,0.07,0.07,0.47,511.29,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-12,AG,827,685845,4059,0.12,0.07,0.59,496.43,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-13,AG,702,685845,4761,0.1,0.07,0.69,496.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-14,AG,698,685845,5459,0.1,0.07,0.8,496.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-15,AG,540,685845,5999,0.08,0.08,0.87,547.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-16,AG,221,685845,6220,0.03,0.08,0.91,555,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-17,AG,0,685845,6220,0,0.09,0.91,648.57,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-18,AG,846,685845,7066,0.12,0.12,1.03,799.57,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-19,AG,878,685845,7944,0.13,0.13,1.16,891.43,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-20,AG,1357,685845,9301,0.2,0.13,1.36,877.43,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-21,AG,1755,685845,11056,0.26,0.13,1.61,877.43,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-22,AG,1183,685845,12239,0.17,0.14,1.78,934,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-23,AG,123,685845,12362,0.02,0.15,1.8,1023.71,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-24,AG,0,685845,12362,0,0.15,1.8,992.43,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-25,AG,1242,685845,13604,0.18,0.14,1.98,977.14,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-26,AG,1506,685845,15110,0.22,0.13,2.2,918.86,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-27,AG,1138,685845,16248,0.17,0.13,2.37,901.29,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-28,AG,1648,685845,17896,0.24,0.13,2.61,901.29,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
2021-01-29,AG,775,685845,18671,0.11,0.12,2.72,839.29,COVID19VaccDosesAdministered,2021-06-25_09-42-12,detailed
