date,geoRegion,altersklasse_covid19,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202052,AG,0 - 9,0,altersklasse_covid19,71486,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,NA,NA
202053,AG,0 - 9,0,altersklasse_covid19,71486,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202101,AG,0 - 9,0,altersklasse_covid19,71486,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202102,AG,0 - 9,0,altersklasse_covid19,71486,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202103,AG,0 - 9,0,altersklasse_covid19,71486,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202104,AG,0 - 9,1,altersklasse_covid19,71486,1,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202105,AG,0 - 9,0,altersklasse_covid19,71486,1,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202106,AG,0 - 9,2,altersklasse_covid19,71486,3,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202107,AG,0 - 9,1,altersklasse_covid19,71486,4,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202108,AG,0 - 9,1,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202109,AG,0 - 9,0,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202110,AG,0 - 9,0,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202111,AG,0 - 9,0,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202112,AG,0 - 9,0,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202113,AG,0 - 9,0,altersklasse_covid19,71486,5,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202114,AG,0 - 9,1,altersklasse_covid19,71486,6,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202115,AG,0 - 9,1,altersklasse_covid19,71486,7,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202116,AG,0 - 9,5,altersklasse_covid19,71486,12,0.01,0.02,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202117,AG,0 - 9,0,altersklasse_covid19,71486,12,0,0.02,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202118,AG,0 - 9,4,altersklasse_covid19,71486,16,0.01,0.02,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202119,AG,0 - 9,2,altersklasse_covid19,71486,18,0,0.03,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202120,AG,0 - 9,1,altersklasse_covid19,71486,19,0,0.03,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202121,AG,0 - 9,4,altersklasse_covid19,71486,23,0.01,0.03,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202122,AG,0 - 9,3,altersklasse_covid19,71486,26,0,0.04,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202123,AG,0 - 9,0,altersklasse_covid19,71486,26,0,0.04,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202124,AG,0 - 9,1,altersklasse_covid19,71486,27,0,0.04,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0,0
202052,AG,10 - 19,0,altersklasse_covid19,67323,0,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,NA,NA
202053,AG,10 - 19,2,altersklasse_covid19,67323,2,0,0,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.009,0.8999999999999999
202101,AG,10 - 19,2,altersklasse_covid19,67323,4,0,0.01,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.001,0.1
202102,AG,10 - 19,33,altersklasse_covid19,67323,37,0.05,0.05,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.009,0.8999999999999999
202103,AG,10 - 19,22,altersklasse_covid19,67323,59,0.03,0.09,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.004,0.4
202104,AG,10 - 19,46,altersklasse_covid19,67323,105,0.07,0.16,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.008,0.8
202105,AG,10 - 19,23,altersklasse_covid19,67323,128,0.03,0.19,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.004,0.4
202106,AG,10 - 19,41,altersklasse_covid19,67323,169,0.06,0.25,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.008,0.8
202107,AG,10 - 19,38,altersklasse_covid19,67323,207,0.06,0.31,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.006,0.6
202108,AG,10 - 19,26,altersklasse_covid19,67323,233,0.04,0.35,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.003,0.3
202109,AG,10 - 19,28,altersklasse_covid19,67323,261,0.04,0.39,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.004,0.4
202110,AG,10 - 19,34,altersklasse_covid19,67323,295,0.05,0.44,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.004,0.4
202111,AG,10 - 19,16,altersklasse_covid19,67323,311,0.02,0.46,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.003,0.3
202112,AG,10 - 19,16,altersklasse_covid19,67323,327,0.02,0.49,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.002,0.2
202113,AG,10 - 19,24,altersklasse_covid19,67323,351,0.04,0.52,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.003,0.3
202114,AG,10 - 19,27,altersklasse_covid19,67323,378,0.04,0.56,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.002,0.2
202115,AG,10 - 19,145,altersklasse_covid19,67323,523,0.22,0.78,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.008,0.8
202116,AG,10 - 19,262,altersklasse_covid19,67323,785,0.39,1.17,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.012,1.2
202117,AG,10 - 19,495,altersklasse_covid19,67323,1280,0.74,1.9,COVID19AtLeastOneDosePersons,2021-06-25_09-42-12,detailed,0.032,3.2
