date,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,testPositvity_7dayAverage,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,Cases inz_entries 0 - 19,Cases inz_entries 20 - 39,Cases inz_entries 40 - 59,Cases inz_entries 60+,Cases inzsumTotal 0 - 19,Cases inzsumTotal 20 - 39,Cases inzsumTotal 40 - 59,Cases inzsumTotal 60+,Death inz_entries 0 - 19,Death inz_entries 20 - 39,Death inz_entries 40 - 59,Death inz_entries 60+,Death inzsumTotal 0 - 19,Death inzsumTotal 20 - 39,Death inzsumTotal 40 - 59,Death inzsumTotal 60+,Hosp inz_entries 0 - 19,Hosp inz_entries 20 - 39,Hosp inz_entries 40 - 59,Hosp inz_entries 60+,Hosp inzsumTotal 0 - 19,Hosp inzsumTotal 20 - 39,Hosp inzsumTotal 40 - 59,Hosp inzsumTotal 60+,case_inz_entries_7dayAverage,hosp_inz_entries_7dayAverage,death_inz_entries_7dayAverage,test_entries_7dayAverage,test_inz_entries_7dayAverage,retail_and_recreation_percent_change_from_baseline_7dayAverage,grocery_and_pharmacy_percent_change_from_baseline_7dayAverage,parks_percent_change_from_baseline_7dayAverage,transit_stations_percent_change_from_baseline_7dayAverage,workplaces_percent_change_from_baseline_7dayAverage,residential_percent_change_from_baseline_7dayAverage,intervistaMob_7dayAverage
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.0,1.44,8.0,5.0,31.0,12.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.7503666318912,0.0,0.0,269.97,278.09,48.96,0.08,0.0,1.92,0.0,0.0,0.0,18.03589142393363,220.03787537199028,0.0,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,8.0,5.0,31.0,12.0,8.0,-1.0,22.7503666318912
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.0735714285714285,1.44,4.0,12.0,30.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.1815672718391,0.0222496179295609,0.0444992358591218,272.87,279.56,54.51,0.08,0.0,1.92,0.0,0.040990662327121834,0.040990662327121834,18.03589142393363,220.07886603431737,0.040990662327121834,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,6.0,8.5,30.5,4.5,3.0,-1.0,17.46596695186515
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.1471428571428571,1.44,0.0,-3.0,-3.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,0.0444992358591218,0.0889984717182436,273.15,279.84,55.53,0.1,0.0,1.92,0.0,0.08198132465424367,0.08198132465424367,18.03589142393363,220.11985669664452,0.08198132465424367,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,4.0,4.666666666666667,19.333333333333332,1.6666666666666667,2.6666666666666665,-0.3333333333333333,19.152209726633668
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.2207142857142857,1.44,4.0,3.0,34.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,0.0667488537886827,0.1334977075773654,272.05,279.03,46.59,0.01,0.0,1.92,0.0,0.12297198698136548,0.12297198698136548,18.03589142393363,220.16084735897158,0.12297198698136548,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,4.0,4.25,23.0,0.5,2.25,0.0,20.3425766870266
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.2942857142857142,1.44,-4.0,-5.0,-11.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,0.0889984717182436,0.1779969434364873,272.42,279.6,39.0,0.03,0.0,1.92,0.0,0.1639626493084875,0.1639626493084875,18.03589142393363,220.20183802129876,0.1639626493084875,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,2.4,2.4,16.2,-0.6,1.8,0.2,21.00857833722246
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.3678571428571428,1.44,0.0,-6.0,46.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,0.1112480896478045,0.2224961792956091,271.84,281.16,42.32,0.04,0.0,1.92,0.0,0.20495331163560934,0.20495331163560934,18.03589142393363,220.24282868362585,0.20495331163560934,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,2.0,1.0,21.166666666666668,-0.6666666666666666,1.3333333333333333,0.16666666666666666,21.682819394608135
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.4414285714285714,1.44,8.0,-1.0,26.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,0.1334977075773654,0.2669954151547309,273.23,281.13,55.72,0.11,0.0,1.92,0.0,0.24594397396273118,0.24594397396273118,18.03589142393363,220.283819345953,0.24594397396273118,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,2.857142857142857,0.7142857142857143,21.857142857142858,-0.2857142857142857,1.2857142857142858,0.2857142857142857,22.398422180841717
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.5149999999999999,1.44,1.0,2.0,57.0,19.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.6544883754501,0.1557473255069263,0.3114946510138527,274.22,280.99,52.78,0.02,0.0,1.92,0.0,0.28693463628985316,0.28693463628985316,18.03589142393363,220.3248100082801,0.28693463628985316,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,1.8571428571428572,0.2857142857142857,25.571428571428573,0.7142857142857143,1.0,0.14285714285714285,22.099011001350128
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.5885714285714285,1.44,-32.0,18.0,27.0,-10.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.1812553039093,0.1779969434364873,0.3559938868729746,273.32,281.18,50.33,0.09,0.0,1.92,0.0,0.327925298616975,0.327925298616975,18.03589142393363,220.36580067060726,0.327925298616975,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.007334991610570699,-3.2857142857142856,1.1428571428571428,25.142857142857142,-0.2857142857142857,1.2857142857142858,0.14285714285714285,22.241823577360154
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,0.6621428571428571,1.44,-9.0,3.0,74.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.396421356613,0.2002465613660482,0.4004931227320965,272.93,280.53,47.42,0.08,0.0,1.92,0.0,0.36891596094409684,0.36891596094409684,18.03589142393363,220.40679133293432,0.36891596094409684,512.219316439715,0.0,16.232302281540264,220.03787537199028,290.3778519253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1129056921136129,0.0073349916105707,-4.571428571428571,2.0,36.142857142857146,-0.7142857142857143,1.1428571428571428,0.0,22.509213017423345
