date,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,testPositvity_7dayAverage,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,Cases inz_entries 0 - 19,Cases inz_entries 20 - 39,Cases inz_entries 40 - 59,Cases inz_entries 60+,Cases inzsumTotal 0 - 19,Cases inzsumTotal 20 - 39,Cases inzsumTotal 40 - 59,Cases inzsumTotal 60+,Death inz_entries 0 - 19,Death inz_entries 20 - 39,Death inz_entries 40 - 59,Death inz_entries 60+,Death inzsumTotal 0 - 19,Death inzsumTotal 20 - 39,Death inzsumTotal 40 - 59,Death inzsumTotal 60+,Hosp inz_entries 0 - 19,Hosp inz_entries 20 - 39,Hosp inz_entries 40 - 59,Hosp inz_entries 60+,Hosp inzsumTotal 0 - 19,Hosp inzsumTotal 20 - 39,Hosp inzsumTotal 40 - 59,Hosp inzsumTotal 60+,case_inz_entries_7dayAverage,hosp_inz_entries_7dayAverage,death_inz_entries_7dayAverage,test_entries_7dayAverage,test_inz_entries_7dayAverage,retail_and_recreation_percent_change_from_baseline_7dayAverage,grocery_and_pharmacy_percent_change_from_baseline_7dayAverage,parks_percent_change_from_baseline_7dayAverage,transit_stations_percent_change_from_baseline_7dayAverage,workplaces_percent_change_from_baseline_7dayAverage,residential_percent_change_from_baseline_7dayAverage,intervistaMob_7dayAverage
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,0.0,2.87,6.0,1.0,48.0,7.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.7503666318912,0.0,0.0,271.05,279.65,42.43,0.08,0.0,2.01,0.0,7.659157288454076,0.0,26.041134780743857,183.30916443700087,0.0,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,6.0,1.0,48.0,7.0,0.0,-1.0,22.7503666318912
2020-02-16,0.33,0.1166666666666666,0.33,0.1166666666666666,0.0,0.0,0.0,0.0,0.22,0.1166666666666666,0.22,0.1166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,0.495,2.87,9.0,9.0,79.0,11.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.1815672718391,3.9791834203724368,5.925095837632967,273.5,281.69,51.98,0.03,0.0,2.01,0.0,7.833229045009851,0.17407175655577442,26.041134780743857,183.95903232814243,0.649867891141558,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,0.9377777777777776,0.8022222222222222,0.0,0.0,0.9377777777777776,0.8022222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0666666666666664,0.0,0.0,0.0,2.0666666666666664,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,7.5,5.0,63.5,9.0,0.5,-1.0,17.46596695186515
2020-02-17,0.66,0.2333333333333333,0.66,0.2333333333333333,0.0,0.0,0.0,0.0,0.44,0.2333333333333333,0.44,0.2333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,0.99,2.87,-6.0,-7.0,-18.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,5.909513695016373,10.86596055032352,274.1,281.48,57.5,0.1,0.0,2.01,0.0,8.007300801565625,0.34814351311154884,26.041134780743857,184.608900219284,1.299735782283116,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,1.8755555555555556,1.6044444444444443,0.0,0.0,1.8755555555555556,1.6044444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133333333333334,0.0,0.0,0.0,4.133333333333334,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,3.0,1.0,36.333333333333336,6.333333333333333,0.6666666666666666,0.0,19.152209726633668
2020-02-18,0.99,0.35,0.99,0.35,0.0,0.0,0.0,0.0,0.66,0.35,0.66,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,1.485,2.87,7.0,2.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,7.551551123343647,15.049151743473152,273.04,280.5,41.19,0.01,0.0,2.01,0.0,8.1813725581214,0.5222152696673233,26.041134780743857,185.25876811042554,1.9496036734246736,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,2.813333333333333,2.4066666666666663,0.0,0.0,2.813333333333333,2.4066666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999,0.0,0.0,0.0,6.199999999999999,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,4.0,1.25,28.75,6.0,1.0,0.25,20.3425766870266
2020-02-19,1.32,0.4666666666666667,1.32,0.4666666666666667,0.0,0.0,0.0,0.0,0.88,0.4666666666666667,0.88,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,1.98,2.87,1.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,8.621544140983309,18.63665384152013,272.7,281.35,47.47,0.01,0.0,2.01,0.0,8.355444314677174,0.6962870262230977,26.041134780743857,185.9086360015671,2.599471564566232,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,3.751111111111111,3.2088888888888887,0.0,0.0,3.751111111111111,3.2088888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.266666666666667,0.0,0.0,0.0,8.266666666666667,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,3.4,0.6,22.6,4.6,1.0,0.2,21.00857833722246
2020-02-20,1.65,0.5833333333333334,1.65,0.5833333333333334,0.0,0.0,0.0,0.0,1.1,0.5833333333333334,1.1,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,2.475,2.87,8.0,1.0,18.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,9.68765644444786,21.747353946521383,272.76,283.48,41.21,0.03,0.0,2.01,0.0,8.529516071232948,0.8703587827788721,26.041134780743857,186.55850389270867,3.2493394557077897,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,4.688888888888888,4.011111111111111,0.0,0.0,4.688888888888888,4.011111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,10.333333333333334,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,4.166666666666667,0.6666666666666666,21.833333333333332,4.0,1.1666666666666667,0.0,21.682819394608135
2020-02-21,1.98,0.7,1.98,0.7,0.0,0.0,0.0,0.0,1.32,0.7,1.32,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,2.97,2.87,-7.0,2.0,9.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,10.823524876146667,24.4704813057722,273.94,282.72,55.93,0.06,0.0,2.01,0.0,8.703587827788724,1.0444305393346467,26.041134780743857,187.20837178385023,3.8992073468493476,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,5.626666666666666,4.813333333333333,0.0,0.0,5.626666666666666,4.813333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,12.4,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,2.5714285714285716,0.8571428571428571,20.0,2.857142857142857,1.1428571428571428,0.0,22.398422180841717
2020-02-22,2.31,0.8166666666666667,2.31,0.8166666666666667,0.0,0.0,0.0,0.0,1.54,0.8166666666666667,1.54,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,3.465,2.87,-16.0,-2.0,48.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.6544883754501,11.649599487588851,26.87431289657904,274.6,282.59,54.94,0.0,0.0,2.01,0.0,8.877659584344498,1.2185022958904208,26.041134780743857,187.85823967499175,4.549075237990905,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,6.564444444444444,5.615555555555555,0.0,0.0,6.564444444444444,5.615555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.466666666666667,0.0,0.0,0.0,14.466666666666667,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,-0.5714285714285714,0.42857142857142855,20.0,2.0,1.2857142857142858,-0.14285714285714285,22.099011001350128
2020-02-23,2.64,0.9333333333333332,2.64,0.9333333333333332,0.0,0.0,0.0,0.0,1.76,0.9333333333333332,1.76,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,3.96,2.87,2.0,-5.0,12.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.1812553039093,11.9465599150713,29.01198261787877,274.97,282.87,53.44,0.05,0.0,2.01,0.0,9.05173134090027,1.3925740524461954,26.041134780743857,188.50810756613333,5.198943129132464,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,7.502222222222222,6.417777777777777,0.0,0.0,7.502222222222222,6.417777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53333333333333,0.0,0.0,0.0,16.53333333333333,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,-1.5714285714285714,-1.5714285714285714,10.428571428571429,0.0,1.1428571428571428,-0.14285714285714285,22.241823577360154
2020-02-24,2.97,1.05,2.97,1.05,0.0,0.0,0.0,0.0,1.98,1.05,1.98,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,4.455,2.87,-2.0,-3.0,35.0,-7.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.396421356613,12.688845834332604,30.925459278431767,273.93,281.93,45.8,0.03,0.0,2.01,0.0,9.225803097456046,1.56664580900197,26.041134780743857,189.1579754572749,5.848811020274022,422.78548232266496,7.659157288454076,10.722820203835706,183.30916443700087,210.88213067543552,0.0,8.44,7.22,0.0,0.0,8.44,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,18.6,0.0,0.0,0.0,1.2066401620857066,0.0783901617375522,-1.0,-1.0,18.0,-1.1428571428571428,-0.2857142857142857,-0.2857142857142857,22.509213017423345
