date,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,testPositvity_7dayAverage,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,Cases inz_entries 0 - 19,Cases inz_entries 20 - 39,Cases inz_entries 40 - 59,Cases inz_entries 60+,Cases inzsumTotal 0 - 19,Cases inzsumTotal 20 - 39,Cases inzsumTotal 40 - 59,Cases inzsumTotal 60+,Death inz_entries 0 - 19,Death inz_entries 20 - 39,Death inz_entries 40 - 59,Death inz_entries 60+,Death inzsumTotal 0 - 19,Death inzsumTotal 20 - 39,Death inzsumTotal 40 - 59,Death inzsumTotal 60+,Hosp inz_entries 0 - 19,Hosp inz_entries 20 - 39,Hosp inz_entries 40 - 59,Hosp inz_entries 60+,Hosp inzsumTotal 0 - 19,Hosp inzsumTotal 20 - 39,Hosp inzsumTotal 40 - 59,Hosp inzsumTotal 60+,case_inz_entries_7dayAverage,hosp_inz_entries_7dayAverage,death_inz_entries_7dayAverage,test_entries_7dayAverage,test_inz_entries_7dayAverage,retail_and_recreation_percent_change_from_baseline_7dayAverage,grocery_and_pharmacy_percent_change_from_baseline_7dayAverage,parks_percent_change_from_baseline_7dayAverage,transit_stations_percent_change_from_baseline_7dayAverage,workplaces_percent_change_from_baseline_7dayAverage,residential_percent_change_from_baseline_7dayAverage,intervistaMob_7dayAverage
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.0,2.24,3.0,-3.0,20.0,13.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.4187291686285,0.0,0.0,270.01,277.9,52.67,0.03,0.0,2.45,0.0,0.0,0.0,9.323053113433586,76.44903553015541,0.0,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,3.0,-3.0,20.0,13.0,-1.0,-1.0,27.4187291686285
2020-02-16,0.0,0.1377777777777777,0.0,0.1377777777777777,0.0,0.0,0.0,0.0,0.0,0.2066666666666666,0.0,0.2066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.2695918367346939,2.24,5.0,9.0,-4.0,7.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.8210412686196,0.3733273328312134,0.6438466800174715,272.5,280.04,55.34,0.04,0.0,2.45,0.0,0.1412583805065695,0.1412583805065695,9.323053113433586,76.9928802951057,0.5438447649502925,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,0.4977777777777778,0.0,0.0,0.0,0.4977777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4977777777777778,0.0,0.86,0.0,0.4977777777777778,0.0,0.86,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,4.0,3.0,8.0,10.0,-1.5,-0.5,21.11988521862405
2020-02-17,0.0,0.2755555555555555,0.0,0.2755555555555555,0.0,0.0,0.0,0.0,0.0,0.4133333333333333,0.0,0.4133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.5391836734693878,2.24,-5.0,-5.0,-12.0,-3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.1480438118426,0.7466546656624269,1.287693360034943,272.25,280.08,48.94,0.09,0.0,2.45,0.0,0.282516761013139,0.282516761013139,9.323053113433586,77.536725060056,1.087689529900585,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,0.9955555555555556,0.0,0.0,0.0,0.9955555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955555555555556,0.0,1.72,0.0,0.9955555555555556,0.0,1.72,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.0,0.3333333333333333,1.3333333333333333,5.666666666666667,-0.6666666666666666,0.3333333333333333,20.4626047496969
2020-02-18,0.0,0.4133333333333333,0.0,0.4133333333333333,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.8087755102040817,2.24,3.0,2.0,23.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.469117040338,1.11998199849364,1.9315400400524143,271.06,279.16,41.24,0.0,0.0,2.45,0.0,0.4237751415197085,0.4237751415197085,9.323053113433586,78.0805698250063,1.6315342948508775,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,1.4933333333333334,0.0,0.0,0.0,1.4933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4933333333333334,0.0,2.58,0.0,1.4933333333333334,0.0,2.58,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.5,0.75,6.75,5.5,-0.25,0.25,21.214232822357175
2020-02-19,0.0,0.5511111111111111,0.0,0.5511111111111111,0.0,0.0,0.0,0.0,0.0,0.8266666666666667,0.0,0.8266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.0783673469387756,2.24,-4.0,-2.0,-23.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.148922247148,1.4933093313248538,2.575386720069886,271.09,279.99,44.76,0.02,0.0,2.45,0.0,0.565033522026278,0.565033522026278,9.323053113433586,78.62441458995659,2.17537905980117,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,1.9911111111111115,0.0,0.0,0.0,1.9911111111111115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9911111111111115,0.0,3.44,0.0,1.9911111111111115,0.0,3.44,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.4,0.2,0.8,3.8,-0.2,0.4,21.60117070731534
2020-02-20,0.0,0.6888888888888889,0.0,0.6888888888888889,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.0,1.0333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.3479591836734697,2.24,-2.0,-1.0,12.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.3215943446812,1.866636664156067,3.219233400087357,269.74,281.18,35.72,0.02,0.0,2.45,0.0,0.7062919025328475,0.7062919025328475,9.323053113433586,79.16825935490688,2.719223824751463,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,2.488888888888889,0.0,0.0,0.0,2.488888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.488888888888889,0.0,4.3,0.0,2.488888888888889,0.0,4.3,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.0,0.0,2.6666666666666665,3.5,-0.16666666666666666,0.16666666666666666,22.221241313542986
2020-02-21,0.0,0.8266666666666667,0.0,0.8266666666666667,0.0,0.0,0.0,0.0,0.0,1.24,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.6175510204081631,2.24,-2.0,2.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.1300686620396,2.23996399698728,3.8630800801048286,272.04,281.74,54.46,0.07,0.0,2.45,0.0,0.847550283039417,0.847550283039417,9.323053113433586,79.71210411985717,3.263068589701755,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,2.986666666666667,0.0,0.0,0.0,2.986666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.986666666666667,0.0,5.16,0.0,2.986666666666667,0.0,5.16,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,-0.2857142857142857,0.2857142857142857,5.714285714285714,3.857142857142857,-0.14285714285714285,0.14285714285714285,22.779645220471075
2020-02-22,0.0,0.9644444444444444,0.0,0.9644444444444444,0.0,0.0,0.0,0.0,0.0,1.4466666666666668,0.0,1.4466666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,1.8871428571428568,2.24,1.0,-1.0,53.0,15.0,-4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.8641295324035,2.613291329818494,4.5069267601223,272.4,280.95,45.79,0.02,0.0,2.45,0.0,0.9888086635459864,0.9888086635459864,9.323053113433586,80.25594888480747,3.806913354652048,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,3.4844444444444447,0.0,0.0,0.0,3.4844444444444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4844444444444447,0.0,6.02,0.0,3.4844444444444447,0.0,6.02,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,-0.5714285714285714,0.5714285714285714,10.428571428571429,4.142857142857143,-0.5714285714285714,0.0,21.986130986724646
2020-02-23,0.0,1.1022222222222222,0.0,1.1022222222222222,0.0,0.0,0.0,0.0,0.0,1.653333333333333,0.0,1.653333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,2.156734693877551,2.24,12.0,15.0,9.0,15.0,-5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.1111034106295,2.9866186626497075,5.150773440139772,271.2,281.36,47.88,0.06,0.0,2.45,0.0,1.130067044052556,1.130067044052556,9.323053113433586,80.79979364975776,4.35075811960234,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,3.982222222222223,0.0,0.0,0.0,3.982222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.982222222222223,0.0,6.88,0.0,3.982222222222223,0.0,6.88,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.42857142857142855,1.4285714285714286,12.285714285714286,5.285714285714286,-1.0,-0.2857142857142857,22.313282721297487
2020-02-24,0.0,1.24,0.0,1.24,0.0,0.0,0.0,0.0,0.0,1.86,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,2.426326530612245,2.24,-2.0,-5.0,74.0,-8.0,-16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.7598716191105,3.3599459954809205,5.794620120157243,272.18,280.01,46.24,0.03,0.0,2.45,0.0,1.2713254245591254,1.2713254245591254,9.323053113433586,81.34363841470805,4.894602884552633,186.46106226867172,0.0,3.1076843711445292,76.44903553015541,86.08285708070346,0.0,4.48,0.0,0.0,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.0,7.74,0.0,4.48,0.0,7.74,0.0,0.0,0.0,1.0382277610000383,0.0674491407318405,0.8571428571428571,1.4285714285714286,24.571428571428573,4.571428571428571,-3.4285714285714284,-0.42857142857142855,22.9721152651929
