date,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,testPositvity_7dayAverage,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,Cases inz_entries 0 - 19,Cases inz_entries 20 - 39,Cases inz_entries 40 - 59,Cases inz_entries 60+,Cases inzsumTotal 0 - 19,Cases inzsumTotal 20 - 39,Cases inzsumTotal 40 - 59,Cases inzsumTotal 60+,Death inz_entries 0 - 19,Death inz_entries 20 - 39,Death inz_entries 40 - 59,Death inz_entries 60+,Death inzsumTotal 0 - 19,Death inzsumTotal 20 - 39,Death inzsumTotal 40 - 59,Death inzsumTotal 60+,Hosp inz_entries 0 - 19,Hosp inz_entries 20 - 39,Hosp inz_entries 40 - 59,Hosp inz_entries 60+,Hosp inzsumTotal 0 - 19,Hosp inzsumTotal 20 - 39,Hosp inzsumTotal 40 - 59,Hosp inzsumTotal 60+,case_inz_entries_7dayAverage,hosp_inz_entries_7dayAverage,death_inz_entries_7dayAverage,test_entries_7dayAverage,test_inz_entries_7dayAverage,retail_and_recreation_percent_change_from_baseline_7dayAverage,grocery_and_pharmacy_percent_change_from_baseline_7dayAverage,parks_percent_change_from_baseline_7dayAverage,transit_stations_percent_change_from_baseline_7dayAverage,workplaces_percent_change_from_baseline_7dayAverage,residential_percent_change_from_baseline_7dayAverage,intervistaMob_7dayAverage
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,0.0,1.88,0.0,0.0,31.0,15.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.4187291686285,0.0,0.0,269.62,277.67,46.9,0.09,0.0,1.2399999999999998,0.0,0.0,0.0,11.331701568307498,62.32435862569124,0.0,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,0.0,0.0,31.0,15.0,-3.0,-1.0,27.4187291686285
2020-02-16,0.0,0.1288888888888889,0.0,0.1288888888888889,0.0,0.0,0.0,0.0,0.1233333333333333,0.0,0.1233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,0.7169387755102041,1.88,12.0,12.0,30.0,25.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.8210412686196,0.2060810290824954,0.3706339322777678,272.28,279.49,55.01,0.07,0.0,1.2399999999999998,0.0,0.15452320320419313,0.15452320320419313,11.331701568307498,63.058343840911164,0.7339852152199173,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,0.5033333333333334,0.0,0.0,0.0,0.5033333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944444444444444,0.0,0.0,0.0,0.5944444444444444,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,6.0,6.0,30.5,20.0,-1.5,-1.0,21.11988521862405
2020-02-17,0.0,0.2577777777777778,0.0,0.2577777777777778,0.0,0.0,0.0,0.0,0.2466666666666667,0.0,0.2466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,1.4338775510204085,1.88,-7.0,-6.0,-3.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.1480438118426,0.4121620581649908,0.7412678645555357,271.53,279.44,53.24,0.08,0.0,1.2399999999999998,0.0,0.30904640640838626,0.30904640640838626,11.331701568307498,63.79232905613107,1.4679704304398347,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,1.0066666666666668,0.0,0.0,0.0,1.0066666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1888888888888889,0.0,0.0,0.0,1.1888888888888889,0.0,0.0,0.0,0.9032455369089032,0.05867993288456589,1.6666666666666667,2.0,19.333333333333332,12.666666666666666,-1.0,-0.3333333333333333,20.4626047496969
2020-02-18,0.0,0.3866666666666666,0.0,0.3866666666666666,0.0,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,2.150816326530612,1.88,-1.0,2.0,34.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.469117040338,0.6182430872474862,1.1119017968333036,270.31,278.58,39.92,0.0,0.0,1.2399999999999998,0.0,0.4635696096125794,0.4635696096125794,11.331701568307498,64.526314271351,2.2019556456597518,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,1.5100000000000002,0.0,0.0,0.0,1.5100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833333333333332,0.0,0.0,0.0,1.7833333333333332,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,1.0,2.0,23.0,10.5,-0.25,0.0,21.214232822357175
2020-02-19,0.0,0.5155555555555555,0.0,0.5155555555555555,0.0,0.0,0.0,0.0,0.4933333333333334,0.0,0.4933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,2.8677551020408165,1.88,-7.0,-9.0,-11.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.148922247148,0.8243241163299816,1.4825357291110717,270.37,279.15,39.6,0.02,0.0,1.2399999999999998,0.0,0.6180928128167725,0.6180928128167725,11.331701568307498,65.26029948657091,2.9359408608796693,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,2.0133333333333336,0.0,0.0,0.0,2.0133333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3777777777777778,0.0,0.0,0.0,2.3777777777777778,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,-0.6,-0.2,16.2,7.2,0.0,0.2,21.60117070731534
2020-02-20,0.0,0.6444444444444444,0.0,0.6444444444444444,0.0,0.0,0.0,0.0,0.6166666666666667,0.0,0.6166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,3.584693877551021,1.88,-3.0,-3.0,46.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.3215943446812,1.0304051454124772,1.8531696613888395,269.05,280.19,34.48,0.02,0.0,1.2399999999999998,0.0,0.7726160160209656,0.7726160160209656,11.331701568307498,65.99428470179082,3.669926076099587,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,2.516666666666667,0.0,0.0,0.0,2.516666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9722222222222223,0.0,0.0,0.0,2.9722222222222223,0.0,0.0,0.0,0.9032455369089032,0.05867993288456589,-1.0,-0.6666666666666666,21.166666666666668,6.666666666666667,0.0,0.0,22.221241313542986
2020-02-21,0.0,0.7733333333333333,0.0,0.7733333333333333,0.0,0.0,0.0,0.0,0.7400000000000001,0.0,0.7400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,4.301632653061224,1.88,-5.0,-1.0,26.0,9.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.1300686620396,1.2364861744949724,2.223803593666607,271.58,280.75,54.58,0.13,0.0,1.2399999999999998,0.0,0.9271392192251589,0.9271392192251589,11.331701568307498,66.72826991701073,4.4039112913195035,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,3.0200000000000005,0.0,0.0,0.0,3.0200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5666666666666664,0.0,0.0,0.0,3.5666666666666664,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,-1.5714285714285714,-0.7142857142857143,21.857142857142858,7.0,-0.14285714285714285,-0.14285714285714285,22.779645220471075
2020-02-22,0.0,0.9022222222222224,0.0,0.9022222222222224,0.0,0.0,0.0,0.0,0.8633333333333335,0.0,0.8633333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,5.018571428571429,1.88,-4.0,0.0,57.0,18.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.8641295324035,1.4425672035774677,2.594437525944376,271.9,280.16,43.75,0.02,0.0,1.2399999999999998,0.0,1.0816624224293518,1.0816624224293518,11.331701568307498,67.46225513223064,5.1378965065394215,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,3.523333333333334,0.0,0.0,0.0,3.523333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.161111111111111,0.0,0.0,0.0,4.161111111111111,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,-2.142857142857143,-0.7142857142857143,25.571428571428573,7.428571428571429,-0.14285714285714285,-0.2857142857142857,21.986130986724646
2020-02-23,0.0,1.031111111111111,0.0,1.031111111111111,0.0,0.0,0.0,0.0,0.9866666666666668,0.0,0.9866666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,5.735510204081633,1.88,-2.0,18.0,25.0,18.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.1111034106295,1.6486482326599632,2.965071458222143,270.79,280.76,43.29,0.09,0.0,1.2399999999999998,0.0,1.236185625633545,1.236185625633545,11.331701568307498,68.19624034745057,5.871881721759339,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,4.026666666666667,0.0,0.0,0.0,4.026666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755555555555556,0.0,0.0,0.0,4.755555555555556,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,-4.142857142857143,0.14285714285714285,24.857142857142858,6.428571428571429,-0.5714285714285714,-0.2857142857142857,22.313282721297487
2020-02-24,0.0,1.16,0.0,1.16,0.0,0.0,0.0,0.0,1.11,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032455369089032,0.0586799328845659,6.452448979591837,1.88,-2.0,-6.0,74.0,1.0,-16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.7598716191105,1.8547292617424584,3.3357053904999105,271.84,279.4,46.73,0.04,0.0,1.2399999999999998,0.0,1.390708828837738,1.390708828837738,11.331701568307498,68.93022556267049,6.605866936979257,171.1086936814432,0.0,4.532680627322999,62.32435862569124,76.4889855860756,0.0,4.53,0.0,0.0,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.9032455369089032,0.058679932884565904,-3.4285714285714284,0.14285714285714285,35.857142857142854,6.857142857142857,-2.857142857142857,-0.2857142857142857,22.9721152651929
