date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,VaccDosesAdministered per100PersonsTotal,FullyVaccPersons per100PersonsTotal,anteil_pos,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",universities and other educational establishments ,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHolyday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,googleMobility,R_error,variant_error,testPositvity,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6628036934877091,0.0,4.15,-3.0,-3.0,33.0,6.0,-5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27.4187291686285,0.0,0.0,271.06,278.99,53.48,0.13,0.0,4.5,4.52,100.0,0.0,2.608378110490897,0.0,19.376523106503804,81.72918079538144,0.0,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-16,0.0,0.0,0.0,0.0,0.0944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0277777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0277777777777777,0.0,0.0277777777777777,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.1088888888888888,0.0844444444444444,0.1088888888888888,0.0844444444444444,0.0,0.0,0.0,0.0,0.0,0.0133333333333333,0.0133333333333333,0.0,0.0,0.6628036934877091,0.528469387755102,4.15,13.0,6.0,24.0,10.0,-6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.8210412686196,0.3903015869127871,0.6897557476361085,272.93,279.8,58.57,0.07,0.0,7.666666666666667,4.52,100.0,0.0,2.794690832668818,0.1863127221779212,19.376523106503804,82.59017140544606,0.8609906100646357,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-17,0.0,0.0,0.0,0.0,0.1888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.055555555555555,0.0,0.0555555555555555,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.2177777777777777,0.1688888888888889,0.2177777777777777,0.1688888888888889,0.0,0.0,0.0,0.0,0.0,0.0266666666666666,0.0266666666666666,0.0,0.0,0.6628036934877091,1.056938775510204,4.15,-8.0,-11.0,-19.0,-11.0,-16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.1480438118426,0.7806031738255742,1.379511495272217,272.96,279.55,55.02,0.09,0.0,-10.333333333333334,4.52,100.0,0.0,2.981003554846739,0.3726254443558424,19.376523106503804,83.4511620155107,1.7219812201292715,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-18,0.0,0.0,0.0,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.083333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.3266666666666666,0.2533333333333333,0.3266666666666666,0.2533333333333333,0.0,0.0,0.0,0.0,0.0,0.0399999999999999,0.0399999999999999,0.0,0.0,0.6628036934877091,1.585408163265306,4.15,-1.0,-5.0,27.0,-4.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.469117040338,1.1709047607383614,2.0692672429083254,271.63,279.15,49.82,0.01,0.0,0.5,4.52,100.0,0.0,3.16731627702466,0.5589381665337636,19.376523106503804,84.31215262557534,2.5829718301939075,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-19,0.0,0.0,0.0,0.0,0.3777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.4355555555555555,0.3377777777777778,0.4355555555555555,0.3377777777777778,0.0,0.0,0.0,0.0,0.0,0.0533333333333333,0.0533333333333333,0.0,0.0,0.6628036934877091,2.113877551020408,4.15,-13.0,-11.0,-32.0,-15.0,-14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.148922247148,1.5612063476511484,2.759022990544434,271.55,279.8,41.2,0.02,0.0,-13.833333333333334,4.52,100.0,0.0,3.353628999202581,0.7452508887116848,19.376523106503804,85.17314323563998,3.443962440258543,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-20,0.0,0.0,0.0,0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13888888888889,0.0,0.1388888888888889,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.5444444444444444,0.4222222222222222,0.5444444444444444,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,0.6628036934877091,2.64234693877551,4.15,-5.0,-8.0,37.0,-7.0,-17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.3215943446812,1.9515079345639357,3.4487787381805424,271.24,280.8,34.2,0.03,0.0,0.16666666666666666,4.52,100.0,0.0,3.5399417213805027,0.9315636108896059,19.376523106503804,86.0341338457046,4.304953050323179,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-21,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.166666666666666,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.6533333333333333,0.5066666666666667,0.6533333333333333,0.5066666666666667,0.0,0.0,0.0,0.0,0.0,0.0799999999999999,0.0799999999999999,0.0,0.0,0.6628036934877091,3.170816326530612,4.15,-7.0,-9.0,38.0,-8.0,-17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.1300686620396,2.3418095214767227,4.138534485816651,273.03,281.53,46.76,0.15,0.0,-0.16666666666666666,4.52,100.0,0.0,3.7262544435584237,1.1178763330675272,19.376523106503804,86.89512445576925,5.165943660387815,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-22,0.0,0.0,0.0,0.0,0.6611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.194444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.194444444444445,0.0,0.1944444444444444,0.0,0.1944444444444444,0.0,0.0,0.0,0.0,0.7622222222222221,0.5911111111111111,0.7622222222222221,0.5911111111111111,0.0,0.0,0.0,0.0,0.0,0.0933333333333333,0.0933333333333333,0.0,0.0,0.6628036934877091,3.699285714285714,4.15,-6.0,-5.0,37.0,5.0,-7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,21.8641295324035,2.732111108389509,4.828290233452759,273.47,281.09,49.79,0.01,0.0,3.8333333333333335,4.52,100.0,0.0,3.912567165736345,1.3041890552454485,19.376523106503804,87.75611506583388,6.026934270452451,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-23,0.0,0.0,0.0,0.0,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.8711111111111111,0.6755555555555556,0.8711111111111111,0.6755555555555556,0.0,0.0,0.0,0.0,0.0,0.1066666666666666,0.1066666666666666,0.0,0.0,0.6628036934877091,4.227755102040816,4.89,17.0,13.0,49.0,18.0,-7.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.1111034106295,3.122412695302297,5.518045981088868,272.67,281.8,50.94,0.09,0.0,14.833333333333334,4.32,100.0,0.0,4.098879887914266,1.4905017774233695,19.376523106503804,88.61710567589853,6.887924880517086,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
2020-02-24,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.98,0.76,0.98,0.76,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.6628036934877091,4.756224489795918,4.71,2.0,0.0,69.0,8.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23.7598716191105,3.512714282215084,6.207801728724976,272.99,280.48,46.3,0.03,0.0,13.166666666666666,3.5500000000000003,100.0,0.0,4.285192610092188,1.6768144996012906,19.376523106503804,89.47809628596315,7.748915490581722,232.76669424094953,2.608378110490897,8.570385220184376,81.72918079538144,113.15392660272414
