date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,VaccDosesAdministered per100PersonsTotal,FullyVaccPersons per100PersonsTotal,anteil_pos,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",universities and other educational establishments ,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHolyday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,variant_error,testPositvity,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,1PersonHouseholds_perc,2PersonHouseholds_perc,3PersonHouseholds_perc,4PersonHouseholds_perc,5PersonHouseholds_perc,6+PersonHouseholds_perc,averageHousehold,percentage 65 years or over,urbanPopulationPercent,homeownershipPercent,livingSpaceInm2,carsPer1000inhabitants,publicTransportationPercent,privateMotorisedTransportPercent,DoctorsPer100Kinhabitants,residentsPerKm2,residentsPerKm2SettlementArea
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,18.0,10.0,,16.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.7503666318912,0.0,0.0,269.52,278.02,48.92,0.08,0.0,1.87,,0.0,12.318305001231831,0.0,34.49125400344913,2.463661000246366,0.0,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,-3.0,2.5,,-7.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.1815672718391,0.2347746550111083,0.6116898741076701,272.49,279.73,52.29,0.1,0.0,1.87,,0.0,12.430289592152121,0.11198459092028924,34.49125400344913,2.7996147730072343,0.33595377276086796,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,-7.0,-5.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,0.4695493100222167,1.22337974821534,272.76,279.74,57.27,0.1,0.0,1.87,,0.0,12.542274183072408,0.22396918184057868,34.49125400344913,3.135568545768102,0.6719075455217361,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,4.0,-1.0,,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,0.7043239650333251,1.8350696223230103,271.49,279.49,42.64,0.07,0.0,1.87,,0.0,12.654258773992698,0.33595377276086796,34.49125400344913,3.47152231852897,1.007861318282604,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,-3.0,-10.0,,-11.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,0.9390986200444336,2.44675949643068,271.89,279.79,46.24,0.02,0.0,1.87,,0.0,12.766243364912988,0.44793836368115736,34.49125400344913,3.8074760912898387,1.3438150910434723,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,-11.0,0.0,,0.0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,1.1738732750555418,3.05844937053835,271.11,280.83,42.45,0.05,0.0,1.87,,0.0,12.878227955833282,0.5599229546014469,34.49125400344913,4.143429864050706,1.6797688638043404,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,1.0,8.0,,-6.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,1.40864793006665,3.6701392446460206,272.59,281.2,58.54,0.16,0.0,1.87,,0.0,12.990212546753567,0.6719075455217361,34.49125400344913,4.479383636811574,2.0157226365652083,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,5.0,2.0,,24.0,-2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.6544883754501,1.6434225850777586,4.2818291187536905,273.58,281.27,55.33,0.02,0.0,1.87,,0.0,13.102197137673857,0.7838921364420255,34.49125400344913,4.815337409572442,2.3516764093260765,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,7.0,1.5,,-2.0,-4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.1812553039093,1.878197240088867,4.8935189928613605,272.33,281.7,51.43,0.11,0.0,1.87,,0.0,13.214181728594147,0.8958767273623147,34.49125400344913,5.151291182333311,2.6876301820869446,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2051695789699287,0.0,1.48,-1.0,1.0,,-2.0,-7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.396421356613,2.1129718950999754,5.5052088669690304,273.11,280.56,49.13,0.09,0.0,1.87,,0.0,13.326166319514437,1.0078613182826044,34.49125400344913,5.487244955094178,3.0235839548478127,248.82976102488297,12.318305001231831,17.245627001724564,2.463661000246366,231.5841340231584,0.3565655447298494,0.33696855624446415,0.125055358724535,0.12677147918511958,0.04079937998228521,0.013839681133746678,2.2470106288751106,20.354767184,76.7110125647,44.4,50.0,588.3969012,14.4570286475683,64.9178325560737,136.0,59.6297928603,2034.5864661334508
