date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,VaccDosesAdministered per100PersonsTotal,FullyVaccPersons per100PersonsTotal,anteil_pos,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_inz_entries,test_inzsumTotal,median_R_mean,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",universities and other educational establishments ,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHolyday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation,maskMandatories,R_error,variant_error,testPositvity,ICU_AllPatients_inz,ICU_Covid19Patients_inz,ICU_Capacity_inz,Total_AllPatients_inz,Total_Covid19Patients_inz,Total_Capacity_inz,ICU_NonCovid19Patients_inz,ICU_FreeCapacity_inz,Total_NonCovid19Patients_inz,Total_FreeCapacity_inz,1PersonHouseholds_perc,2PersonHouseholds_perc,3PersonHouseholds_perc,4PersonHouseholds_perc,5PersonHouseholds_perc,6+PersonHouseholds_perc,averageHousehold,percentage 65 years or over,urbanPopulationPercent,homeownershipPercent,livingSpaceInm2,carsPer1000inhabitants,publicTransportationPercent,privateMotorisedTransportPercent,DoctorsPer100Kinhabitants,residentsPerKm2,residentsPerKm2SettlementArea
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.0,3.23,7.0,2.0,61.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,22.7503666318912,0.0,0.0,269.92,279.08,40.28,0.04,0.0,2.3599999999999994,,0.0,5.090712582283537,0.0,19.188070502453332,73.03214589199074,0.0,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.1958163265306122,3.23,13.0,16.0,27.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.1815672718391,0.1983375000830204,0.6116898741076701,272.51,279.94,50.01,0.06,0.0,2.3599999999999994,,0.0,5.153011512486308,0.06229893020277055,19.188070502453332,73.18344329391175,0.1512974019210142,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.3916326530612245,3.23,-3.0,-1.0,3.0,-1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,0.3966750001660408,1.22337974821534,272.42,279.62,54.97,0.09,0.0,2.3599999999999994,,0.0,5.215310442689079,0.1245978604055411,19.188070502453332,73.33474069583278,0.3025948038420284,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.5874489795918367,3.23,3.0,3.0,39.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,0.5950125002490612,1.8350696223230103,271.26,279.01,42.53,0.01,0.0,2.3599999999999994,,0.0,5.277609372891848,0.18689679060831169,19.188070502453332,73.48603809775379,0.4538922057630427,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.783265306122449,3.23,-3.0,-2.0,-8.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,0.7933500003320816,2.44675949643068,271.64,279.19,37.43,0.02,0.0,2.3599999999999994,,0.0,5.33990830309462,0.2491957208110822,19.188070502453332,73.63733549967479,0.6051896076840568,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,0.9790816326530614,3.23,4.0,1.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,0.991687500415102,3.05844937053835,270.94,280.59,44.55,0.05,0.0,2.3599999999999994,,0.0,5.40220723329739,0.31149465101385276,19.188070502453332,73.78863290159582,0.756487009605071,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,1.1748979591836737,3.23,1.0,0.0,15.0,6.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,1.1900250004981223,3.6701392446460206,272.49,280.9,53.13,0.13,0.0,2.3599999999999994,,0.0,5.46450616350016,0.3737935812166233,19.188070502453332,73.93993030351682,0.9077844115260854,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,1.3707142857142858,3.23,6.0,3.0,64.0,40.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.6544883754501,1.3883625005811429,4.2818291187536905,274.05,280.93,55.28,0.01,0.0,2.3599999999999994,,0.0,5.52680509370293,0.43609251141939387,19.188070502453332,74.09122770543784,1.0590818134470994,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,1.566530612244898,3.23,25.0,15.0,-16.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.1812553039093,1.5867000006641632,4.8935189928613605,273.01,281.25,47.1,0.05,0.0,2.3599999999999994,,0.0,5.589104023905702,0.4983914416221644,19.188070502453332,74.24252510735886,1.2103792153681137,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2300346335312612,1.7623469387755104,3.23,2.0,5.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.396421356613,1.7850375007471837,5.5052088669690304,272.94,280.37,46.77,0.12,0.0,2.3599999999999994,,0.0,5.651402954108472,0.5606903718249351,19.188070502453332,74.39382250927987,1.3616766172891277,169.9514815931581,5.090712582283537,11.35620499124789,73.03214589199074,90.26225001664271,0.3502576314054701,0.33353513338983737,0.12287829662814528,0.1259501419327064,0.04819433793885907,0.019184458704981772,2.290358890189378,18.5309769861,82.4386079642,40.6,47.8,557.1630323,22.7954017607979,59.590767513458,200.0,261.7672082415,2631.5643033840665
