date,Cases inz_entries 0 - 9,Cases inz_entries 10 - 19,Cases inz_entries 20 - 29,Cases inz_entries 30 - 39,Cases inz_entries 40 - 49,Cases inz_entries 50 - 59,Cases inz_entries 60 - 69,Cases inz_entries 70 - 79,Cases inz_entries 80+,Cases inzsumTotal 0 - 9,Cases inzsumTotal 10 - 19,Cases inzsumTotal 20 - 29,Cases inzsumTotal 30 - 39,Cases inzsumTotal 40 - 49,Cases inzsumTotal 50 - 59,Cases inzsumTotal 60 - 69,Cases inzsumTotal 70 - 79,Cases inzsumTotal 80+,Death inz_entries 0 - 9,Death inz_entries 10 - 19,Death inz_entries 20 - 29,Death inz_entries 30 - 39,Death inz_entries 40 - 49,Death inz_entries 50 - 59,Death inz_entries 60 - 69,Death inz_entries 70 - 79,Death inz_entries 80+,Death inzsumTotal 0 - 9,Death inzsumTotal 10 - 19,Death inzsumTotal 20 - 29,Death inzsumTotal 30 - 39,Death inzsumTotal 40 - 49,Death inzsumTotal 50 - 59,Death inzsumTotal 60 - 69,Death inzsumTotal 70 - 79,Death inzsumTotal 80+,Hosp inz_entries 0 - 9,Hosp inz_entries 10 - 19,Hosp inz_entries 20 - 29,Hosp inz_entries 30 - 39,Hosp inz_entries 40 - 49,Hosp inz_entries 50 - 59,Hosp inz_entries 60 - 69,Hosp inz_entries 70 - 79,Hosp inz_entries 80+,Hosp inzsumTotal 0 - 9,Hosp inzsumTotal 10 - 19,Hosp inzsumTotal 20 - 29,Hosp inzsumTotal 30 - 39,Hosp inzsumTotal 40 - 49,Hosp inzsumTotal 50 - 59,Hosp inzsumTotal 60 - 69,Hosp inzsumTotal 70 - 79,Hosp inzsumTotal 80+,Cases inz_entries female,Cases inz_entries male,Cases inzsumTotal female,Cases inzsumTotal male,Death inz_entries female,Death inz_entries male,Death inzsumTotal female,Death inzsumTotal male,Hosp inz_entries female,Hosp inz_entries male,Hosp inzsumTotal female,Hosp inzsumTotal male,AtLeastOneDosePersons per100PersonsTotal,COVID19FullyVaccPersons per100PersonsTotal,ICU_AllPatients,ICU_Covid19Patients,ICU_Capacity,Total_AllPatients,Total_Covid19Patients,Total_Capacity,ICU_NonCovid19Patients,ICU_FreeCapacity,Total_NonCovid19Patients,Total_FreeCapacity,prct_B.1.1.7,prct_B.1.351,prct_P.1,prct_P.2,prct_B.1.617.1,prct_B.1.617.2,prct_B.1.525,prct_B.1.526,case_entries,case_inz_entries,case_inzsumTotal,hosp_inz_entries,hosp_inzsumTotal,death_inz_entries,death_inzsumTotal,test_entries,test_inz_entries,test_inzsumTotal,median_R_mean,median_R_highHPD,median_R_lowHPD,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kofStrigency,Borders,Events,Gatherings/private events,Demonstrations,Primary (includes kindergarten) and lower secondary school,"Upper secondary school, vocational schools and higher education",Universities and other educational establishments,Mountain railways,Homeworking,Restaurants,Discos/Nightclubs,Shops/Markets,Penalties,Mask mandatory in publicly accessible establishments/ spaces (shops etc.),Mask mandatory in public transport,Masks mandatory in schools,Masks mandatory at work,"Cultural, entertainment and recreational facilities",Sport/Wellness facilities,Sport activities,Religious services,Singing allowed,isHoliday,intervistaMob,meanNeighborIncidence,maxNeighborIncidence,temp_min,temp_max,clouds,precipitation
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,72.0,347.0,0.0,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,0.0,2.08,3.75,0.89,1.0,1.0,27.0,10.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.7503666318912,0.0,0.0,269.97,278.14,57.1,0.09
2020-02-16,0.0,0.0,0.13666666666666666,0.22777777777777775,0.0,0.0,0.2811111111111111,0.0,0.0,0.0,0.0,0.13666666666666666,0.22777777777777775,0.0,0.0,0.2811111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13666666666666666,0.22777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13666666666666666,0.22777777777777775,0.0,0.0,0.0,0.0,0.0,0.06555555555555555,0.09666666666666666,0.06555555555555555,0.09666666666666666,0.0,0.0,0.0,0.0,0.03222222222222222,0.06444444444444444,0.03222222222222222,0.06444444444444444,0.0,0.0,17.477272727272727,0.4772727272727273,72.0,348.27272727272725,1.2727272727272727,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,0.20683673469387753,2.08,3.75,0.89,9.0,10.0,27.0,12.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.1815672718391,0.3744646757674267,1.7230905684049351,272.72,280.0,62.74,0.12
2020-02-17,0.0,0.0,0.2733333333333333,0.4555555555555555,0.0,0.0,0.5622222222222222,0.0,0.0,0.0,0.0,0.2733333333333333,0.4555555555555555,0.0,0.0,0.5622222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733333333333333,0.4555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733333333333333,0.4555555555555555,0.0,0.0,0.0,0.0,0.0,0.1311111111111111,0.19333333333333333,0.1311111111111111,0.19333333333333333,0.0,0.0,0.0,0.0,0.06444444444444444,0.1288888888888889,0.06444444444444444,0.1288888888888889,0.0,0.0,17.954545454545453,0.9545454545454546,72.0,349.54545454545456,2.5454545454545454,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,0.41367346938775507,2.08,3.75,0.89,-3.0,-2.0,-5.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.5246952761707,0.6052343908137363,2.4403164117620504,273.33,280.73,61.07,0.12
2020-02-18,0.0,0.0,0.41,0.6833333333333332,0.0,0.0,0.8433333333333333,0.0,0.0,0.0,0.0,0.41,0.6833333333333332,0.0,0.0,0.8433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.6833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.6833333333333332,0.0,0.0,0.0,0.0,0.0,0.19666666666666666,0.29,0.19666666666666666,0.29,0.0,0.0,0.0,0.0,0.09666666666666666,0.19333333333333333,0.09666666666666666,0.19333333333333333,0.0,0.0,18.431818181818183,1.4318181818181819,72.0,350.8181818181818,3.8181818181818183,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,0.6205102040816326,2.08,3.75,0.89,2.0,2.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.9136775682054,0.7892798336171485,2.8304723494188844,272.58,279.55,51.28,0.02
2020-02-19,0.0,0.0,0.5466666666666666,0.911111111111111,0.0,0.0,1.1244444444444444,0.0,0.0,0.0,0.0,0.5466666666666666,0.911111111111111,0.0,0.0,1.1244444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5466666666666666,0.911111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5466666666666666,0.911111111111111,0.0,0.0,0.0,0.0,0.0,0.2622222222222222,0.38666666666666666,0.2622222222222222,0.38666666666666666,0.0,0.0,0.0,0.0,0.1288888888888889,0.2577777777777778,0.1288888888888889,0.2577777777777778,0.0,0.0,18.90909090909091,1.9090909090909092,72.0,352.09090909090907,5.090909090909091,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,0.8273469387755101,2.08,3.75,0.89,-3.0,-1.0,-10.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6725849380059,0.9522811729879976,3.0733195630477748,272.68,280.39,55.34,0.04
2020-02-20,0.0,0.0,0.6833333333333333,1.1388888888888888,0.0,0.0,1.4055555555555554,0.0,0.0,0.0,0.0,0.6833333333333333,1.1388888888888888,0.0,0.0,1.4055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833333333333333,1.1388888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833333333333333,1.1388888888888888,0.0,0.0,0.0,0.0,0.0,0.3277777777777777,0.48333333333333334,0.3277777777777777,0.48333333333333334,0.0,0.0,0.0,0.0,0.1611111111111111,0.3222222222222222,0.1611111111111111,0.3222222222222222,0.0,0.0,19.386363636363637,2.3863636363636367,72.0,353.3636363636364,6.363636363636363,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,1.0341836734693877,2.08,3.75,0.89,5.0,-1.0,27.0,9.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0540246815365,1.1039632071713223,3.236931640363998,271.5,282.34,49.74,0.06
2020-02-21,0.0,0.0,0.82,1.3666666666666665,0.0,0.0,1.6866666666666665,0.0,0.0,0.0,0.0,0.82,1.3666666666666665,0.0,0.0,1.6866666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.3666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.3666666666666665,0.0,0.0,0.0,0.0,0.0,0.3933333333333333,0.58,0.3933333333333333,0.58,0.0,0.0,0.0,0.0,0.19333333333333333,0.38666666666666666,0.19333333333333333,0.38666666666666666,0.0,0.0,19.863636363636363,2.8636363636363638,72.0,354.6363636363636,7.636363636363637,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,1.2410204081632652,2.08,3.75,0.89,-2.0,0.0,16.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.6920388982432,1.2488106157813494,3.3527013386671336,273.17,281.92,56.32,0.14
2020-02-22,0.0,0.0,0.9566666666666666,1.594444444444444,0.0,0.0,1.9677777777777776,0.0,0.0,0.0,0.0,0.9566666666666666,1.594444444444444,0.0,0.0,1.9677777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566666666666666,1.594444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566666666666666,1.594444444444444,0.0,0.0,0.0,0.0,0.0,0.45888888888888885,0.6766666666666666,0.45888888888888885,0.6766666666666666,0.0,0.0,0.0,0.0,0.22555555555555556,0.45111111111111113,0.22555555555555556,0.45111111111111113,0.0,0.0,20.34090909090909,3.340909090909091,72.0,355.90909090909093,8.909090909090908,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,1.4478571428571427,2.08,3.75,0.89,3.0,0.0,65.0,22.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.6544883754501,1.3739156189887085,3.330274199151595,273.84,281.83,61.26,0.04
2020-02-23,0.0,0.0,1.0933333333333333,1.822222222222222,0.0,0.0,2.2488888888888887,0.0,0.0,0.0,0.0,1.0933333333333333,1.822222222222222,0.0,0.0,2.2488888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933333333333333,1.822222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933333333333333,1.822222222222222,0.0,0.0,0.0,0.0,0.0,0.5244444444444444,0.7733333333333333,0.5244444444444444,0.7733333333333333,0.0,0.0,0.0,0.0,0.2577777777777778,0.5155555555555555,0.2577777777777778,0.5155555555555555,0.0,0.0,20.81818181818182,3.8181818181818183,72.0,357.1818181818182,10.181818181818182,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,1.6546938775510203,2.08,3.75,0.89,21.0,25.0,4.0,26.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.1812553039093,1.568042810431749,3.791002377285828,273.71,282.04,54.1,0.07
2020-02-24,0.0,0.0,1.23,2.05,0.0,0.0,2.53,0.0,0.0,0.0,0.0,1.23,2.05,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2.05,0.0,0.0,0.0,0.0,0.0,0.59,0.87,0.59,0.87,0.0,0.0,0.0,0.0,0.29,0.58,0.29,0.58,0.0,0.0,21.295454545454547,4.295454545454546,72.0,358.45454545454544,11.454545454545455,969.0,17.0,34.0,347.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0543789900225544,0.13346406522697726,1.8615306122448978,2.08,3.75,0.89,5.0,2.0,66.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.396421356613,1.6964027167117643,3.791359559278885,273.4,281.01,48.83,0.07
