,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",281.66,275.1,1012,58,280.37,284.15,6.69,270,43,,
1,2021-02-04 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.68,274.41,1013,81,279.82,282.15,7.2,270,0,,
2,2021-02-04 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.7,275.44,1013,93,279.26,280.15,4.63,290,0,,
3,2021-02-04 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.62,275.22,1014,93,278.15,279.15,3.09,90,0,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.93,275.68,1014,100,277.59,278.15,1.54,110,0,,
5,2021-02-04 05:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",278.15,276.1,1015,93,278.15,278.15,1.03,0,23,,
6,2021-02-04 06:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",276.95,273.79,1010,83,274.82,278.15,1.94,185,34,,
7,2021-02-04 07:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",276.72,273.72,1011,85,274.82,277.59,1.73,169,99,,
8,2021-02-04 08:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",277.19,274.46,1012,88,275.93,278.71,1.57,156,99,,
9,2021-02-04 09:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",279.96,277.7,1012,81,278.15,282.04,1.28,149,100,,
10,2021-02-04 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.93,281.04,1017,71,282.59,283.15,1.03,0,0,,
11,2021-02-04 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.81,280.7,1017,66,282.04,283.15,1.03,0,0,,
12,2021-02-04 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.23,280.84,1016,66,282.59,284.15,1.54,0,0,,
13,2021-02-04 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.24,279.33,1016,76,282.04,282.59,2.57,300,0,,
14,2021-02-04 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.42,280.27,1015,76,282.04,283.15,1.54,0,75,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.29,280.11,1015,76,282.04,282.59,1.54,230,75,0.17,
16,2021-02-04 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",280.65,278.54,1010,74,278.15,282.04,0.91,178,100,,
17,2021-02-04 17:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.1,277.6,1010,77,277.59,281.48,1.47,165,100,,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.29,276.97,1010,80,276.48,280.93,1.16,153,100,,
19,2021-02-04 19:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",278.64,276.15,1014,87,276.48,280.15,1.54,250,75,,
20,2021-02-04 20:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",277.96,275.52,1014,93,275.93,279.15,1.54,100,75,,
21,2021-02-04 21:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.66,276.08,1013,100,275.93,278.71,0.51,0,20,,
22,2021-02-04 22:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.74,274.9,1013,93,275.93,279.15,2.06,270,0,,
23,2021-02-04 23:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.62,275.67,1013,100,276.48,278.15,1.03,0,0,,
24,2021-02-05 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.11,274.71,1012,100,276.48,277.59,1.54,270,0,,
25,2021-02-05 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.03,274.97,1012,100,275.93,278.15,1.03,0,0,,
26,2021-02-05 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.26,275.24,1012,100,276.15,279.26,1.03,100,100,,
27,2021-02-05 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.57,274.42,1012,100,275.15,278.71,1.03,200,68,,
28,2021-02-05 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.33,274.5,1012,100,275.93,277.04,0.51,0,0,,
29,2021-02-05 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.66,273.35,1012,100,275.15,276.48,1.03,0,0,,
30,2021-02-05 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.27,272.9,1013,100,274.82,275.93,1.03,0,0,,
31,2021-02-05 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",275.13,273.1,1013,100,274.82,275.37,0.51,0,0,,
32,2021-02-05 08:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",275.93,272.23,1014,100,274.82,277.15,3.09,120,20,,
33,2021-02-05 09:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",279.17,277.32,1015,93,277.04,280.93,1.03,0,20,,
34,2021-02-05 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.92,277.5,1014,93,279.82,280.15,2.06,80,0,,
35,2021-02-05 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.19,279.2,1014,87,280.37,282.04,1.54,0,0,,
36,2021-02-05 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.45,280.73,1013,87,282.04,283.15,1.54,290,0,,
37,2021-02-05 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.45,280.13,1013,81,281.48,283.71,2.06,280,0,,
38,2021-02-05 14:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.97,280.93,1012,76,281.48,284.26,1.54,290,0,,
39,2021-02-05 15:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.79,280.71,1013,76,280.93,284.26,1.54,280,0,,
40,2021-02-05 16:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.03,280.35,1012,81,279.82,283.15,1.03,0,75,,
41,2021-02-05 17:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.06,279.01,1012,76,277.59,283.15,1.03,210,75,,
42,2021-02-05 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.54,279.34,1012,93,278.15,282.04,0.51,0,90,,
43,2021-02-05 19:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",281.6,279.19,1011,93,281.15,282.04,2.57,100,90,,
44,2021-02-05 20:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.44,277.57,1011,87,277.59,282.15,2.57,90,75,,
45,2021-02-05 21:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.56,276.43,1010,81,279.82,281.15,4.12,90,100,,
46,2021-02-05 22:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.17,276.88,1009,76,279.26,281.15,2.57,130,100,,
47,2021-02-05 23:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.8,276.88,1009,93,278.15,279.26,1.03,0,0,,
48,2021-02-06 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.44,274.91,1009,93,275.93,278.15,1.54,0,0,,
49,2021-02-06 01:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.64,274.51,1009,100,275.93,277.59,1.03,0,100,,
50,2021-02-06 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.37,273.47,1009,100,274.82,277.15,2.06,280,100,,
51,2021-02-06 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.86,273.23,1008,100,274.82,276.48,1.54,110,0,,
52,2021-02-06 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.03,273.43,1008,100,275.37,276.48,1.54,120,0,,
53,2021-02-06 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.42,275.07,1008,100,277.04,278.15,1.54,0,0,,
54,2021-02-06 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.54,275.22,1007,100,277.04,278.15,1.54,260,0,,
55,2021-02-06 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.93,276.04,1007,100,277.59,278.15,1.03,0,0,,
56,2021-02-06 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.97,276.45,1008,100,277.59,278.15,0.51,0,0,,
57,2021-02-06 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.05,277.39,1008,100,278.71,279.26,1.03,0,0,,
58,2021-02-06 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.98,278.52,1008,100,279.15,280.93,1.03,0,0,,
59,2021-02-06 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",280.27,278.29,1007,93,279.82,280.93,1.54,0,0,,
60,2021-02-06 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",280.66,278.4,1006,93,280.15,281.48,2.06,300,0,,
61,2021-02-06 13:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.74,279.46,1005,100,280.15,281.48,1.03,0,68,,
62,2021-02-06 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.08,279.88,1004,100,280.15,281.48,1.03,0,62,,
63,2021-02-06 15:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",280.87,279.62,1003,100,280.15,281.48,1.03,50,20,,
64,2021-02-06 16:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",280.48,279.14,1002,100,280.15,280.93,1.03,0,20,,
65,2021-02-06 17:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.45,277.88,1001,100,279.15,279.82,1.03,270,75,,
66,2021-02-06 18:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.05,277.39,1000,100,278.71,279.26,1.03,270,75,,
67,2021-02-06 19:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",278.47,276.69,999,100,277.15,279.26,1.03,0,100,,
68,2021-02-06 20:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.72,276.27,998,100,278.15,279.26,2.06,250,100,,
69,2021-02-06 21:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.79,274.91,998,100,277.59,280.15,4.12,280,90,,
70,2021-02-06 22:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.82,276.66,998,93,278.71,280.93,3.09,260,0,,
71,2021-02-06 23:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.32,275.55,999,100,278.15,280.93,4.12,280,76,,
72,2021-02-07 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.13,274.25,1000,100,278.15,280.37,5.66,290,0,,
73,2021-02-07 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.93,275.68,1000,100,277.59,278.15,1.54,0,0,,
74,2021-02-07 02:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",277.37,275.37,1000,100,277.04,278.15,1.03,0,75,,
75,2021-02-07 03:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",277.03,274.25,998,100,276.48,277.59,2.06,160,38,,
76,2021-02-07 04:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",276.85,274.75,997,100,276.48,277.15,1.03,0,48,,
77,2021-02-07 05:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.93,273.77,997,100,275.93,278.15,2.57,270,90,,
78,2021-02-07 06:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",277.15,273.31,996,100,276.48,278.15,3.6,300,90,,
79,2021-02-07 07:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",276.58,272.27,997,100,275.93,278.15,4.12,260,90,,
80,2021-02-07 08:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",276.93,275.21,997,100,275.93,277.59,0.51,0,90,,
81,2021-02-07 09:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",278.02,275.43,997,100,277.04,278.71,2.06,110,90,,
82,2021-02-07 10:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",278.23,276.04,997,100,277.04,279.26,1.54,0,90,0.36,
83,2021-02-07 11:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",278.45,276.67,997,100,277.04,279.82,1.03,0,75,0.5,
84,2021-02-07 12:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",278.05,276.18,996,100,276.48,279.26,1.03,0,75,0.39,
85,2021-02-07 13:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",277.84,275.93,996,100,276.48,278.71,1.03,0,90,0.29,
86,2021-02-07 14:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",277.74,275.09,995,100,275.93,279.15,2.06,0,90,0.33,
87,2021-02-07 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",277.17,273.33,995,100,274.82,279.15,3.6,280,75,0.29,
88,2021-02-07 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",276.6,273.56,995,93,273.71,279.15,2.06,250,75,0.67,
89,2021-02-07 17:00:00,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",275.48,272.06,996,100,273.15,278.15,2.57,270,75,0.52,
90,2021-02-07 18:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",274.97,270.59,997,93,273.15,277.15,3.6,260,75,0.42,
91,2021-02-07 19:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",274.97,268.79,997,93,273.15,277.15,6.17,270,75,0.42,
92,2021-02-07 20:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",274.29,267.79,998,100,272.59,276.15,6.69,270,75,0.23,
93,2021-02-07 21:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",273.9,270.08,998,93,272.04,276.15,2.57,260,75,0.3,
94,2021-02-07 22:00:00,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",274.11,270.47,998,100,272.04,276.15,2.57,120,75,,0.13
95,2021-02-07 23:00:00,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",274.11,270.91,998,87,272.04,276.15,1.54,0,75,,0.12
96,2021-02-08 00:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",273.93,270.83,998,93,271.48,276.15,1.54,120,40,,
97,2021-02-08 01:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",273.83,271.19,997,81,270.93,277.15,0.51,0,75,,
98,2021-02-08 02:00:00,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",273.54,269.67,997,93,270.93,276.15,2.57,120,75,,0.12
