,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",281.02,274.64,1013,76,279.82,282.15,7.2,250,20,,
1,2021-02-04 01:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.41,277.69,1014,81,279.26,281.15,2.06,110,75,,
2,2021-02-04 02:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.23,278.56,1014,81,279.26,280.93,0.51,120,75,,
3,2021-02-04 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.35,277.35,1014,87,278.71,280.37,1.03,0,75,,
4,2021-02-04 04:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",278.72,276.78,1015,93,277.59,279.82,1.03,0,75,,
5,2021-02-04 05:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",277.72,275.96,1015,93,277.04,279.26,0.51,0,75,,
6,2021-02-04 06:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.19,275.16,1015,100,276.15,278.71,1.03,0,20,,
7,2021-02-04 07:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",276.33,273.78,1015,100,275.15,278.15,1.54,230,20,,
8,2021-02-04 08:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",276.72,274.42,1015,93,275.93,278.15,1.03,0,75,,
9,2021-02-04 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.1,276.24,1016,100,276.15,279.82,1.03,190,0,,
10,2021-02-04 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",280.11,277.37,1016,93,278.71,281.48,2.57,160,0,,
11,2021-02-04 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.11,279.72,1016,81,280.93,283.71,2.06,110,0,,
12,2021-02-04 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.3,281.68,1015,76,282.59,284.82,1.03,0,0,,
13,2021-02-04 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.04,280.57,1015,71,283.15,285.37,3.6,110,0,,
14,2021-02-04 14:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.01,280.89,1015,71,283.15,284.82,3.09,110,0,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",283.92,280.93,1014,66,283.15,284.82,2.57,110,0,0.47,
16,2021-02-04 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",283.21,281.22,1014,76,282.59,283.71,1.54,70,100,,
17,2021-02-04 17:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",282.56,281.22,1014,87,281.48,283.71,1.03,0,0,,
18,2021-02-04 18:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",282.3,280.67,1014,81,281.48,283.15,1.03,140,0,,
19,2021-02-04 19:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",281.65,280.11,1014,87,280.37,283.15,1.03,0,0,,
20,2021-02-04 20:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",281.41,279.25,1013,87,279.82,282.59,1.85,116,0,,
21,2021-02-04 21:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",281.44,279.1,1013,76,279.82,282.59,1.54,110,0,,
22,2021-02-04 22:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.86,279.01,1013,93,279.82,282.04,1.54,330,0,,
23,2021-02-04 23:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.55,278.42,1012,87,279.26,282.04,1.54,0,0,,
24,2021-02-05 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.17,278.17,1012,93,278.71,281.48,1.54,310,0,,
25,2021-02-05 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.31,277.49,1012,93,278.15,280.93,1.03,300,0,,
26,2021-02-05 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.92,276.66,1012,93,277.59,280.37,1.54,310,0,,
27,2021-02-05 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.61,276.5,1012,100,277.59,279.82,1.54,230,0,,
28,2021-02-05 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.4,276.25,1012,100,277.04,279.82,1.54,210,0,,
29,2021-02-05 05:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.41,275.69,1012,93,277.04,279.82,2.06,160,90,,
30,2021-02-05 06:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.85,275.68,1013,87,277.04,280.37,2.57,170,90,,
31,2021-02-05 07:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",278.87,275.7,1013,87,277.04,280.37,2.57,170,75,,
