,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,wind.gust,snow.1h
0,2021-02-04 00:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",277.98,276.89,1015,50,276.48,280.93,1.51,256,79,,,
1,2021-02-04 01:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.81,275.73,1016,51,276.48,277.59,1.39,262,89,,,
2,2021-02-04 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.7,277.94,1010,75,276.48,279.82,1.34,163,85,,,
3,2021-02-04 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.2,276.2,1015,52,275.37,277.59,0.45,180,77,,,
4,2021-02-04 04:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.53,275.33,1016,54,275.37,278.71,1.44,219,72,,,
5,2021-02-04 05:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.03,274.89,1018,53,275.37,277.04,1.36,204,73,,,
6,2021-02-04 06:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",274.99,274.99,1017,53,274.82,275.37,0.45,292,69,,,
7,2021-02-04 07:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",275.11,272.59,1018,53,274.26,276.48,2.36,187,39,,,
8,2021-02-04 08:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",277.43,275.44,1015,77,275.93,279.82,2.24,87,56,,,
9,2021-02-04 09:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",278.85,278.85,1016,74,277.59,280.93,0.89,63,68,,,
10,2021-02-04 10:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.48,280.34,1018,27,279.26,283.15,2.06,163,73,,,
11,2021-02-04 11:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.39,281.37,1018,21,280.37,283.71,2.11,167,71,,,
12,2021-02-04 12:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.98,280.78,1018,21,279.26,283.71,2.24,172,70,,,
13,2021-02-04 13:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.8,280.69,1017,19,279.26,283.15,2.09,177,74,,,
14,2021-02-04 14:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",281.54,280.43,1017,19,279.82,282.59,2.04,203,87,,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",280.94,280.94,1017,20,279.26,282.59,0.89,248,91,0.21,,
16,2021-02-04 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",279.33,279.33,1016,20,278.15,279.82,0.64,189,93,,,
17,2021-02-04 17:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.89,277.92,1012,60,277.59,280.37,1.52,155,95,,,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.16,278.16,1012,61,276.48,279.82,0.45,181,95,,,
19,2021-02-04 19:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.41,274.51,1011,61,276.48,278.71,3.35,180,100,,,
20,2021-02-04 20:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.15,274.99,1011,55,275.93,280.37,4.04,173,100,,,
21,2021-02-04 21:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.35,273.76,1013,71,273.15,279.82,2.68,56,100,,,
22,2021-02-04 22:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.13,276.13,1014,78,273.71,278.71,0.45,28,100,,,
23,2021-02-04 23:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.1,276.1,1013,76,273.71,278.15,0.45,9,100,,,
24,2021-02-05 00:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.1,276.1,1013,73,273.71,278.15,0.45,346,100,,,
25,2021-02-05 01:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.13,274.41,1012,64,273.15,279.26,1.79,90,100,,,
26,2021-02-05 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.09,272.07,1012,79,273.15,278.71,4.7,176,100,,,
27,2021-02-05 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.11,276.11,1011,72,273.71,277.59,0.45,0,74,,,
28,2021-02-05 04:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",275.91,275.91,1012,76,274.26,277.04,0.45,0,58,,,
29,2021-02-05 05:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",275.37,271.54,1013,80,274.26,276.48,4.08,178,48,,,
30,2021-02-05 06:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",275.19,271.49,1014,82,274.26,275.93,3.82,182,56,,,
31,2021-02-05 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",276.51,272.93,1011,57,274.82,278.71,4.11,183,4,,,
32,2021-02-05 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.05,273.9,1011,60,274.82,278.15,3.62,181,4,,,
33,2021-02-05 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.96,277.56,1011,55,277.04,281.48,3.42,179,2,,,
34,2021-02-05 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.55,279.58,1016,27,279.82,284.82,3.26,178,2,,,
35,2021-02-05 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.22,280.42,1014,71,280.37,285.37,3.21,177,4,,,
36,2021-02-05 12:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",284.55,282.22,1015,18,282.04,285.93,0.89,315,14,,,
37,2021-02-05 13:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.96,282.96,1013,71,281.48,285.93,0.89,250,96,,,
38,2021-02-05 14:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.86,282.86,1015,19,281.48,285.37,0.89,248,98,,,
39,2021-02-05 15:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.97,281.1,1015,19,281.48,285.37,3.65,188,99,,,
40,2021-02-05 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",281.87,280.03,1013,20,280.37,283.71,3.16,184,99,,,
41,2021-02-05 17:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.53,277.21,1013,21,277.59,282.59,3.15,176,99,,,
