,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,wind.gust,snow.1h
0,2021-02-04 00:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",277.94,274.41,1013,54,271.317,284.15,4.63,240,75,,,
1,2021-02-04 01:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",278.03,275.45,1013,57,270.817,283.15,3.09,210,20,,,
2,2021-02-04 02:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",277.44,277.44,1014,61,270.872,282.15,1.03,0,40,,,
3,2021-02-04 03:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",275.85,275.85,1014,81,270.594,279.15,1.03,0,20,,,
4,2021-02-04 04:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",274.76,273.17,1015,93,270.483,277.15,1.54,190,25,,,
5,2021-02-04 05:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",274.38,272.74,1015,87,270.928,277.04,1.54,200,32,,,
6,2021-02-04 06:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",274.43,271.73,1015,93,271.483,276.15,2.41,177,29,,,
7,2021-02-04 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",273.93,273.93,1015,93,271.594,276.15,1.03,200,0,,,
8,2021-02-04 08:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",274.83,273.25,1016,93,272.706,277.15,1.54,200,20,,,
9,2021-02-04 09:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",276.46,276.46,1016,87,274.039,278.15,0.51,0,40,,,
10,2021-02-04 10:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",278.64,277.6,1016,87,276.872,279.82,1.54,180,40,,,
11,2021-02-04 11:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.53,279.53,1016,81,276.428,281.15,0.51,0,75,,,
12,2021-02-04 12:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.09,280.09,1015,71,276.539,282.59,0.51,0,75,,,
13,2021-02-04 13:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",280.43,280.43,1015,76,275.594,283.71,1.03,0,75,0.29,,
14,2021-02-04 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.34,280.34,1015,66,274.817,283.71,1.1,192,75,,,
15,2021-02-04 15:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",279.83,279.83,1015,71,274.094,282.59,0.51,100,90,,,
16,2021-02-04 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",278.97,278.97,1015,81,272.65,282.04,0.51,0,75,0.23,,
17,2021-02-04 17:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.14,278.14,1015,81,272.206,280.93,0.51,0,90,,,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.26,277.26,1015,81,272.15,280.15,0.51,0,90,,,
19,2021-02-04 19:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.41,275.06,1014,87,272.594,278.15,1.54,180,20,,,
20,2021-02-04 20:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.28,274.91,1014,93,272.483,278.15,1.54,300,20,,,
21,2021-02-04 21:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.39,274.4,1013,93,273.372,278.15,2.06,210,20,,,
22,2021-02-04 22:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",277.21,277.21,1013,87,276.317,278.15,1.03,0,40,,,
23,2021-02-04 23:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.54,274.58,1013,87,274.817,277.59,2.06,210,20,,,
24,2021-02-05 00:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.05,274.65,1013,100,275.15,277.15,1.54,220,20,,,
25,2021-02-05 01:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",275.73,275.73,1013,93,274.594,277.15,1.03,0,20,,,
26,2021-02-05 02:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",275.23,273.71,1012,93,274.15,276.48,1.54,180,20,,,
27,2021-02-05 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",275.2,275.2,1012,93,275.039,275.37,1.03,0,75,,,
28,2021-02-05 04:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",274.94,272.71,1012,93,274.15,275.539,2.06,200,75,,,
29,2021-02-05 05:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",274.45,272.82,1014,93,273.872,275.15,1.54,200,20,,,
30,2021-02-05 06:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",273.88,273.88,1014,100,273.539,274.15,1.03,0,20,,,
31,2021-02-05 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",273.53,271.77,1015,93,272.761,275.15,1.54,210,0,,,
32,2021-02-05 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",273.58,273.58,1015,100,273.15,274.15,1.03,0,0,,,
33,2021-02-05 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",276.28,276.28,1015,93,275.483,278.15,1.03,180,0,,,
34,2021-02-05 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.18,278.34,1015,76,276.706,281.15,1.45,167,0,,,
35,2021-02-05 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.39,280.75,1014,76,278.65,285.37,1.54,50,0,,,
36,2021-02-05 12:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",282.28,281.76,1013,66,278.65,286.48,1.54,40,41,,,
37,2021-02-05 13:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.36,282.36,1013,66,277.706,287.04,1.03,0,20,,,
