,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,wind.gust
0,2021-02-04 00:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",280.9,277.3,1012,58,278.15,284.15,6.69,270,45,,
1,2021-02-04 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.95,277.2,1013,81,279.82,282.15,7.2,270,0,,
2,2021-02-04 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.99,276.96,1013,93,279.26,280.93,4.63,290,0,,
3,2021-02-04 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.59,276.12,1014,93,278.15,279.15,3.09,90,0,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.74,276.58,1014,100,277.59,278.15,1.54,110,0,,
5,2021-02-04 05:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.99,277.99,1015,93,277.59,278.15,1.03,0,15,,
6,2021-02-04 06:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",277.6,275.82,1015,100,276.15,278.15,2.06,110,20,,
7,2021-02-04 07:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",277.63,277.63,1015,93,277.15,278.15,1.03,0,75,,
8,2021-02-04 08:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",277.66,277.66,1016,100,277.04,278.15,1.03,0,40,,
9,2021-02-04 09:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",280.2,278.85,1016,87,279.82,281.15,2.06,90,20,,
10,2021-02-04 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.6,282.6,1017,71,282.04,283.15,1.03,0,0,,
11,2021-02-04 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.45,282.26,1017,66,283.15,284.26,1.03,0,0,,
12,2021-02-04 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.47,282.28,1016,66,282.59,284.26,1.54,0,0,,
13,2021-02-04 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.82,281.53,1016,76,282.04,284.82,2.57,300,0,,
14,2021-02-04 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.67,282.21,1015,76,282.04,284.26,1.54,0,75,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.32,281.81,1015,76,282.04,282.59,1.54,230,75,0.17,
16,2021-02-04 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.09,281.06,1015,76,281.15,283.15,2.06,280,75,0.25,
17,2021-02-04 17:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.54,281.54,1015,81,281.15,282.04,1.03,0,75,,
18,2021-02-04 18:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.46,280.46,1014,93,280.15,280.93,1.03,0,75,,
19,2021-02-04 19:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.66,278.77,1014,87,279.26,280.15,1.54,250,75,,
20,2021-02-04 20:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",278.98,277.99,1014,93,278.71,279.26,1.54,100,75,,
21,2021-02-04 21:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",278.55,278.55,1013,100,278.15,278.71,0.51,0,20,,
22,2021-02-04 22:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.43,276.78,1013,93,278.15,279.15,2.06,270,0,,
23,2021-02-04 23:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.15,278.15,1013,100,278.15,278.15,1.03,0,0,,
24,2021-02-05 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.77,276.61,1012,100,277.15,278.71,1.54,270,0,,
25,2021-02-05 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.96,277.96,1012,100,277.04,279.26,1.03,0,0,,
26,2021-02-05 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.15,277.15,1012,100,276.15,279.26,1.03,100,100,,
27,2021-02-05 03:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",276.47,276.47,1012,100,275.15,278.71,1.03,200,68,,
28,2021-02-05 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.29,276.29,1012,100,275.93,277.04,0.51,0,0,,
29,2021-02-05 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",275.46,275.46,1012,100,275.15,275.93,1.03,0,0,,
