,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",280.66,278.87,1012,83,279.82,281.48,0.89,0,15,,
1,2021-02-04 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.1,277.93,1012,84,279.26,281.48,1.34,323,9,,
2,2021-02-04 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.76,277.18,1012,83,279.26,280.37,1.79,299,6,,
3,2021-02-04 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.22,275.95,1013,84,278.71,279.82,2.68,353,5,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.54,275.77,1013,84,278.15,278.71,1.79,320,3,,
5,2021-02-04 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.42,275.4,1013,84,277.04,277.59,0.45,227,2,,
6,2021-02-04 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.26,273.59,1014,90,275.93,277.04,1.34,147,7,,
7,2021-02-04 07:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",275.48,273.33,1014,91,274.82,276.48,0.45,248,100,,
8,2021-02-04 08:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",275.43,272.99,1015,92,274.26,277.04,0.89,250,100,,
9,2021-02-04 09:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",276.76,274.75,1015,92,275.93,278.15,0.58,137,100,,
10,2021-02-04 10:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",279.03,277.47,1016,90,278.15,280.37,0.45,248,100,,
11,2021-02-04 11:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",281.19,279.82,1015,83,280.37,283.15,0.45,166,100,,
12,2021-02-04 12:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.15,280.24,1015,80,281.48,283.15,1.34,182,100,,
13,2021-02-04 13:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.54,281.22,1015,77,282.04,283.15,0.45,175,100,,
14,2021-02-04 14:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.55,281.27,1014,78,282.04,283.15,0.45,180,100,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.15,280.82,1014,79,281.48,282.59,0.45,176,100,0.16,
16,2021-02-04 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",281.78,280.6,1014,85,280.93,282.59,0.45,176,100,0.15,
17,2021-02-04 17:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",280.83,279.56,1014,88,279.82,281.48,0.45,282,100,0.18,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.1,278.54,1014,90,279.26,280.93,0.74,131,100,,
19,2021-02-04 19:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.76,278.34,1013,90,279.26,280.37,0.45,275,100,,
20,2021-02-04 20:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.04,277.51,1013,91,278.71,279.82,0.45,275,100,,
21,2021-02-04 21:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.65,276.74,1013,91,278.15,279.26,0.89,305,100,,
22,2021-02-04 22:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",278.49,276.85,1012,91,278.15,278.71,0.45,305,100,0.15,
23,2021-02-04 23:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.93,276.19,1012,91,277.59,278.15,0.45,336,100,,
24,2021-02-05 00:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.59,275.65,1012,91,277.59,277.59,0.65,77,100,,
25,2021-02-05 01:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",277.04,275.04,1012,91,277.04,277.04,0.6,41,100,,
26,2021-02-05 02:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.48,274.49,1011,91,276.48,276.48,0.45,351,99,,
27,2021-02-05 03:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.26,274.24,1011,91,275.93,276.48,0.45,351,95,,
28,2021-02-05 04:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.15,273.83,1012,92,275.93,276.48,0.89,351,93,,
