,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.31,279.34,1013,87,279.82,284.15,1.54,360,75,,
1,2021-02-04 01:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.07,276.14,1014,57,277.59,283.15,2.57,280,75,,
2,2021-02-04 02:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",279.99,276.15,1014,71,278.71,281.15,3.09,90,75,,
3,2021-02-04 03:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",279.24,276.5,1014,87,278.71,279.82,2.06,50,34,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.81,275.34,1015,93,277.04,279.26,1.54,0,0,,
5,2021-02-04 05:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",276.78,273.97,1015,87,275.15,278.15,1.54,250,49,,
6,2021-02-04 06:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",276.76,274.11,1015,93,275.93,278.15,1.54,230,46,,
7,2021-02-04 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",276.37,273.65,1015,93,275.93,277.04,1.54,0,0,,
8,2021-02-04 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",276.89,273.94,1016,81,276.48,277.15,1.54,250,0,,
9,2021-02-04 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.17,275.06,1016,81,277.59,278.71,2.06,220,0,,
10,2021-02-04 10:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.41,276.87,1016,81,279.15,279.82,1.54,0,75,,
11,2021-02-04 11:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.8,278.53,1016,71,280.37,281.15,1.03,0,75,,
