,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",281.69,277.05,1013,71,281.48,282.15,4.63,280,90,,
1,2021-02-04 01:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.19,278.62,1014,81,280.93,281.48,2.06,310,75,,
2,2021-02-04 02:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",279.38,277.21,1014,93,277.15,280.37,1.54,110,40,,
3,2021-02-04 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.8,276.88,1014,93,277.15,279.82,1.03,0,2,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.91,274.95,1014,93,276.15,279.26,2.27,223,1,,
5,2021-02-04 05:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.91,275.19,1015,100,274.15,278.71,0.51,20,20,,
6,2021-02-04 06:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",276.53,273.8,1015,93,274.15,278.15,1.59,194,8,,
7,2021-02-04 07:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",275.77,273.16,1015,93,274.15,276.48,1.25,170,20,,
8,2021-02-04 08:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",275.98,273.76,1015,100,274.15,277.04,0.98,147,100,,
9,2021-02-04 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.54,275.74,1016,93,276.15,278.15,0.52,129,0,,
10,2021-02-04 10:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",279.81,278.19,1016,87,279.15,280.37,0.61,64,20,,
11,2021-02-04 11:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",281.9,279.99,1016,71,280.93,282.59,0.79,59,20,,
12,2021-02-04 12:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",282.59,280.8,1016,66,281.48,283.15,0.51,0,20,,
13,2021-02-04 13:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.78,280.5,1016,71,282.04,283.15,1.54,30,75,,
14,2021-02-04 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.76,280.84,1015,71,282.59,283.15,1.03,0,75,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.76,280.84,1015,71,282.59,283.15,1.03,10,75,0.14,
16,2021-02-04 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.07,280.87,1014,81,282.04,282.15,0.36,173,40,0.42,
