,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,wind.gust
0,2021-02-04 00:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",278.89,277.89,1015,100,278.15,279.26,1.54,90,75,,
1,2021-02-04 01:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",278.88,277.31,1015,100,278.15,279.26,2.06,70,90,,
2,2021-02-04 02:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",278.08,278.08,1015,100,277.15,278.71,0.51,0,20,,
3,2021-02-04 03:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",277.84,276.0,1015,100,277.15,278.15,2.16,22,20,,
4,2021-02-04 04:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",276.48,276.48,1015,100,275.15,277.15,0.51,0,20,,
5,2021-02-04 05:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",276.42,276.42,1016,100,274.15,278.15,0.51,0,20,,
6,2021-02-04 06:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",276.18,273.53,1016,100,274.15,278.15,2.71,22,20,,
7,2021-02-04 07:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",275.63,273.02,1016,100,273.15,278.15,2.55,21,0,,
8,2021-02-04 08:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",275.62,275.62,1017,100,273.15,277.15,0.51,0,0,,
9,2021-02-04 09:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",277.92,277.92,1018,100,276.15,279.82,0.51,0,20,,
10,2021-02-04 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.88,279.88,1018,100,279.15,281.48,1.03,0,0,,
11,2021-02-04 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.82,282.82,1018,76,282.15,283.71,0.51,0,0,,
12,2021-02-04 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.59,283.77,1018,76,283.15,286.48,1.03,0,0,,
13,2021-02-04 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",285.95,284.9,1017,62,284.15,287.59,0.69,158,0,,
14,2021-02-04 14:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",285.25,284.03,1017,58,284.26,286.15,1.03,0,0,,
15,2021-02-04 15:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",285.1,284.2,1017,71,283.15,286.48,2.57,240,20,,
16,2021-02-04 16:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",284.64,283.7,1017,71,283.15,286.15,2.57,250,20,,
17,2021-02-04 17:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",282.54,281.2,1017,76,281.15,284.15,2.57,250,20,,
18,2021-02-04 18:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",282.05,282.05,1018,81,281.15,283.15,0.51,0,20,,
19,2021-02-04 19:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.24,280.36,1018,87,280.15,282.15,1.74,30,75,,
20,2021-02-04 20:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.92,280.22,1019,93,279.15,282.15,1.53,37,90,,
21,2021-02-04 21:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",281.24,281.24,1019,87,280.15,282.15,1.25,39,90,,
22,2021-02-04 22:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",281.24,281.24,1018,93,280.15,282.15,1.0,32,90,,
