,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,wind.gust
0,2021-02-04 00:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.3,280.64,1013,87,279.82,284.15,1.54,360,75,,
1,2021-02-04 01:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",281.98,280.54,1014,57,279.82,283.15,2.57,280,75,,
2,2021-02-04 02:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.61,278.55,1014,71,278.71,282.15,3.09,90,75,,
3,2021-02-04 03:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",278.35,276.69,1014,87,277.15,279.15,2.06,50,28,,
4,2021-02-04 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.48,275.14,1015,93,275.15,277.15,1.54,0,0,,
5,2021-02-04 05:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",275.78,274.34,1015,87,275.15,277.04,1.54,250,38,,
6,2021-02-04 06:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",275.75,274.3,1015,93,275.15,276.15,1.54,230,35,,
7,2021-02-04 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",275.12,273.58,1015,93,273.15,276.15,1.54,0,0,,
8,2021-02-04 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",275.78,274.34,1016,81,273.71,277.15,1.54,250,0,,
9,2021-02-04 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",276.31,274.31,1016,81,273.71,278.15,2.06,220,0,,
10,2021-02-04 10:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",278.13,277.02,1016,81,275.37,279.82,1.54,0,75,,
11,2021-02-04 11:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",279.53,279.53,1016,71,276.48,281.15,1.03,0,75,,
12,2021-02-04 12:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",281.08,281.08,1015,76,280.93,281.15,1.03,0,75,,
13,2021-02-04 13:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",282.35,282.35,1015,71,281.15,283.71,1.03,0,90,,
14,2021-02-04 14:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",282.29,281.29,1015,81,281.15,283.71,2.06,80,75,0.1,
15,2021-02-04 15:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.27,280.27,1015,76,278.15,281.48,1.03,0,75,,
16,2021-02-04 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",281.26,281.26,1015,76,281.15,281.48,0.51,0,90,,
17,2021-02-04 17:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.23,280.23,1015,81,280.15,280.37,0.51,0,75,,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.96,278.96,1015,87,278.15,280.15,0.51,0,97,,
19,2021-02-04 19:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",276.83,274.92,1014,87,274.26,278.15,2.06,270,40,,
20,2021-02-04 20:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",277.64,277.64,1014,87,277.15,278.15,1.03,0,40,,
21,2021-02-04 21:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",276.27,276.27,1013,81,273.15,278.15,1.03,0,20,,
22,2021-02-04 22:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",276.48,275.14,1013,81,273.71,278.15,1.54,0,97,,
23,2021-02-04 23:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.16,273.19,1012,87,273.71,277.59,3.09,220,0,,
24,2021-02-05 00:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",275.97,275.97,1012,81,273.71,277.15,1.03,0,98,,
