,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.1h
0,2021-02-04 00:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.94,277.4,1015,100,279.26,280.37,2.57,60,95,,
1,2021-02-04 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.2,277.84,1015,100,278.71,279.82,0.64,213,0,,
2,2021-02-04 02:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",277.57,275.61,1015,100,277.15,278.15,1.03,0,56,,
3,2021-02-04 03:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",277.29,275.29,1015,100,276.15,278.15,1.01,141,90,,
4,2021-02-04 04:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",276.23,273.95,1016,100,275.15,277.04,1.13,124,90,,
5,2021-02-04 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",276.23,274.02,1016,100,275.15,277.04,1.03,0,0,,
6,2021-02-04 06:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",275.47,272.41,1016,100,274.26,277.04,2.06,80,20,,
7,2021-02-04 07:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",276.67,274.54,1016,100,275.15,278.71,1.03,0,40,,
8,2021-02-04 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",275.94,273.68,1017,100,275.15,277.59,1.03,0,0,,
9,2021-02-04 09:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",277.89,275.27,1017,100,276.15,280.37,2.06,80,40,,
10,2021-02-04 10:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",280.13,276.11,1017,87,279.15,282.04,4.12,70,75,,
11,2021-02-04 11:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",281.53,278.31,1017,81,280.15,283.15,3.09,80,40,,
12,2021-02-04 12:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",282.57,280.09,1016,76,282.15,283.15,2.06,80,40,,
13,2021-02-04 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.41,279.87,1015,66,279.82,283.71,1.54,130,0,,
14,2021-02-04 14:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",284.05,281.64,1014,62,283.71,284.26,1.54,100,90,,
15,2021-02-04 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",282.68,280.75,1014,62,279.26,284.15,0.51,0,90,0.12,
16,2021-02-04 16:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",281.79,279.33,1014,71,278.15,283.15,1.54,250,90,,
17,2021-02-04 17:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",280.71,278.77,1014,81,277.59,282.15,1.03,260,90,,
18,2021-02-04 18:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",279.95,277.12,1014,81,277.59,281.15,2.1,99,90,,
19,2021-02-04 19:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",281.17,278.6,1015,81,280.37,282.04,2.06,50,90,0.16,
20,2021-02-04 20:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.59,277.39,1015,87,280.15,281.48,3.09,80,0,,
21,2021-02-04 21:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",280.43,276.64,1014,81,280.15,280.93,3.6,70,75,,
22,2021-02-04 22:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",280.43,277.71,1014,81,280.15,280.93,2.06,80,20,,
23,2021-02-04 23:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",279.68,277.74,1014,87,279.15,280.93,1.03,0,20,,
24,2021-02-05 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.36,276.45,1014,81,278.71,280.37,2.06,70,0,,
25,2021-02-05 01:00:00,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",278.46,275.57,1014,87,278.15,279.26,2.06,70,100,,
26,2021-02-05 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.61,274.67,1013,87,278.15,279.82,3.6,80,0,,
27,2021-02-05 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.78,275.59,1013,87,278.15,279.82,2.57,50,0,,
