,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616131966,1616175503,1017,53,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",1.94,60,4,0.68,0.96,279.74,270.13,280.22,271.85,275.98,270.13,276.08,268.23,272.46,267.23,
1,1616238000,1616218244,1616261987,1024,53,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",3.86,61,74,0.26,,275.49,269.35,276.97,269.86,271.76,269.35,270.05,265.6,267.24,266.02,
2,1616324400,1616304522,1616348472,1020,39,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",0.79,343,71,0.29,0.11,280.82,269.08,280.82,273.69,274.93,269.88,277.62,271.41,272.31,266.35,
3,1616410800,1616390800,1616434956,1020,63,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",3.43,59,75,0.41,0.89,279.61,271.67,280.15,271.67,274.12,273.79,275.21,268.54,270.67,271.14,
4,1616497200,1616477079,1616521440,1021,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.67,64,0,0.0,,281.48,269.82,282.19,272.35,274.69,270.09,277.2,269.33,272.13,266.91,
5,1616583600,1616563357,1616607924,1019,45,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.93,59,12,0.08,,285.08,270.51,285.08,273.93,276.46,271.03,282.5,271.18,273.98,268.1,
6,1616670000,1616649635,1616694408,1018,44,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.18,233,84,0.0,,286.69,271.52,286.69,276.77,278.75,272.05,284.81,274.43,276.74,269.09,
7,1616756400,1616735913,1616780892,1017,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.56,114,0,0.05,,289.54,274.71,289.54,278.13,281.01,274.71,287.97,275.89,278.75,272.37,
8,1616842800,1616822191,1616867376,1015,41,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.27,92,0,0.07,,289.23,275.56,289.23,279.12,281.73,275.63,286.81,277.05,279.41,273.0,
9,1616929200,1616908470,1616953860,1023,55,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",2.17,53,96,0.05,,287.94,277.2,288.08,279.55,282.36,279.39,285.47,277.98,280.2,277.33,
10,1617015600,1616994748,1617040343,1024,65,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.63,47,100,0.38,,286.07,278.45,286.07,280.11,281.84,279.22,284.12,277.91,279.78,277.73,1.7
11,1617102000,1617081027,1617126827,1016,75,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.15,52,99,0.73,,282.24,277.22,282.31,279.53,280.04,277.74,278.19,276.58,276.84,275.04,1.22
12,1617188400,1617167306,1617213311,1009,59,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",3.11,67,97,0.24,0.14,278.58,273.78,280.32,273.78,276.34,274.33,274.15,270.44,272.81,269.62,
13,1617274800,1617253586,1617299794,1005,41,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.7,67,0,0.0,,285.56,271.03,285.7,276.37,279.1,272.14,282.32,273.09,275.82,269.05,
14,1617361200,1617339865,1617386278,999,54,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.24,313,100,0.66,,283.27,274.06,283.27,277.99,278.61,274.54,279.2,275.93,276.53,271.07,0.52
15,1617447600,1617426145,1617472762,998,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.92,259,62,0.38,,286.2,276.22,286.2,286.2,286.2,277.1,282.68,282.68,282.68,274.49,0.11
