,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616131670,1616175206,1017,74,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",1.72,57,25,0.63,2.5,274.48,266.61,275.55,270.58,272.85,266.61,270.92,266.48,269.08,262.69,
1,1616238000,1616217948,1616261690,1024,78,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.97,33,100,0.54,1.46,270.65,265.51,271.85,265.51,267.01,267.63,265.88,261.54,262.7,263.28,
2,1616324400,1616304226,1616348175,1019,69,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",1.18,332,99,0.94,2.23,275.01,264.56,275.23,270.92,271.46,266.41,271.77,267.34,268.1,262.61,
3,1616410800,1616390505,1616434659,1019,89,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.74,37,92,0.94,2.91,274.9,268.56,275.05,268.56,270.3,271.26,271.02,265.35,266.75,268.36,
4,1616497200,1616476783,1616521143,1020,71,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.63,49,0,0.0,,275.92,266.74,276.7,269.89,271.47,266.83,272.52,266.09,267.96,263.13,
5,1616583600,1616563061,1616607627,1019,68,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.87,22,95,0.08,,278.39,268.22,278.48,271.34,273.36,268.94,275.77,267.57,270.02,265.19,
6,1616670000,1616649339,1616694111,1018,65,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.33,357,26,0.0,,280.71,269.2,280.71,273.87,275.29,269.66,278.71,270.39,272.11,265.92,
7,1616756400,1616735617,1616780595,1017,68,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.04,73,10,0.0,,282.39,272.96,282.39,274.44,276.7,273.22,280.28,270.76,273.43,269.92,
8,1616842800,1616821895,1616867079,1016,62,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.9,87,3,0.0,,283.25,272.43,283.65,275.26,277.12,273.03,281.15,271.41,273.63,269.42,
9,1616929200,1616908174,1616953563,1024,61,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",1.44,69,40,0.08,,283.83,273.67,284.11,276.04,278.34,274.34,281.4,273.69,275.98,271.03,
10,1617015600,1616994453,1617040046,1024,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.31,10,100,0.69,,283.35,274.56,283.35,277.56,279.04,275.56,281.26,275.05,276.37,272.92,3.37
11,1617102000,1617080732,1617126530,1016,92,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.41,33,100,0.77,,277.96,276.29,278.99,277.21,277.63,276.41,274.88,274.07,274.82,273.71,5.84
12,1617188400,1617167011,1617213014,1008,77,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.73,26,100,0.42,0.62,276.28,271.73,276.85,271.73,274.41,273.22,272.31,269.13,271.05,269.75,
13,1617274800,1617253290,1617299497,1005,57,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.2,32,1,0.0,,281.73,268.94,282.13,274.29,275.91,270.17,278.99,271.39,272.68,267.24,
14,1617361200,1617339570,1617385981,998,64,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.84,305,100,0.91,,282.35,272.8,282.35,275.87,276.33,273.62,278.82,273.02,272.75,270.08,3.54
15,1617447600,1617425850,1617472465,999,65,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",1.64,314,60,0.87,0.13,282.95,274.36,282.95,282.95,282.95,275.52,280.4,280.4,280.4,272.11,0.35
