,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616132109,1616175645,1017,51,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",4.06,43,13,0.58,0.5,278.3,270.15,279.31,272.76,275.61,270.15,272.94,267.9,271.41,267.05,
1,1616238000,1616218389,1616262128,1023,57,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",5.28,47,87,0.35,,274.91,269.32,276.1,269.32,271.32,269.6,268.52,264.6,266.23,265.06,
2,1616324400,1616304669,1616348611,1019,45,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",3.56,36,22,0.25,,279.03,268.09,279.51,272.97,274.36,268.31,273.91,270.3,271.09,264.03,
3,1616410800,1616390949,1616435094,1019,56,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.75,43,55,0.17,,279.83,271.2,279.83,271.32,273.85,271.48,274.31,267.92,270.2,268.16,
4,1616497200,1616477228,1616521577,1020,41,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",4.17,44,0,0.0,,281.06,269.7,281.37,272.14,274.58,269.9,275.58,268.98,271.12,266.23,
5,1616583600,1616563508,1616608059,1019,42,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.16,346,0,0.0,,284.19,270.81,284.19,273.62,276.53,271.26,281.2,270.52,273.85,268.19,
6,1616670000,1616649788,1616694541,1018,48,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1.7,274,81,0.0,,284.39,271.91,284.45,276.8,278.6,272.78,281.31,274.08,276.16,269.68,
7,1616756400,1616736068,1616781024,1017,45,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.31,291,0,0.05,,287.35,274.75,287.35,277.64,280.01,274.75,284.83,274.68,278.04,271.66,
8,1616842800,1616822348,1616867506,1015,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.28,277,0,0.12,,288.14,275.49,288.14,279.29,281.09,275.49,285.71,276.37,278.72,272.54,
9,1616929200,1616908628,1616953988,1023,56,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",2.99,43,87,0.14,,287.1,277.63,287.47,279.04,281.56,278.34,283.95,276.94,279.5,275.81,
10,1617015600,1616994908,1617040470,1024,64,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",2.91,36,96,0.15,,286.08,277.68,286.08,279.52,281.57,278.4,283.19,276.67,279.3,276.34,
11,1617102000,1617081188,1617126952,1015,72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",5.35,48,86,0.52,,282.02,278.4,282.03,278.98,279.4,278.4,276.97,275.52,275.71,274.29,0.49
12,1617188400,1617167469,1617213434,1008,63,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.43,44,90,0.25,,279.34,273.38,280.18,273.38,276.36,275.79,274.21,270.39,272.62,270.99,0.14
13,1617274800,1617253750,1617299917,1005,39,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.48,7,0,0.0,,286.47,271.77,286.47,277.63,279.42,272.81,283.4,275.16,276.48,270.1,
14,1617361200,1617340031,1617386399,998,62,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.78,326,100,0.75,,282.56,275.23,282.56,277.53,278.27,275.23,279.73,275.09,275.56,272.15,1.84
15,1617447600,1617426313,1617472881,998,55,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.23,256,73,0.7,,285.21,276.26,285.21,285.21,285.21,276.3,281.5,281.5,281.5,273.72,0.51
