,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,rain,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1616151600,1616132040,1616175577,1018,62,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",1.66,355,19,0.67,0.25,1.34,279.67,270.91,279.67,272.66,275.34,270.91,276.49,269.71,272.51,267.97
1,1616238000,1616218318,1616262062,1025,45,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",3.07,58,13,0.21,,,276.83,269.59,277.91,270.5,272.38,269.59,271.86,266.33,267.96,266.82
2,1616324400,1616304596,1616348547,1021,45,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2.95,322,61,0.28,,,279.31,269.74,279.75,275.52,275.3,270.61,274.65,273.73,272.29,266.95
3,1616410800,1616390874,1616435031,1020,60,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",2.44,47,75,0.39,0.14,0.44,279.86,272.52,280.84,272.52,275.18,275.17,276.09,269.5,272.25,272.77
4,1616497200,1616477151,1616521516,1021,40,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.08,73,0,0.0,,,283.28,270.91,283.28,273.82,275.65,271.3,279.46,270.81,273.45,267.96
5,1616583600,1616563429,1616608000,1019,42,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.38,354,1,0.08,,,285.28,271.76,285.28,275.27,277.18,271.95,282.27,272.37,274.91,268.39
6,1616670000,1616649707,1616694485,1018,43,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.11,343,91,0.0,,,287.31,272.77,287.31,278.02,279.2,273.15,285.52,275.58,277.46,269.47
7,1616756400,1616735985,1616780969,1017,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.84,108,0,0.12,,,290.12,275.5,290.12,279.93,281.93,275.5,288.33,277.29,279.58,272.49
8,1616842800,1616822263,1616867453,1015,40,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.37,121,0,0.2,,,289.25,276.31,289.56,281.2,282.63,276.31,286.0,278.83,280.62,272.93
9,1616929200,1616908541,1616953937,1023,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.73,1,100,0.2,0.29,,287.75,278.59,288.6,280.13,282.71,280.34,285.82,279.06,281.21,278.64
10,1617015600,1616994819,1617040421,1024,68,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.41,348,100,0.24,2.6,,286.45,279.07,286.45,281.16,281.83,279.45,284.88,279.95,280.72,277.85
11,1617102000,1617081098,1617126905,1016,78,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.77,37,95,0.63,1.23,,282.27,276.57,282.6,279.17,279.75,277.34,279.31,277.14,277.31,275.13
12,1617188400,1617167376,1617213389,1009,60,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",1.74,71,94,0.04,,,280.05,274.1,280.79,274.1,276.8,275.0,276.8,270.67,273.32,271.58
13,1617274800,1617253655,1617299873,1005,39,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.65,72,0,0.0,,,286.29,271.57,286.46,277.16,279.13,272.43,283.08,273.68,276.43,269.0
14,1617361200,1617339935,1617386357,999,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.35,324,100,0.64,0.13,,282.18,274.93,282.18,277.77,278.85,275.18,277.37,275.51,277.3,271.79
15,1617447600,1617426215,1617472841,998,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.79,275,56,0.29,0.27,,285.41,276.76,285.41,285.41,285.41,277.22,282.23,282.23,282.23,274.84
