,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,rain,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1616151600,1616132079,1616175616,1018,67,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",3.45,359,34,0.67,2.06,0.36,278.79,272.86,278.79,273.71,276.16,272.86,274.39,270.15,272.86,270.26
1,1616238000,1616218356,1616262101,1025,48,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",3.69,23,51,0.18,,,276.56,271.01,278.01,271.97,273.71,271.01,271.21,267.77,269.02,267.65
2,1616324400,1616304634,1616348586,1021,48,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.43,341,78,0.33,0.1,,278.85,271.31,279.85,276.28,276.13,271.7,274.6,274.47,273.65,268.04
3,1616410800,1616390911,1616435071,1020,64,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",2.43,23,90,0.38,0.33,0.42,279.85,274.34,280.78,274.34,276.62,275.09,276.22,271.45,273.26,272.29
4,1616497200,1616477189,1616521556,1021,43,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.79,32,0,0.0,,,282.45,272.67,282.72,275.86,277.67,272.83,278.86,273.14,275.23,269.79
5,1616583600,1616563466,1616608040,1019,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.05,358,0,0.05,,,284.05,273.86,284.2,277.23,279.06,273.91,280.59,274.63,276.62,270.51
6,1616670000,1616649744,1616694525,1018,46,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.62,333,90,0.0,,,285.81,274.74,285.81,279.67,281.08,275.01,283.6,277.3,279.12,271.63
7,1616756400,1616736021,1616781010,1017,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.61,76,1,0.2,,,288.86,277.23,289.15,281.89,283.48,277.23,287.14,279.41,281.8,274.3
8,1616842800,1616822299,1616867494,1015,40,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.38,123,0,0.33,0.14,,289.68,278.2,290.25,282.76,284.38,278.2,286.49,280.11,282.58,275.04
9,1616929200,1616908577,1616953978,1024,66,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.78,14,98,0.34,0.23,,287.08,280.4,288.28,281.36,283.65,280.58,284.59,280.36,281.61,279.16
10,1617015600,1616994855,1617040463,1024,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.32,9,99,0.3,1.21,,286.5,280.24,286.5,281.16,282.09,280.45,284.36,279.85,280.22,279.16
11,1617102000,1617081133,1617126947,1016,74,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.7,35,95,0.52,0.82,,282.44,277.5,282.94,279.51,280.0,277.63,279.4,276.67,276.59,275.23
12,1617188400,1617167412,1617213431,1010,61,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",1.71,36,93,0.03,,,279.91,275.77,281.45,275.77,278.31,276.27,276.69,272.53,275.21,273.35
13,1617274800,1617253691,1617299915,1005,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.3,28,0,0.0,,,284.68,273.34,285.4,278.5,280.08,273.93,281.04,275.51,277.25,270.84
14,1617361200,1617339970,1617386400,999,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.8,333,100,0.63,0.19,,282.39,276.5,282.39,278.48,279.16,276.58,278.04,276.2,277.13,273.34
15,1617447600,1617426249,1617472884,998,67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.68,273,81,0.39,0.36,,284.22,277.72,284.22,284.22,284.22,277.98,281.25,281.25,281.25,275.51
