,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851572,1624908574,1015,71,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",2.94,19,4.79,60,1.0,25.85,295.32,286.86,297.61,288.13,290.57,290.13,295.45,288.24,290.93,290.18
1,1624964400,1624938002,1624994968,1014,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.67,264,5.92,99,1.0,20.07,288.5,285.38,290.5,285.38,288.75,288.06,288.6,285.14,288.74,288.17
2,1625050800,1625024433,1625081359,1015,57,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.35,252,6.64,76,1.0,3.42,291.31,284.26,291.31,285.7,287.9,285.14,290.67,285.44,287.73,284.77
3,1625137200,1625110867,1625167747,1017,54,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.34,283,4.23,20,0.47,0.93,293.9,285.01,294.5,285.93,290.95,286.82,293.44,285.64,290.9,286.59
4,1625223600,1625197302,1625254133,1017,54,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.79,298,2.36,2,0.24,0.24,295.11,283.87,296.06,287.41,293.24,287.08,294.77,287.19,293.21,286.85
5,1625310000,1625283740,1625340516,1014,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.44,246,6.82,98,1.0,4.25,296.91,286.13,296.91,288.18,289.01,288.91,296.67,288.25,289.16,288.66
6,1625396400,1625370179,1625426897,1017,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.84,236,8.09,100,1.0,21.59,287.82,285.94,288.48,285.94,288.17,287.89,287.85,285.73,288.18,287.95
7,1625482800,1625456621,1625513276,1021,80,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.41,30,3.43,92,0.59,1.84,289.9,284.68,292.87,286.78,291.09,286.66,289.72,286.63,291.05,286.52
8,1625569200,1625543064,1625599652,1019,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.76,8,4.15,28,0.74,0.82,295.6,284.98,295.6,287.79,292.64,288.16,295.47,287.69,292.71,287.99
9,1625655600,1625629510,1625686025,1018,53,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",3.12,25,5.76,14,0.01,,297.55,285.77,298.14,289.57,294.65,289.24,297.43,289.54,294.81,289.07
10,1625742000,1625715957,1625772396,1018,55,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.1,349,1.89,1,0.0,,298.68,287.17,299.48,291.17,296.46,290.57,298.72,291.17,296.75,290.51
11,1625828400,1625802405,1625858765,1016,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.53,309,1.96,2,0.66,0.44,300.31,288.87,301.29,292.79,297.75,292.22,300.79,292.9,298.2,292.14
12,1625914800,1625888856,1625945131,1017,55,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.81,182,1.72,41,0.56,1.68,300.69,289.74,301.22,293.3,298.2,292.84,301.5,293.59,298.77,293.08
13,1626001200,1625975308,1626031495,1018,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.78,165,2.43,8,0.34,,302.85,291.61,303.66,294.88,299.02,294.44,303.21,294.99,299.52,294.58
14,1626087600,1626061762,1626117857,1017,47,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.29,162,2.71,0,0.47,0.6,303.33,292.5,304.06,293.75,299.13,295.43,304.0,293.82,299.13,295.52
15,1626174000,1626148217,1626204216,1015,46,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.32,55,3.89,24,0.92,3.23,302.64,290.98,302.64,290.98,295.46,294.73,302.94,291.25,296.04,294.85
