,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851050,1624908176,1016,35,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.97,189,4.09,69,0.82,4.57,299.78,290.2,300.77,291.8,298.47,294.33,299.78,291.91,298.89,293.97
1,1624964400,1624937480,1624994569,1012,66,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",2.53,304,4.05,81,1.0,26.0,296.34,288.63,297.21,288.63,289.48,290.31,296.44,288.82,289.73,290.64
2,1625050800,1625023911,1625080960,1017,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.63,333,2.03,100,1.0,11.18,287.0,285.07,289.04,285.07,289.04,287.93,286.95,284.8,288.96,288.02
3,1625137200,1625110345,1625167348,1018,82,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.23,335,2.35,96,0.84,3.07,291.88,285.32,292.28,288.68,291.1,288.09,291.95,288.69,291.2,288.02
4,1625223600,1625196781,1625253734,1017,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.85,331,2.73,7,0.5,1.04,296.64,285.34,296.64,287.7,293.1,290.36,296.4,287.56,293.21,290.38
5,1625310000,1625283219,1625340117,1015,43,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.69,333,3.49,94,0.78,2.68,298.68,287.42,298.68,290.73,293.81,292.59,298.41,291.05,294.07,292.42
6,1625396400,1625369659,1625426498,1015,95,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.59,346,2.32,100,1.0,29.61,289.92,288.66,290.14,288.66,289.2,290.0,290.13,288.85,289.45,290.35
7,1625482800,1625456101,1625512876,1022,94,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.13,354,2.12,100,1.0,12.74,289.61,287.61,293.06,287.61,290.69,288.1,289.77,287.57,290.77,288.24
8,1625569200,1625542545,1625599251,1020,84,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.34,338,2.2,94,0.9,8.17,294.47,288.54,294.47,288.54,292.9,289.65,294.85,288.64,293.36,289.91
9,1625655600,1625628990,1625685625,1019,52,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.97,348,2.34,3,0.54,,299.37,287.28,299.38,289.97,295.53,291.93,299.37,290.21,295.96,292.08
10,1625742000,1625715438,1625771995,1018,48,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.85,346,2.12,0,0.16,,301.23,289.24,301.23,291.6,297.01,294.37,301.51,291.9,297.54,294.51
11,1625828400,1625801887,1625858363,1017,41,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.8,343,2.02,0,0.38,0.39,302.95,290.6,302.95,293.3,298.47,296.31,302.72,293.56,299.04,296.46
12,1625914800,1625888338,1625944729,1019,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.62,171,3.14,43,0.62,3.52,302.81,292.15,302.81,292.15,295.44,297.49,303.71,291.93,295.97,297.65
13,1626001200,1625974790,1626031093,1020,35,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.5,184,3.05,7,0.28,0.11,305.09,292.96,305.09,295.87,300.75,297.88,304.54,296.03,303.18,297.9
14,1626087600,1626061244,1626117454,1019,36,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.61,176,2.54,2,0.41,0.9,306.2,294.97,306.2,296.9,300.84,300.18,306.2,297.34,303.84,300.99
15,1626174000,1626147700,1626203812,1016,66,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.77,177,4.37,76,1.0,13.37,301.09,293.29,304.03,293.29,294.88,299.75,303.2,293.61,295.46,299.75
