,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616131610,1616175144,1017,73,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",1.61,358,90,0.65,0.89,275.32,266.36,275.94,270.82,272.92,266.36,271.91,268.19,269.35,261.96,
1,1616238000,1616217890,1616261627,1022,81,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",3.52,0,100,0.66,1.88,272.76,264.94,272.99,264.94,266.62,268.18,267.88,261.63,262.53,264.22,
2,1616324400,1616304170,1616348109,1018,93,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.96,357,97,0.68,3.35,274.86,262.19,276.03,271.98,273.69,263.88,270.91,268.51,269.52,259.53,
3,1616410800,1616390450,1616434592,1017,90,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",3.67,358,99,0.68,2.72,276.47,270.03,276.47,270.63,272.5,270.37,272.2,267.55,268.72,267.18,
4,1616497200,1616476730,1616521074,1019,80,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.29,359,0,0.0,,276.95,266.45,277.15,270.02,271.53,266.45,273.46,266.01,268.52,262.29,
5,1616583600,1616563010,1616607556,1018,90,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.47,359,52,0.23,0.22,278.29,268.97,278.29,271.01,273.11,269.83,275.17,266.99,270.41,265.71,
6,1616670000,1616649290,1616694038,1018,88,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.31,285,33,0.0,,281.02,269.61,281.02,274.71,276.34,270.47,279.89,271.1,273.84,265.7,
7,1616756400,1616735570,1616780520,1018,89,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.67,171,59,0.0,,281.53,273.66,281.53,275.03,277.39,274.42,280.29,270.82,274.2,270.57,
8,1616842800,1616821851,1616867002,1018,91,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.9,191,8,0.04,,281.69,273.33,281.69,275.73,277.44,273.89,279.0,271.6,273.67,269.05,
9,1616929200,1616908131,1616953484,1024,83,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.8,190,31,0.0,,283.61,274.56,283.61,277.38,279.03,274.85,282.51,273.86,276.51,271.04,
10,1617015600,1616994412,1617039966,1023,74,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.18,287,99,0.34,,284.87,276.46,284.87,279.08,278.33,277.19,284.1,277.0,276.62,273.84,
11,1617102000,1617080692,1617126447,1015,98,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",1.87,0,99,0.89,,280.04,277.6,280.04,277.6,278.57,278.26,277.94,275.79,276.83,276.35,
12,1617188400,1617166973,1617212929,1007,94,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.45,355,95,0.73,0.35,278.9,274.23,278.9,274.23,276.14,275.54,276.03,271.87,273.17,273.41,
13,1617274800,1617253255,1617299411,1006,61,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.0,207,0,0.0,,283.21,272.7,283.21,276.9,277.82,273.32,280.99,272.56,274.02,269.45,
14,1617361200,1617339536,1617385893,999,85,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",2.49,195,100,0.93,1.53,283.25,276.65,283.25,277.59,278.71,277.97,280.97,274.88,276.42,273.32,0.47
15,1617447600,1617425818,1617472374,999,71,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.04,201,1,0.89,,283.92,275.28,283.92,283.92,283.92,275.69,282.22,282.22,282.22,272.46,
