,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851379,1624908675,1015,75,"[{'id': 503, 'main': 'Rain', 'description': 'very heavy rain', 'icon': '10d'}]",3.68,7,6.14,87,1.0,44.46,295.74,288.82,298.0,289.72,292.71,291.55,296.01,290.02,293.12,291.87
1,1624964400,1624937809,1624995068,1014,93,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.63,272,6.76,99,1.0,25.98,289.86,287.06,291.16,287.06,289.13,288.8,290.01,286.96,289.13,288.98
2,1625050800,1625024241,1625081458,1015,61,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.42,256,7.63,86,0.96,2.95,291.32,283.67,291.32,285.54,288.27,286.24,290.79,285.32,288.24,285.95
3,1625137200,1625110675,1625167846,1017,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.15,307,6.27,85,0.54,0.79,293.14,285.97,293.65,286.14,291.01,286.32,292.76,285.87,290.91,286.17
4,1625223600,1625197111,1625254231,1017,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.29,351,2.39,0,0.3,0.12,295.95,284.14,295.95,288.14,292.91,288.05,295.62,288.15,293.08,287.74
5,1625310000,1625283549,1625340614,1015,61,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.97,218,3.46,99,1.0,6.53,296.89,286.92,296.89,289.44,291.53,289.19,296.91,289.63,291.77,289.2
6,1625396400,1625369990,1625426994,1016,98,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",4.35,267,9.24,100,1.0,30.83,287.9,287.58,288.77,287.58,288.11,288.68,287.99,287.56,288.17,288.85
7,1625482800,1625456432,1625513372,1021,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.54,305,2.98,94,0.47,0.64,291.77,286.15,294.06,288.47,291.9,287.21,291.67,288.54,292.08,287.18
8,1625569200,1625542876,1625599747,1020,61,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.8,9,3.4,37,0.82,2.02,296.26,286.59,296.5,289.21,293.45,289.59,296.22,289.3,293.78,289.69
9,1625655600,1625629322,1625686120,1019,57,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.34,23,3.16,14,0.22,0.23,297.9,287.51,298.53,290.87,295.28,290.39,297.92,291.1,295.74,290.57
10,1625742000,1625715770,1625772490,1018,52,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.35,58,3.22,0,0.07,,299.63,288.76,300.13,292.17,297.11,291.62,299.63,292.43,297.62,291.85
11,1625828400,1625802220,1625858857,1016,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.29,229,1.63,1,0.33,0.96,302.02,289.8,302.02,293.85,297.8,292.93,302.88,294.22,298.46,293.16
12,1625914800,1625888672,1625945223,1017,58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.61,237,2.13,72,0.75,1.56,301.65,292.08,301.65,294.16,298.36,294.15,303.11,294.67,299.16,294.6
13,1626001200,1625975125,1626031585,1018,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.32,157,1.93,11,0.34,0.6,304.26,292.13,304.53,296.28,300.99,295.16,305.95,296.79,304.43,295.66
14,1626087600,1626061580,1626117946,1017,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.05,150,1.82,1,0.36,0.19,305.03,293.44,305.43,296.02,301.04,296.24,307.29,296.66,304.54,296.64
15,1626174000,1626148036,1626204304,1016,58,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.85,293,4.62,17,0.91,4.55,302.08,292.81,302.08,292.81,295.56,296.05,303.77,293.36,296.26,296.41
