,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,snow,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616131903,1616175439,1017,60,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.07,35,32,0.65,0.73,278.21,269.52,279.33,273.05,275.98,269.52,274.49,269.85,272.05,265.69,
1,1616238000,1616218183,1616261923,1023,70,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",3.08,31,100,0.42,0.75,274.06,267.98,275.57,267.98,270.12,270.76,269.41,263.98,265.96,267.43,
2,1616324400,1616304462,1616348406,1019,56,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",1.09,16,86,0.45,0.48,279.04,266.89,279.04,273.01,273.55,268.55,275.99,269.79,270.75,264.89,
3,1616410800,1616390742,1616434889,1018,76,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",2.25,30,94,0.42,0.5,277.87,271.16,279.17,271.16,272.76,272.07,274.44,267.72,269.91,268.98,
4,1616497200,1616477021,1616521372,1020,55,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.63,25,0,0.0,,280.45,269.45,280.65,272.65,274.3,269.84,277.16,268.86,271.24,266.15,
5,1616583600,1616563300,1616607855,1018,57,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",1.11,19,49,0.02,,282.56,271.71,282.56,273.94,275.93,272.37,280.0,270.03,272.77,268.75,
6,1616670000,1616649580,1616694337,1018,56,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.09,254,62,0.0,,285.26,272.86,285.26,276.87,278.23,273.52,283.8,273.39,275.22,269.89,
7,1616756400,1616735859,1616780820,1017,56,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.56,146,8,0.0,,287.32,275.94,287.32,277.65,279.3,275.94,285.91,273.97,276.25,272.44,
8,1616842800,1616822139,1616867303,1016,50,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.01,138,6,0.0,,287.84,275.97,287.84,278.05,280.12,276.13,285.89,274.09,276.72,272.41,
9,1616929200,1616908418,1616953785,1023,60,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1.06,0,79,0.02,,287.07,277.39,287.07,278.89,280.35,278.21,285.47,275.91,278.06,275.02,
10,1617015600,1616994698,1617040268,1024,62,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.72,6,100,0.32,,286.24,277.7,286.24,280.72,281.5,278.1,284.11,279.28,280.05,275.19,0.26
11,1617102000,1617080978,1617126750,1015,88,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.45,31,100,0.84,,281.05,278.55,282.06,279.16,279.37,278.55,278.42,277.18,277.1,276.23,2.86
12,1617188400,1617167259,1617213233,1008,83,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",1.77,18,100,0.24,0.35,277.36,275.85,279.03,276.14,277.19,276.12,274.38,274.03,274.67,273.32,
13,1617274800,1617253539,1617299715,1005,47,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.48,28,1,0.0,,285.67,272.39,285.71,277.56,279.12,273.87,282.88,274.42,276.94,270.8,
14,1617361200,1617339820,1617386197,999,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.35,326,100,0.81,,283.6,276.35,283.6,277.94,278.53,277.02,280.41,275.83,276.23,274.21,1.76
15,1617447600,1617426101,1617472680,998,53,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.01,331,54,0.52,,287.15,275.92,287.15,287.15,287.15,277.32,285.23,285.23,285.23,274.59,0.14
