,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,clouds,pop,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn,rain
0,1616151600,1616132233,1616175770,1017,65,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",4.4,55,5,0.46,278.08,270.72,278.81,273.43,276.07,271.32,272.86,267.59,270.79,267.76,
1,1616238000,1616218513,1616262253,1023,64,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",6.4,54,48,0.21,275.25,271.05,275.99,271.2,272.48,271.05,268.27,264.85,266.17,265.29,
2,1616324400,1616304792,1616348736,1020,60,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",3.99,34,33,0.19,279.01,269.72,279.01,273.21,274.79,269.72,274.05,270.01,271.25,264.03,
3,1616410800,1616391072,1616435219,1019,66,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.94,44,76,0.15,279.44,273.31,279.51,274.08,275.39,274.27,274.06,269.41,270.85,270.65,
4,1616497200,1616477352,1616521701,1020,52,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",4.14,57,0,0.0,281.26,271.93,281.55,274.67,276.38,271.93,276.21,270.78,272.53,267.34,
5,1616583600,1616563631,1616608184,1019,54,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.67,152,0,0.0,283.86,272.83,283.86,276.42,278.58,272.83,281.68,273.22,276.05,270.09,
6,1616670000,1616649911,1616694666,1018,58,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",1.51,208,88,0.0,283.81,274.0,284.4,278.46,279.87,274.45,281.21,276.67,277.91,272.05,
7,1616756400,1616736190,1616781149,1016,55,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.97,192,5,0.28,286.14,276.31,286.23,279.64,281.49,276.31,284.17,277.54,279.67,274.36,
8,1616842800,1616822470,1616867631,1015,50,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",0.97,196,0,0.45,287.22,277.04,287.4,281.46,282.41,277.04,285.19,279.26,280.7,275.17,
9,1616929200,1616908750,1616954114,1023,61,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.89,79,78,0.49,287.29,280.24,287.29,281.14,282.85,280.24,284.51,278.63,280.0,277.79,1.69
10,1617015600,1616995030,1617040596,1024,65,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.63,69,100,0.34,287.04,279.38,287.04,280.95,282.21,280.17,284.6,277.48,279.5,278.25,0.46
11,1617102000,1617081310,1617127078,1015,68,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",6.5,57,78,0.26,282.86,278.39,282.86,279.91,279.82,278.39,277.01,275.18,275.6,273.61,0.26
12,1617188400,1617167591,1617213560,1008,67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.46,74,66,0.04,281.05,275.13,281.15,275.13,277.54,278.09,276.28,270.9,273.23,273.12,
13,1617274800,1617253872,1617300043,1005,48,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.26,156,5,0.0,285.24,273.27,285.24,279.49,280.89,274.06,282.59,275.75,278.02,271.23,
14,1617361200,1617340153,1617386525,998,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.83,334,100,0.76,281.09,276.95,281.09,278.52,278.78,276.95,278.48,276.37,276.37,273.41,3.34
15,1617447600,1617426434,1617473007,998,67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",7.25,223,92,0.77,283.86,277.7,283.86,283.86,283.86,277.7,277.63,277.63,277.63,273.95,0.93
