,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851283,1624908335,1015,65,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.07,165,3.16,50,1.0,6.61,297.42,289.26,299.04,290.15,297.47,292.53,297.6,290.41,297.84,292.66
1,1624964400,1624937713,1624994729,1013,77,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",2.45,285,4.35,80,1.0,24.78,294.52,288.21,294.52,288.21,288.92,290.03,294.72,288.33,289.11,290.33
2,1625050800,1625024144,1625081119,1017,91,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.79,203,2.44,100,1.0,9.81,287.97,285.93,290.53,285.93,289.1,287.12,287.88,285.72,289.13,287.11
3,1625137200,1625110578,1625167508,1017,64,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.27,338,2.66,76,0.75,1.95,293.55,285.88,293.55,287.43,291.2,288.49,293.32,287.37,291.38,288.35
4,1625223600,1625197014,1625253894,1017,56,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.63,2,2.72,14,0.54,2.43,296.27,285.49,296.27,288.29,293.06,289.74,296.1,288.21,293.22,289.65
5,1625310000,1625283452,1625340277,1015,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.64,357,2.92,95,1.0,3.53,297.97,287.21,297.97,290.15,291.78,291.13,297.84,290.46,292.07,290.97
6,1625396400,1625369891,1625426658,1016,98,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.72,247,3.93,100,1.0,45.56,289.37,288.39,289.79,288.39,288.62,289.28,289.61,288.55,288.78,289.53
7,1625482800,1625456333,1625513036,1021,93,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.7,4,1.91,100,0.89,9.4,290.04,287.89,293.53,288.9,291.97,287.92,290.21,288.91,292.07,288.04
8,1625569200,1625542776,1625599412,1020,69,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.66,352,2.25,75,0.94,4.4,295.76,287.93,295.76,288.91,292.94,290.25,295.88,289.02,293.35,290.26
9,1625655600,1625629222,1625685785,1019,57,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.84,358,2.11,5,0.31,0.1,298.57,287.36,298.72,290.57,295.81,291.14,298.66,290.8,296.22,291.21
10,1625742000,1625715669,1625772156,1018,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.77,360,2.07,1,0.23,0.15,300.48,288.9,300.48,292.14,297.13,293.44,301.03,292.44,297.65,293.4
11,1625828400,1625802118,1625858525,1017,46,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.61,187,2.25,1,0.56,1.93,302.57,290.72,302.57,293.38,298.25,295.26,302.86,293.76,298.9,295.33
12,1625914800,1625888569,1625944891,1018,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.51,173,2.28,41,0.56,2.65,302.58,292.21,302.62,293.89,298.89,296.27,303.67,294.24,299.58,296.49
13,1626001200,1625975021,1626031254,1019,42,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.36,179,3.07,9,0.44,1.49,304.56,292.61,304.56,294.57,299.39,297.06,304.93,294.62,299.39,297.1
14,1626087600,1626061475,1626117616,1018,40,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.87,183,2.9,1,0.45,0.71,305.67,294.35,305.67,296.42,300.89,298.03,306.19,296.73,303.69,298.17
15,1626174000,1626147930,1626203975,1016,52,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.89,181,3.58,46,1.0,8.19,303.15,293.27,303.19,293.27,293.6,298.62,304.52,293.22,293.92,298.92
