,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624850980,1624908454,1014,65,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",4.77,333,11.83,58,1.0,20.31,298.18,287.91,301.7,290.45,295.2,291.6,298.44,290.69,295.76,291.85
1,1624964400,1624937410,1624994847,1012,56,"[{'id': 503, 'main': 'Rain', 'description': 'very heavy rain', 'icon': '10d'}]",4.87,262,11.34,76,1.0,39.23,296.21,287.03,297.13,287.03,287.9,288.45,296.03,287.06,287.99,288.59
2,1625050800,1625023842,1625081237,1015,69,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.38,231,7.9,92,0.96,6.72,290.26,286.12,291.39,286.12,288.8,286.39,289.83,285.9,288.69,286.25
3,1625137200,1625110277,1625167624,1017,53,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.02,240,8.43,88,0.66,1.22,294.13,285.83,294.83,286.02,291.2,286.37,293.67,285.82,291.15,286.28
4,1625223600,1625196714,1625254009,1017,48,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.34,337,2.89,16,0.6,1.06,296.92,284.15,296.92,287.13,291.96,287.61,296.61,287.04,292.12,287.38
5,1625310000,1625283152,1625340392,1014,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.77,213,3.7,100,0.81,1.37,297.96,285.1,297.96,288.59,293.19,288.04,297.85,288.7,293.31,287.93
6,1625396400,1625369593,1625426771,1015,97,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.46,235,3.56,100,1.0,22.88,289.35,287.24,289.35,287.24,288.18,288.59,289.56,287.26,288.3,288.77
7,1625482800,1625456036,1625513149,1020,67,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.18,237,2.49,99,1.0,11.46,293.33,286.97,294.01,288.48,291.78,287.14,293.15,288.52,292.02,287.18
8,1625569200,1625542481,1625599523,1020,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.78,19,2.81,57,1.0,8.84,294.94,286.91,295.36,288.72,293.09,289.21,295.16,288.81,293.46,289.33
9,1625655600,1625628928,1625685895,1019,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.72,38,4.3,8,0.65,0.18,298.88,286.58,299.21,290.19,294.81,289.49,298.81,290.38,295.12,289.61
10,1625742000,1625715376,1625772265,1018,47,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.47,71,4.94,0,0.02,,299.99,287.77,300.39,291.25,296.23,291.14,300.25,291.49,296.63,291.19
11,1625828400,1625801826,1625858632,1016,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.57,6,1.56,0,0.03,,302.17,288.63,302.62,293.0,298.49,291.87,302.37,293.39,298.93,291.96
12,1625914800,1625888279,1625944996,1017,49,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.83,18,2.18,43,0.55,1.54,303.14,290.62,303.3,293.66,298.78,293.15,304.03,294.12,299.36,293.58
13,1626001200,1625974732,1626031358,1018,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.13,23,1.57,6,0.05,,304.34,290.9,305.23,295.46,300.65,293.51,304.96,295.76,302.67,293.79
14,1626087600,1626061188,1626117718,1017,44,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.57,14,5.61,0,0.39,0.42,306.0,292.26,306.36,294.31,297.72,294.94,307.59,294.34,298.09,295.34
15,1626174000,1626147645,1626204075,1014,41,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.34,251,3.7,57,1.0,10.3,305.12,291.68,305.12,291.68,293.63,295.62,305.56,292.1,294.24,296.01
