,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851374,1624908587,1015,68,"[{'id': 503, 'main': 'Rain', 'description': 'very heavy rain', 'icon': '10d'}]",3.15,357,6.81,58,1.0,36.67,296.9,288.52,299.31,289.76,292.81,291.3,297.11,290.06,293.26,291.57
1,1624964400,1624937804,1624994980,1013,88,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",2.65,280,4.77,100,1.0,21.4,291.36,287.24,292.45,287.24,288.83,288.93,291.53,287.24,288.96,289.15
2,1625050800,1625024236,1625081371,1015,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.05,243,7.29,71,0.96,3.7,292.61,284.08,292.61,285.45,288.81,286.1,291.92,285.24,288.81,285.83
3,1625137200,1625110669,1625167759,1017,55,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.18,327,4.16,84,0.39,0.26,294.43,285.68,294.71,286.05,291.45,286.95,294.05,285.82,291.35,286.84
4,1625223600,1625197106,1625254144,1017,43,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.16,345,2.16,0,0.29,0.16,297.76,283.96,297.76,287.94,292.76,287.93,297.4,287.96,292.87,287.63
5,1625310000,1625283544,1625340527,1014,50,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.16,200,5.25,99,1.0,6.89,298.33,286.69,298.33,289.19,290.41,288.56,298.21,289.41,290.67,288.56
6,1625396400,1625369984,1625426908,1016,98,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.73,248,8.56,100,1.0,37.96,288.12,287.32,288.6,287.32,287.94,288.52,288.23,287.33,288.03,288.7
7,1625482800,1625456426,1625513286,1021,71,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.7,356,2.18,92,0.45,0.58,292.99,285.99,295.13,288.0,292.51,287.08,292.88,288.05,292.59,287.06
8,1625569200,1625542870,1625599661,1020,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.98,7,3.72,35,0.89,1.71,296.71,286.22,297.19,288.91,293.88,289.38,296.66,289.02,294.1,289.46
9,1625655600,1625629316,1625686034,1019,49,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.83,52,3.74,14,0.22,0.16,298.83,287.15,299.52,290.54,295.17,290.22,298.73,290.76,295.57,290.31
10,1625742000,1625715764,1625772404,1018,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.26,60,2.86,1,0.04,,300.32,288.23,301.03,291.68,296.95,291.13,300.48,291.89,297.32,291.33
11,1625828400,1625802213,1625858772,1016,43,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.47,333,1.6,0,0.34,0.63,303.16,288.92,303.22,293.45,297.77,292.03,303.22,293.83,298.4,292.22
12,1625914800,1625888664,1625945138,1017,48,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.66,218,2.38,60,0.59,1.55,303.47,291.4,303.47,293.98,298.45,293.1,304.35,294.47,299.26,293.55
13,1626001200,1625975117,1626031501,1018,40,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.17,186,2.21,10,0.19,,305.5,291.33,305.62,295.98,301.25,294.11,305.94,296.41,303.87,294.48
14,1626087600,1626061572,1626117861,1017,39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.6,172,1.76,0,0.31,0.11,306.8,292.4,306.94,294.82,301.06,295.25,307.75,295.31,304.04,295.47
15,1626174000,1626148028,1626204220,1015,44,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.64,330,4.27,26,0.97,8.28,304.47,291.85,304.47,291.98,292.76,294.86,305.15,292.43,293.34,295.12
