,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851153,1624908272,1015,62,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.84,149,2.62,77,0.95,8.05,296.38,288.62,298.48,289.39,296.64,292.15,296.38,289.58,297.03,292.01
1,1624964400,1624937582,1624994665,1012,74,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",4.24,311,5.59,66,1.0,26.18,293.84,287.07,294.26,287.07,287.22,289.06,293.9,287.08,287.24,289.24
2,1625050800,1625024014,1625081056,1017,95,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.51,180,1.72,100,1.0,11.07,285.68,284.55,288.41,284.55,288.21,285.74,285.47,284.17,288.07,285.61
3,1625137200,1625110447,1625167444,1018,77,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.35,326,2.29,88,0.76,4.13,291.52,284.74,291.96,285.91,289.8,287.02,291.42,285.72,289.9,286.79
4,1625223600,1625196883,1625253829,1017,51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.78,329,2.58,4,0.58,1.57,295.65,284.78,295.65,287.14,291.92,288.71,295.29,286.94,291.94,288.57
5,1625310000,1625283321,1625340213,1015,49,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.68,329,3.87,95,0.95,5.8,297.03,286.28,297.03,289.09,291.27,290.46,296.75,289.3,291.46,290.2
6,1625396400,1625369761,1625426593,1016,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.4,257,2.55,100,1.0,43.56,288.38,287.1,288.61,287.1,287.5,288.15,288.47,287.14,287.58,288.29
7,1625482800,1625456203,1625512971,1022,92,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.16,344,2.17,100,0.97,17.37,288.26,286.58,293.18,287.2,290.9,286.58,288.23,287.09,290.9,286.54
8,1625569200,1625542647,1625599347,1020,79,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.25,343,1.96,83,0.93,7.54,293.52,287.44,293.52,287.98,291.89,288.84,293.68,287.97,292.25,288.81
9,1625655600,1625629092,1625685720,1019,53,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.89,342,1.91,2,0.51,,297.95,286.6,298.16,289.68,294.77,290.38,297.87,289.76,295.05,290.35
10,1625742000,1625715540,1625772091,1018,50,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.83,340,1.85,0,0.22,,299.68,288.2,299.68,291.15,296.03,292.67,299.68,291.28,296.41,292.56
11,1625828400,1625801989,1625858459,1017,44,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.75,333,1.96,0,0.54,0.63,301.59,289.92,301.59,292.96,297.43,294.69,301.54,293.11,297.9,294.73
12,1625914800,1625888440,1625944825,1018,52,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.46,151,3.21,28,0.56,1.81,301.51,291.53,301.72,292.82,297.61,295.63,302.22,292.64,298.1,295.74
13,1626001200,1625974892,1626031188,1019,39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.39,158,3.04,7,0.35,0.12,303.74,292.44,303.74,294.52,299.88,296.35,303.41,294.38,301.42,296.24
14,1626087600,1626061346,1626117549,1018,38,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.88,159,2.54,0,0.42,0.23,305.22,294.21,305.22,296.04,299.35,297.95,305.18,296.24,299.35,298.03
15,1626174000,1626147802,1626203908,1016,54,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.3,173,4.24,60,1.0,9.21,302.1,292.54,302.28,292.54,293.58,297.82,303.25,292.55,293.92,298.12
