,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851279,1624907971,1007,57,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.27,205,4.91,58,0.87,2.04,301.39,291.54,303.26,293.37,300.86,295.34,302.61,293.8,302.08,295.83
1,1624964400,1624937708,1624994365,1013,61,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.85,190,4.72,8,0.96,24.58,299.18,290.35,299.29,291.05,293.39,291.42,299.18,291.38,293.85,291.81
2,1625050800,1625024139,1625080757,1011,75,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.66,12,5.55,26,0.98,13.97,296.73,288.4,298.06,288.4,291.19,292.26,297.1,288.38,291.48,292.58
3,1625137200,1625110572,1625167146,1012,34,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.58,15,5.21,1,0.36,0.27,301.74,286.72,301.74,291.97,295.99,292.35,300.92,292.0,296.11,291.97
4,1625223600,1625197007,1625253533,1013,31,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.26,17,4.25,5,0.37,0.24,302.92,288.63,302.92,292.03,297.01,293.71,301.76,291.83,297.17,293.49
5,1625310000,1625283444,1625339917,1012,38,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.82,20,2.95,94,0.78,4.32,302.57,290.75,302.57,292.88,296.87,294.8,302.0,293.34,297.31,294.61
6,1625396400,1625369883,1625426298,1010,50,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.57,3,5.99,100,0.96,5.64,298.36,291.58,298.36,292.31,294.27,291.73,298.24,292.08,294.21,292.05
7,1625482800,1625456323,1625512678,1015,41,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.9,11,6.02,76,0.62,0.26,300.02,290.88,300.02,290.99,295.85,292.43,299.97,290.79,295.77,292.42
8,1625569200,1625542766,1625599055,1015,40,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",3.63,13,5.53,5,0.28,,302.77,290.0,303.3,292.83,298.15,294.73,302.41,292.84,298.38,294.61
9,1625655600,1625629210,1625685429,1016,37,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.14,19,4.18,3,0.46,0.74,303.66,290.73,303.66,293.13,299.5,295.6,303.08,293.51,299.5,295.52
10,1625742000,1625715656,1625771801,1017,46,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.12,197,3.13,4,0.51,4.08,304.09,291.71,304.35,294.36,299.02,296.06,304.93,294.86,299.73,296.34
11,1625828400,1625802104,1625858171,1016,46,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.31,211,2.92,6,0.52,1.11,304.89,292.59,305.34,296.04,300.69,296.81,306.18,296.6,303.29,297.29
12,1625914800,1625888553,1625944538,1019,78,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.15,18,3.14,72,0.88,18.78,301.32,293.5,301.61,293.5,297.97,296.41,305.35,293.81,298.75,297.17
13,1626001200,1625975004,1626030903,1019,39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.79,211,4.07,36,0.58,2.7,306.5,293.59,306.5,294.79,298.75,297.98,307.27,295.31,299.45,298.27
14,1626087600,1626061457,1626117266,1018,36,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.2,63,4.76,3,0.97,9.86,308.03,294.56,308.03,295.54,302.57,299.57,309.04,296.37,307.24,299.57
15,1626174000,1626147910,1626203626,1016,43,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.04,23,4.26,47,0.93,11.85,307.17,293.94,307.17,295.15,299.76,298.25,309.42,295.86,299.76,298.98
