,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851194,1624908236,1015,67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.36,159,4.25,73,0.95,4.83,298.03,290.7,299.99,291.83,297.94,293.96,298.32,292.1,298.25,294.26
1,1624964400,1624937623,1624994629,1013,73,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",2.07,293,4.06,51,1.0,24.8,295.39,289.16,295.77,289.16,290.36,291.34,295.58,289.4,290.54,291.67
2,1625050800,1625024055,1625081020,1016,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.51,354,1.91,100,1.0,9.41,287.56,286.19,289.18,286.19,289.18,287.85,287.56,286.0,289.16,287.93
3,1625137200,1625110488,1625167409,1017,72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.62,329,2.19,78,0.8,3.09,293.48,285.65,293.48,288.58,291.32,288.46,293.45,288.53,291.49,288.4
4,1625223600,1625196924,1625253795,1017,56,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.02,334,2.66,6,0.59,2.2,296.46,286.15,296.46,288.4,292.96,290.53,296.31,288.38,293.16,290.52
5,1625310000,1625283362,1625340178,1015,49,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.82,336,2.67,88,0.95,5.16,297.93,287.79,297.93,290.98,293.06,292.38,297.74,291.38,293.38,292.26
6,1625396400,1625369801,1625426559,1016,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.78,327,2.39,100,1.0,36.3,289.96,288.91,290.64,288.91,289.17,290.03,290.2,289.15,289.41,290.36
7,1625482800,1625456243,1625512937,1022,94,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.83,347,2.79,100,0.91,14.81,289.79,288.43,293.71,289.07,291.84,288.43,289.96,289.22,291.98,288.6
8,1625569200,1625542686,1625599313,1020,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.59,340,2.31,90,0.87,4.71,295.22,289.3,295.22,289.34,293.16,290.5,295.47,289.47,293.54,290.67
9,1625655600,1625629132,1625685686,1019,54,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",3.18,340,2.07,3,0.4,,299.46,287.92,299.46,290.75,296.11,292.3,299.46,291.02,296.52,292.39
10,1625742000,1625715579,1625772057,1018,48,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.19,337,2.06,0,0.34,0.14,301.22,289.48,301.22,292.25,297.5,294.75,301.5,292.57,298.03,294.74
11,1625828400,1625802028,1625858426,1017,42,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.98,340,1.92,0,0.66,2.56,302.98,291.15,302.98,294.32,298.46,296.44,302.87,294.71,299.11,296.57
12,1625914800,1625888478,1625944792,1019,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.92,153,2.63,45,0.68,5.31,301.65,292.98,301.76,293.94,298.29,297.33,303.23,294.01,298.92,297.61
13,1626001200,1625974931,1626031156,1020,39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.9,161,2.53,7,0.47,1.36,304.78,293.68,304.78,295.39,299.47,298.26,304.74,295.39,299.47,298.37
14,1626087600,1626061384,1626117517,1019,38,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.65,169,2.37,2,0.53,1.33,306.01,294.98,306.01,296.82,300.86,299.93,306.31,297.17,303.5,300.71
15,1626174000,1626147840,1626203876,1017,55,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.24,167,3.78,63,1.0,14.78,302.98,294.07,303.45,294.07,294.48,299.59,304.75,294.31,294.99,299.59
