,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851668,1624908378,1015,51,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.8,112,3.3,58,1.0,3.86,299.18,290.09,301.0,291.01,297.71,293.02,299.18,291.23,297.94,293.07
1,1624964400,1624938097,1624994772,1013,79,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.65,296,2.82,72,1.0,17.59,294.67,288.92,295.1,288.93,292.64,290.34,294.94,289.1,292.92,290.54
2,1625050800,1625024528,1625081164,1014,58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.17,299,3.13,77,0.89,1.39,293.76,286.79,293.76,286.79,290.81,288.33,293.39,286.72,290.77,288.28
3,1625137200,1625110961,1625167553,1016,47,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.13,308,2.75,5,0.82,1.11,297.54,285.15,297.54,288.54,293.17,288.39,297.26,288.54,293.32,288.22
4,1625223600,1625197396,1625253939,1016,45,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.08,314,2.77,12,0.41,0.49,298.83,287.03,298.83,289.73,295.62,290.64,298.63,289.77,295.72,290.66
5,1625310000,1625283833,1625340323,1014,38,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.68,290,2.55,95,1.0,3.18,300.47,289.04,300.47,290.93,292.13,292.27,300.15,291.3,292.51,292.17
6,1625396400,1625370272,1625426705,1017,97,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.94,300,2.33,100,0.93,22.01,290.49,289.45,290.49,289.45,290.02,290.33,290.81,289.69,290.32,290.64
7,1625482800,1625456713,1625513084,1020,76,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.54,312,2.59,98,0.69,3.2,293.37,288.05,294.38,290.06,292.62,289.24,293.43,290.21,292.84,289.39
8,1625569200,1625543155,1625599461,1019,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.47,314,2.36,55,0.84,1.42,297.02,287.36,297.02,290.16,294.47,290.6,297.03,290.34,294.85,290.65
9,1625655600,1625629599,1625685835,1018,41,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.65,308,2.26,9,0.21,0.28,301.6,288.53,301.66,292.34,297.28,292.48,301.3,292.72,297.79,292.48
10,1625742000,1625716046,1625772207,1018,36,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.82,301,2.18,1,0.2,,303.28,290.76,303.28,293.29,298.8,294.54,302.55,293.55,299.2,294.77
11,1625828400,1625802493,1625858577,1017,32,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.6,305,2.33,2,0.62,0.59,304.45,291.45,304.45,294.37,299.4,295.69,303.4,294.61,299.4,295.78
12,1625914800,1625888943,1625944944,1018,36,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.4,311,2.07,63,0.46,0.42,304.48,292.76,304.51,295.02,300.54,296.41,303.92,295.27,302.1,296.65
13,1626001200,1625975394,1626031309,1020,33,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.48,326,2.41,11,0.62,2.28,306.08,293.61,306.08,295.3,299.25,297.32,305.52,295.71,299.25,297.46
14,1626087600,1626061846,1626117672,1019,30,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.05,114,2.52,1,0.85,1.33,307.21,293.8,307.21,296.91,299.62,297.93,306.52,297.35,299.62,298.24
15,1626174000,1626148300,1626204032,1016,39,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.15,128,2.35,45,0.98,4.82,305.24,294.33,305.24,294.49,297.57,297.82,305.38,294.93,298.31,297.96
