,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624851089,1624908386,1014,65,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.24,274,9.06,48,0.99,12.31,297.34,287.95,300.67,289.89,297.54,291.14,297.51,290.18,298.05,291.32
1,1624964400,1624937519,1624994779,1011,48,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",6.09,265,13.14,62,1.0,25.46,297.33,287.02,297.33,287.02,287.76,288.54,297.06,287.02,287.81,288.67
2,1625050800,1625023951,1625081170,1016,83,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.47,165,4.45,100,0.97,9.4,288.16,285.54,291.5,285.54,289.1,286.7,287.88,285.32,289.1,286.57
3,1625137200,1625110385,1625167557,1017,59,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.91,297,4.6,91,0.59,1.24,293.14,285.83,294.44,286.47,291.5,287.26,292.74,286.26,291.4,287.15
4,1625223600,1625196821,1625253943,1017,44,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.23,301,2.96,6,0.57,,297.21,283.96,297.41,287.6,293.14,287.52,296.82,287.45,293.1,287.28
5,1625310000,1625283259,1625340325,1014,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",4.46,257,9.32,100,0.94,3.69,298.17,285.06,298.59,289.28,291.48,288.24,298.03,289.46,291.67,288.02
6,1625396400,1625369700,1625426706,1015,97,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.98,241,7.74,100,1.0,41.95,288.76,287.53,288.8,287.53,287.83,288.35,288.91,287.61,287.91,288.51
7,1625482800,1625456142,1625513083,1021,76,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.28,232,1.5,100,1.0,12.86,291.82,286.73,295.21,288.93,292.14,286.97,291.73,288.97,292.29,286.97
8,1625569200,1625542586,1625599458,1020,70,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.84,324,2.01,59,0.99,8.11,295.39,286.55,295.39,288.77,292.99,288.94,295.5,288.84,293.41,289.0
9,1625655600,1625629032,1625685831,1018,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2.38,30,4.62,16,0.63,,298.81,286.35,299.46,290.02,295.5,289.01,298.74,290.19,295.75,289.11
10,1625742000,1625715480,1625772201,1018,46,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.19,36,4.03,1,0.04,,300.33,287.32,300.95,291.1,296.64,290.49,300.49,291.38,297.0,290.58
11,1625828400,1625801930,1625858569,1016,45,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.26,343,1.31,0,0.27,,302.35,288.44,302.82,292.95,298.57,291.84,302.47,293.13,298.92,291.98
12,1625914800,1625888382,1625944934,1017,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.34,110,1.61,41,0.43,0.99,303.0,290.31,303.27,293.72,299.39,293.02,303.98,294.03,299.39,293.31
13,1626001200,1625974835,1626031297,1018,42,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.7,156,1.65,8,0.1,,304.4,290.06,305.41,295.27,300.84,293.12,304.71,295.42,302.56,292.92
14,1626087600,1626061290,1626117657,1017,40,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.62,62,3.31,0,0.21,,306.22,292.09,306.7,294.68,301.17,295.27,307.04,295.03,303.86,295.34
15,1626174000,1626147746,1626204015,1014,39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.4,285,3.94,59,1.0,2.84,304.95,292.14,304.95,292.14,295.16,295.96,304.98,292.44,295.71,296.23
