,importances_mean,importances_std
Events_futureWeekMean_0,0.0002388027333779978,1.0575498682797262e-05
publicTransportationPercent,8.94781372150923e-05,6.178128857372617e-06
Events_weekMean_2,7.616215173062181e-05,2.4979590598556196e-06
privateMotorisedTransportPercent,7.358881804308878e-05,7.6176340074061065e-06
livingSpaceInm2,5.8386149826256205e-05,6.3014122396111414e-06
maskMandatories_weekMean_0,5.400746924591792e-05,3.6939960425701772e-06
daysSincePandemicStart,5.162919616085698e-05,4.293762331736132e-06
maskMandatories_weekMean_1,4.5545317855164e-05,3.526313705035372e-06
isHoliday_futureWeekMean_2,3.981786212730754e-05,2.5127552237894713e-06
Homeworking_weekMean_2,3.8043430892153116e-05,2.405137134942116e-06
Sport activities_weekMean_0,3.708774135121695e-05,2.4713554220106913e-06
5PersonHouseholds_perc,3.114234545642152e-05,2.4816642055518504e-06
isHoliday_futureWeekMean_1,3.108361438155232e-05,3.203523932815166e-06
6+PersonHouseholds_perc,3.0809452752846264e-05,2.6635712637340064e-06
Gatherings/private events_weekMean_0,3.025806257927993e-05,2.060535951390807e-06
Homeworking_weekMean_0,2.9456768090136298e-05,1.6619683330819946e-06
Homeworking_weekMean_1,2.8506811266398455e-05,1.9802326686682497e-06
isHoliday_weekMean_2,2.8126799743722934e-05,4.874643378814046e-06
Events_weekMean_1,2.598755800283215e-05,1.390218887587645e-06
isHoliday_weekMean_0,2.5812556607538265e-05,1.6105912536426223e-06
2PersonHouseholds_perc,2.5771321672971288e-05,2.5404190679618683e-06
Events_weekMean_0,2.467816302080877e-05,1.2136887273402834e-06
intervistaMob_7dayAverage_weekMean_0,2.3256638024574615e-05,2.0857640769551505e-06
Homeworking_futureWeekMean_0,2.3075493932463166e-05,1.8180127355100893e-06
clouds_weekMean_2,2.1078352796948018e-05,1.4661881639738789e-06
isHoliday_futureWeekMean_3,2.091198602962401e-05,2.618144638172701e-06
Cases inzsumTotal 0 - 19_weekMean_1,2.048698936732143e-05,2.0530339849158816e-06
residential_percent_change_from_baseline_7dayAverage_weekMean_0,2.0000692005106004e-05,2.2127301997849738e-06
Singing allowed_weekMean_0,1.9528043680420148e-05,1.4419825383567697e-06
averageHousehold,1.9272598513274007e-05,3.356829221332356e-06
Cases inz_entries male_weekMean_2,1.8924084866062942e-05,1.6498110454617943e-06
Cases inzsumTotal 0 - 19_weekMean_2,1.834516736397621e-05,1.8877077011911214e-06
Cases inzsumTotal 0 - 19_weekMean_0,1.7607749177449196e-05,1.8828900399429503e-06
isHoliday_futureWeekMean_0,1.754511136441133e-05,2.2901851076832362e-06
Cases inz_entries 20 - 39_weekMean_2,1.7286280221544228e-05,1.5234787048176934e-06
Singing allowed_futureWeekMean_0,1.602060546862544e-05,7.091543478155931e-07
Cases inz_entries 40 - 59_weekMean_2,1.5946015175256227e-05,1.4385755503649195e-06
Sport activities_futureWeekMean_0,1.5917516500510842e-05,1.0931800964950317e-06
urbanPopulationPercent,1.5723118037638036e-05,2.8414729560581996e-06
Gatherings/private events_futureWeekMean_0,1.516637155118412e-05,1.2141349017077026e-06
Gatherings/private events_weekMean_2,1.5109946613634265e-05,1.2396934396728095e-06
Sport activities_weekMean_1,1.45767150494468e-05,1.064846556669852e-06
percentage 65 years or over,1.4515379895619273e-05,4.623857300421317e-06
Gatherings/private events_weekMean_1,1.4276185632756066e-05,8.518809457657992e-07
kofStrigency sumtotal,1.4092758168639577e-05,2.202045041231949e-06
Sport activities_weekMean_2,1.3233500255417359e-05,9.847780237866053e-07
residential_percent_change_from_baseline_weekMean_0,1.2970573191638918e-05,1.561636937947769e-06
isHoliday_weekMean_1,1.259607117311812e-05,6.165255348884784e-06
testPositvity_7dayAverage_last_2,1.1913217585332982e-05,2.5210799958475025e-06
3PersonHouseholds_perc,1.1809309881752848e-05,3.655507773937962e-06
"Cultural, entertainment and recreational facilities_futureWeekMean_0",1.1742887315603873e-05,1.1538434151673802e-06
Cases inz_entries female_weekMean_2,1.1515048237748395e-05,1.0163706958255257e-06
Restaurants_weekMean_0,1.1497999417829011e-05,1.5760393950411263e-06
Discos/Nightclubs_weekMean_0,1.1031452997529805e-05,1.0769568807093953e-06
Cases inz_entries 0 - 19_weekMean_0,1.0509190769022623e-05,7.17781081842991e-07
Singing allowed_weekMean_2,1.023679143608595e-05,7.108004089473125e-07
Restaurants_futureWeekMean_0,1.0100147508667126e-05,1.1420669957813685e-06
clouds_future_day_4,9.940577685993608e-06,1.82202798958629e-06
clouds_future_day_6,9.852216919166087e-06,1.06771399262869e-06
homeownershipPercent,8.831025356040192e-06,1.0972660831932452e-06
Cases inz_entries 0 - 19_weekMean_1,8.53271564378365e-06,7.94115212661099e-07
parks_percent_change_from_baseline_7dayAverage_weekMean_0,8.514779211948224e-06,1.3952451103356e-06
median_R_mean_weekMean_0,8.479307902690643e-06,3.2033059857118826e-07
Sport/Wellness facilities_weekMean_2,8.167449659178365e-06,1.4835606665115104e-06
clouds_future_day_3,7.98401668808367e-06,1.4278110847465004e-06
intervistaMob_weekMean_0,7.810264843393006e-06,3.183859178184289e-07
Discos/Nightclubs_futureWeekMean_0,7.410618951016993e-06,8.922451097177018e-07
test_inz_entries_weekMean_2,7.364017113219829e-06,1.1969808079101436e-06
AtLeastOneDosePersons per100PersonsTotal_weekMean_2,7.2708302252797764e-06,1.2486697261128765e-06
clouds_future_day_5,7.198241051672993e-06,1.2301592909641266e-06
residential_percent_change_from_baseline_7dayAverage_weekMean_1,7.189104723872068e-06,7.980302132055663e-07
retail_and_recreation_percent_change_from_baseline_weekMean_2,7.115105371620963e-06,6.805668050616042e-07
Cases inz_entries 60+_weekMean_2,6.832038253204356e-06,6.13811439669845e-07
Singing allowed_weekMean_1,6.646441730025448e-06,5.1879892518047e-07
Restaurants_weekMean_1,6.618134826773172e-06,1.2521061986382513e-06
Discos/Nightclubs_weekMean_1,6.516917007460621e-06,1.1167620620643553e-06
Borders_futureWeekMean_0,6.509087684832861e-06,4.475607242873526e-07
clouds_futureWeekMean_0,6.44725822088008e-06,3.2890204751943623e-07
Penalties_futureWeekMean_0,6.399428311263419e-06,7.182164083717971e-07
AtLeastOneDosePersons per100PersonsTotal_weekMean_0,6.290411983297809e-06,1.0445872677806489e-06
Hosp inz_entries 60+_weekMean_2,6.266739963104459e-06,9.276937469663227e-07
clouds_weekMean_1,6.260034079711113e-06,5.02429691397538e-07
clouds_future_day_2,6.2447599501843115e-06,2.4459266749105e-07
Restaurants_weekMean_2,6.200910722861902e-06,6.973955310716965e-07
Death inzsumTotal 40 - 59_weekMean_2,6.167471865091618e-06,1.0220596075200863e-06
ICU_NonCovid19Patients_inz_weekMean_2,6.058673337327818e-06,4.3918479072039983e-07
Death inzsumTotal 0 - 19_weekMean_2,6.051989764256269e-06,5.094095002265493e-07
workplaces_percent_change_from_baseline_weekMean_2,5.925918889741538e-06,1.2299657406223734e-06
clouds_future_day_0,5.919367186047321e-06,8.502599228667905e-07
Hosp inzsumTotal 20 - 39_weekMean_2,5.905467620234889e-06,4.0656972154391534e-07
AtLeastOneDosePersons per100PersonsTotal_weekMean_1,5.843261014569674e-06,9.782691031135685e-07
Death inzsumTotal 40 - 59_weekMean_0,5.591334649574995e-06,9.369964297181591e-07
clouds_future_day_1,5.56341802005996e-06,8.181282102441052e-07
Hosp inz_entries 20 - 39_weekMean_1,5.504234714026851e-06,9.071490300681003e-07
Demonstrations_futureWeekMean_0,5.493221918718375e-06,4.7190539085549793e-07
prct_B.1.1.7_weekMean_2,5.474367484605935e-06,8.726007125904218e-07
intervistaMob_7dayAverage_weekMean_1,5.2943200969972825e-06,6.842592905784072e-07
Hosp inzsumTotal 20 - 39_weekMean_1,5.230305319767377e-06,5.190062976669885e-07
Hosp inzsumTotal 0 - 19_weekMean_0,5.172202009029849e-06,1.212121208762794e-06
Hosp inzsumTotal 0 - 19_weekMean_1,5.023347306745522e-06,1.0510832571894433e-06
Hosp inzsumTotal 0 - 19_weekMean_2,4.847854707826834e-06,8.765166998291197e-07
"Cultural, entertainment and recreational facilities_weekMean_2",4.614653810105606e-06,1.0259808688412334e-06
Hosp inz_entries 20 - 39_weekMean_0,4.554205703375834e-06,4.4008603409554297e-07
Death inzsumTotal 40 - 59_weekMean_1,4.491117400697064e-06,9.256706264548467e-07
Hosp inzsumTotal 20 - 39_weekMean_0,4.47598045925303e-06,5.910983893174286e-07
workplaces_percent_change_from_baseline_7dayAverage_last_2,4.400042211385839e-06,8.461892900802906e-07
prct_B.1.617.1_weekMean_2,4.2609714951887935e-06,5.569937922881963e-07
residential_percent_change_from_baseline_weekMean_1,3.986503656531808e-06,3.2361495759694065e-07
Cases inzsumTotal 20 - 39_weekMean_0,3.936323036020459e-06,9.605882251025337e-07
Religious services_weekMean_0,3.897891545572799e-06,4.015137861761776e-07
prct_P.1_weekMean_2,3.7919668759397226e-06,7.790877257069183e-07
Cases inzsumTotal male_weekMean_0,3.7201256943098036e-06,8.853686103998402e-07
Cases inzsumTotal male_weekMean_1,3.6893251654503307e-06,9.151275531160975e-07
test_inz_entries_7dayAverage_weekMean_2,3.608570821994942e-06,7.862914084822693e-07
retail_and_recreation_percent_change_from_baseline_7dayAverage_weekMean_2,3.4950744025559216e-06,4.0977180454379195e-07
Discos/Nightclubs_weekMean_2,3.4534747052103683e-06,4.821576464830592e-07
workplaces_percent_change_from_baseline_7dayAverage_median_2,3.3637524910039904e-06,1.1133376479154043e-06
Death inzsumTotal 0 - 19_weekMean_1,3.3350942394070464e-06,4.3412023654810934e-07
Cases inzsumTotal 20 - 39_weekMean_1,3.316161766236578e-06,8.780038629458957e-07
workplaces_percent_change_from_baseline_7dayAverage_range_0,3.1846215838008794e-06,8.364024287139089e-07
intervistaMob_weekMean_1,3.143726073637221e-06,8.86893752364897e-07
prct_B.1.351_weekMean_2,3.0771991416229242e-06,5.371620516962997e-07
Cases inz_entries 0 - 19_weekMean_2,3.03585968429664e-06,7.996366367443765e-07
Sport/Wellness facilities_weekMean_0,2.932019052886395e-06,1.2394517126071366e-06
ICU_NonCovid19Patients_inz_weekMean_1,2.8860194368834958e-06,4.3282920015223686e-07
prct_B.1.1.7_weekMean_1,2.8589280853122964e-06,3.5411888503676253e-07
Primary (includes kindergarten) and lower secondary school_weekMean_0,2.8134951232417458e-06,4.616757040474044e-07
parks_percent_change_from_baseline_weekMean_2,2.760839233717093e-06,1.8806102948532636e-06
Death inzsumTotal 0 - 19_weekMean_0,2.7595371550144434e-06,5.906862002864176e-07
prct_B.1.526_weekMean_0,2.7516006738087736e-06,3.3106640732851045e-07
ICU_NonCovid19Patients_inz_weekMean_0,2.7446459095191964e-06,5.365253798471488e-07
Death inzsumTotal 20 - 39_weekMean_2,2.7047750738391255e-06,5.986492530349415e-07
Death inz_entries 40 - 59_weekMean_2,2.655126198353023e-06,2.236969052170403e-07
residentsPerKm2SettlementArea,2.5777075304134723e-06,4.513164021216774e-07
Hosp inz_entries 20 - 39_weekMean_2,2.5255344820653005e-06,2.3477027103902805e-06
temp_min_weekMean_0,2.502077139883863e-06,1.39734605711144e-07
prct_B.1.1.7_weekMean_0,2.4737299619508176e-06,1.9901997980479376e-07
Sport/Wellness facilities_weekMean_1,2.4595798678555237e-06,1.3694742489001408e-06
COVID19FullyVaccPersons per100PersonsTotal_weekMean_0,2.3820447218365773e-06,4.6644688214974385e-07
Religious services_weekMean_1,2.3713656243016603e-06,1.87524969467993e-07
meanNeighborIncidence_weekMean_2,2.2547197154147758e-06,4.1920774898725315e-07
population_perc,2.2425292740071297e-06,1.781612896315458e-06
Religious services_weekMean_2,2.201957844016975e-06,3.982392471761508e-07
retail_and_recreation_percent_change_from_baseline_7dayAverage_weekMean_1,2.172597868473438e-06,9.706301627755692e-07
Death inz_entries male_weekMean_2,2.172448317146235e-06,3.863477032480599e-07
residentsPerKm2,2.1473253572565008e-06,6.887824022472124e-07
Penalties_weekMean_0,2.0784875654145584e-06,2.1261522060099985e-07
retail_and_recreation_percent_change_from_baseline_weekMean_1,2.0324349976985057e-06,2.6212355630962024e-07
prct_P.2_weekMean_0,1.9599017411007884e-06,1.6166277741014372e-07
ICU_FreeCapacity_inz_weekMean_2,1.953586162823512e-06,1.265747702058569e-06
grocery_and_pharmacy_percent_change_from_baseline_7dayAverage_weekMean_1,1.924750071917599e-06,6.168449828432061e-07
ICU_AllPatients_inz_weekMean_0,1.8981692376182375e-06,1.6351462047749462e-07
