,importances_mean,importances_std
population_perc,8.180115190284914,0.1850934434474853
residentsPerKm2,5.761083038412337,0.35592280393063525
3PersonHouseholds_perc,3.8459498505708014,0.1333290346364634
Shops/Markets_futureWeekMean_0,3.0642673708357906,0.1390468189746207
maskMandatories_weekMean_0,2.963523332127985,0.1881918811453778
residentsPerKm2SettlementArea,2.5075555950483546,0.330693808063684
transit_stations_percent_change_from_baseline_weekMean_2,2.3796261789985103,0.05740048036933151
carsPer1000inhabitants,2.174607320615867,0.1427890151928875
transit_stations_percent_change_from_baseline_7dayAverage_last_2,2.1716412402870198,0.06038001593903694
isHoliday_futureWeekMean_0,2.063618121699823,0.1039985062346312
Homeworking_weekMean_1,2.0573803307875154,0.08762135386756884
livingSpaceInm2,1.8817503484432911,0.07952141121952118
urbanPopulationPercent,1.8534950400298498,0.14460347386532788
test_inzsumTotal_weekMean_0,1.7830788707476102,0.1602666329133993
Borders_futureWeekMean_0,1.7318316292569969,0.02735318121609942
daysSincePandemicStart,1.6996087518985064,0.13699565281251405
Homeworking_weekMean_2,1.6159590934486083,0.08603503751722216
isHoliday_futureWeekMean_1,1.516190506762893,0.08204000952743834
Homeworking_weekMean_0,1.502945497415137,0.05316963475645453
"Upper secondary school, vocational schools and higher education_futureWeekMean_0",1.500377815431662,0.09896278789176831
Singing allowed_weekMean_1,1.4376399037651617,0.09618274577694015
transit_stations_percent_change_from_baseline_7dayAverage_median_2,1.2853043877532222,0.07567166868522099
isHoliday_futureWeekMean_3,1.2516397419644172,0.1543625618108146
isHoliday_futureWeekMean_2,1.1910122421552551,0.11638166273435788
test_inzsumTotal_weekMean_1,1.1531965908657185,0.14901953682551425
intervistaMob_weekMean_2,1.1526990453509314,0.07971524286494695
temp_max_weekMean_1,1.1285751034307352,0.06446289289387705
Cases inzsumTotal 20 - 39_weekMean_2,1.103484755770537,0.024996357694934905
test_inzsumTotal_weekMean_2,1.0954527636422626,0.13275515131304078
temp_max_weekMean_2,1.0472548513078308,0.05209380039816803
maskMandatories_weekMean_2,0.8752907231168934,0.04624911883854821
Shops/Markets_weekMean_2,0.8572556755292133,0.06633464235934886
publicTransportationPercent,0.8339578407472672,0.13649680717928223
Discos/Nightclubs_futureWeekMean_0,0.825580391279771,0.09069111354841866
prct_P.1_weekMean_0,0.7975409618285149,0.03450248236091409
testPositvity_7dayAverage_median_0,0.7923378545961619,0.06229063676719728
temp_max_weekMean_0,0.7922037705578248,0.05215796081793842
AtLeastOneDosePersons per100PersonsTotal_weekMean_2,0.7874105304399273,0.04228771020430978
prct_B.1.526_weekMean_0,0.7853273396864736,0.04330157125765991
Death inzsumTotal male_weekMean_1,0.7820044648615181,0.04208140744442591
Gatherings/private events_weekMean_2,0.7767384428862293,0.039165262195614906
Gatherings/private events_weekMean_1,0.7755568470916352,0.043569970010454956
Sport activities_futureWeekMean_0,0.7692888676316911,0.046312683700758105
ICU_NonCovid19Patients_inz_weekMean_2,0.7668542023938947,0.037238761651756914
prct_P.1_weekMean_2,0.7639646072593351,0.06617070766401859
temp_min_weekMean_1,0.7582616225085814,0.04757610325860097
Gatherings/private events_futureWeekMean_0,0.7525953349398797,0.043383002702295136
Death inzsumTotal male_weekMean_0,0.7434165070320397,0.051051733898758084
Death inzsumTotal 20 - 39_weekMean_2,0.7413608499614377,0.028571398977695207
Cases inzsumTotal 20 - 39_weekMean_1,0.7389577079012064,0.014683186719428068
intervistaMob_7dayAverage_weekMean_2,0.7352930793865035,0.05409882923044377
isHoliday_weekMean_1,0.7214379590797939,0.0527931016236584
maxNeighborIncidence_weekMean_2,0.7181165628356119,0.04414666671826989
temp_min_weekMean_2,0.7127808419199319,0.05807046608346619
Death inzsumTotal male_weekMean_2,0.7043640013332322,0.05096651963765988
DoctorsPer100Kinhabitants,0.7014634988378645,0.12424969136903088
transit_stations_percent_change_from_baseline_weekMean_1,0.7010281688762156,0.050136165116341246
transit_stations_percent_change_from_baseline_7dayAverage_last_1,0.6908763052639614,0.04992100677631327
transit_stations_percent_change_from_baseline_7dayAverage_median_0,0.688653072963828,0.054740127335492404
maskMandatories_weekMean_1,0.6787798097512792,0.058929567361448276
percentage 65 years or over,0.6543079427631717,0.043908643585325306
prct_P.1_weekMean_1,0.6509622764073292,0.024648238421686706
Singing allowed_weekMean_2,0.6496983304499302,0.03941887359754421
Cases inzsumTotal 20 - 39_weekMean_0,0.6447290096642838,0.014775729750500542
Events_weekMean_2,0.6387449732366598,0.06300759440086703
Mountain railways_futureWeekMean_0,0.6335598392949265,0.0381695550913945
ICU_FreeCapacity_inz_weekMean_1,0.6062592724905507,0.0714497842567045
Sport activities_weekMean_0,0.5983243587524747,0.05157326802141254
"Cultural, entertainment and recreational facilities_weekMean_0",0.5960360277695159,0.033887099875277264
intervistaMob_7dayAverage_weekMean_0,0.5816414619713143,0.04848710303007712
Singing allowed_futureWeekMean_0,0.5679212194890028,0.03536882248813534
Cases inzsumTotal 60+_weekMean_1,0.5672127119614437,0.0218393247592157
workplaces_percent_change_from_baseline_7dayAverage_shortTrend_1,0.5618315354833072,0.03778043482980879
Restaurants_weekMean_1,0.5518092111757185,0.039583002585612856
temp_min_weekMean_0,0.5427508187101211,0.03930066655161369
averageHousehold,0.535845644968861,0.031472706131843046
isHoliday_weekMean_2,0.5304028780955192,0.04082671723453932
Sport activities_weekMean_1,0.5226603957841995,0.02074579063713862
transit_stations_percent_change_from_baseline_7dayAverage_median_1,0.5084556456203408,0.04269341106789745
Singing allowed_weekMean_0,0.5031235173063464,0.028131658304568354
