,importances_mean,importances_std
population_perc,8.863539937885625,0.7346248525220016
residentsPerKm2,6.263429437107796,0.805618577938864
maskMandatories_weekMean_0,4.682769553295043,0.15228916574900528
daysSincePandemicStart,4.495733046210357,0.17125879467146737
livingSpaceInm2,4.108420589477868,0.07661238224061463
test_inzsumTotal_weekMean_0,3.191395644935956,0.1648597712751055
test_inzsumTotal_weekMean_1,2.965557964150155,0.15540731214682982
residentsPerKm2SettlementArea,2.9617910770714446,0.6632599918063089
Singing allowed_weekMean_1,2.814907766995083,0.08559541273749144
3PersonHouseholds_perc,2.512564777878096,0.19704948797807242
intervistaMob_weekMean_2,2.4697255918600476,0.2847275368248679
temp_min_weekMean_1,2.4433140181466895,0.07986757282267672
kofStrigency sumtotal,2.2675221795341742,0.09433250986257727
Shops/Markets_futureWeekMean_0,2.1605132398579654,0.1961706820331926
temp_max_weekMean_1,2.101290772224695,0.08884952171910679
transit_stations_percent_change_from_baseline_7dayAverage_last_2,2.0638836061215473,0.26802829953953544
transit_stations_percent_change_from_baseline_weekMean_2,2.0395858209409483,0.2731936932937508
temp_min_weekMean_2,1.8772405742634988,0.06644028351010926
test_inzsumTotal_weekMean_2,1.859259092839902,0.13625336931789384
temp_min_weekMean_0,1.830210066227258,0.056145592954266306
maxNeighborIncidence_weekMean_2,1.5311980193515993,0.07206006367077412
intervistaMob_7dayAverage_weekMean_2,1.5300974678800414,0.22144000612867326
6+PersonHouseholds_perc,1.4233359632466347,0.07276536873451478
ICU_NonCovid19Patients_inz_weekMean_2,1.4116793958967278,0.15843670922027064
temp_max_weekMean_2,1.268760946433177,0.09870182596464581
Cases inz_entries 0 - 19_weekMean_2,1.2673871413074096,0.10431612748003373
carsPer1000inhabitants,1.2665637918559696,0.13372773706523267
prct_B.1.1.7_weekMean_0,1.2216667072470955,0.1683558059628674
isHoliday_futureWeekMean_0,1.2147195821181143,0.1818401894261831
"Cultural, entertainment and recreational facilities_weekMean_0",1.1415472519044285,0.09003514907179208
Singing allowed_weekMean_2,1.111985544374369,0.060922915620813485
Total_NonCovid19Patients_inz_weekMean_0,1.1119599540278586,0.10202429238143974
Discos/Nightclubs_futureWeekMean_0,1.0996197188960906,0.06227172435031342
averageHousehold,1.0971264039731097,0.11372791413004661
maskMandatories_weekMean_1,1.0740275195345403,0.04006133395721169
transit_stations_percent_change_from_baseline_7dayAverage_median_2,1.0679580462268106,0.21295980831933725
Singing allowed_futureWeekMean_0,1.0587175867949525,0.018757657408261477
isHoliday_futureWeekMean_2,1.0338782688356816,0.06730714911628242
urbanPopulationPercent,1.026277236732831,0.2485472139146385
Total_AllPatients_inz_weekMean_0,1.0176376096000568,0.1035098692644332
Death inzsumTotal 40 - 59_weekMean_0,1.010713298622808,0.05579562417572071
Gatherings/private events_futureWeekMean_0,1.0034693838772442,0.05187709339234325
Sport activities_futureWeekMean_0,0.9901776624818381,0.14621706659516107
Hosp inz_entries 20 - 39_weekMean_1,0.9812257586785094,0.1975864909052229
temp_min_futureWeekMean_0,0.954261960751927,0.056129490234952714
Death inzsumTotal 40 - 59_weekMean_2,0.8777324810182293,0.07387565626297675
Hosp inzsumTotal 0 - 19_weekMean_1,0.8704684028728294,0.17285105858108846
Cases inz_entries 60+_weekMean_2,0.8654069967346999,0.1068012793008954
Total_Capacity_inz_weekMean_0,0.8487024805937807,0.048836231947060466
intervistaMob_weekMean_1,0.8240220267817662,0.12210707851809208
publicTransportationPercent,0.8167540722458838,0.37968779772032657
prct_P.1_weekMean_0,0.8036596704364782,0.07833278638702203
ICU_FreeCapacity_inz_weekMean_1,0.802375069589948,0.17819017416753158
testPositvity_7dayAverage_median_0,0.8009367765442065,0.05811074267891085
Penalties_weekMean_2,0.7961098498732568,0.05858628291362269
transit_stations_percent_change_from_baseline_7dayAverage_median_0,0.7955203999727558,0.11868156492041908
isHoliday_weekMean_1,0.7952512571432522,0.04454015556233598
