,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,rain.3h,snow.1h
0,2020-03-19 00:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",279.86,278.75,1025,100,276.15,283.15,0.5,0,0,,,
1,2020-03-19 01:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",279.35,277.78,1025,100,276.15,282.59,1.0,0,0,,,
2,2020-03-19 02:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",279.28,277.69,1025,100,276.15,282.04,1.0,0,0,,,
3,2020-03-19 03:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",278.75,277.4,1025,100,276.15,282.04,0.5,70,90,,,
4,2020-03-19 04:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",278.15,276.12,1025,93,275.094,280.37,1.0,0,0,,,
5,2020-03-19 05:00:00,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",277.88,276.35,1025,100,275.15,281.48,0.5,0,0,,,
6,2020-03-19 06:00:00,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",277.55,275.06,1025,93,274.983,279.82,1.5,0,0,,,
7,2020-03-19 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.63,276.9,1025,100,276.15,281.48,1.0,0,0,,,
8,2020-03-19 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.7,280.54,1025,87,278.15,285.37,0.5,0,0,,,
9,2020-03-19 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.32,282.86,1025,66,280.094,288.71,0.5,0,0,,,
10,2020-03-19 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",286.28,284.86,1025,66,282.59,289.82,1.0,0,0,,,
11,2020-03-19 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",288.11,286.77,1024,62,286.15,290.93,1.16,308,0,,,
