,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,rain.3h,snow.1h
0,2020-03-19 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",281.15,279.53,1025,87,278.15,283.15,1.0,0,0,,,
1,2020-03-19 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.34,278.99,1025,93,278.15,282.59,0.66,259,0,,,
2,2020-03-19 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.14,278.86,1025,93,278.15,282.04,0.5,220,0,,,
3,2020-03-19 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.59,278.19,1025,93,278.15,282.15,0.5,0,0,,,
4,2020-03-19 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.21,277.79,1025,93,277.59,281.48,0.43,164,0,,,
5,2020-03-19 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.64,277.28,1025,100,276.15,281.48,0.48,127,0,,,
6,2020-03-19 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.49,277.1,1025,100,277.04,280.93,0.48,127,0,,,
7,2020-03-19 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.78,278.66,1025,100,277.04,281.48,0.48,127,0,,,
8,2020-03-19 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.95,281.13,1025,81,280.93,285.37,1.5,0,0,,,
9,2020-03-19 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",285.22,284.05,1025,76,282.59,288.71,1.0,0,0,,,
10,2020-03-19 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",286.86,285.16,1025,58,284.15,288.71,1.0,0,0,,,
