,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,rain.3h,snow.1h
0,2020-03-19 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.22,278.06,1025,87,277.15,283.15,1.5,200,0,,,
1,2020-03-19 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.5,278.09,1025,93,276.15,283.15,0.5,0,0,,,
2,2020-03-19 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.76,277.51,1025,87,276.15,283.15,1.5,190,0,,,
3,2020-03-19 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.33,277.88,1025,93,276.15,282.59,0.5,250,0,,,
4,2020-03-19 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.66,277.08,1025,93,276.15,280.37,0.5,180,0,,,
5,2020-03-19 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.38,276.05,1024,93,276.15,282.04,1.5,240,0,,,
6,2020-03-19 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.19,276.84,1025,93,275.15,281.48,0.04,293,0,,,
7,2020-03-19 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",279.03,277.74,1025,100,276.15,282.04,0.5,0,0,,,
8,2020-03-19 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.91,280.22,1025,81,278.15,285.37,1.0,230,0,,,
9,2020-03-19 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.88,282.83,1025,66,281.48,288.71,1.5,210,0,,,
10,2020-03-19 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",286.47,284.32,1025,66,284.15,288.15,2.1,220,0,,,
11,2020-03-19 11:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",288.07,286.26,1025,58,286.15,290.93,1.5,0,20,,,
12,2020-03-19 12:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",289.44,287.68,1024,54,288.15,291.48,1.5,0,40,,,
13,2020-03-19 13:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",290.4,287.19,1023,51,288.15,292.59,3.6,150,40,,,
14,2020-03-19 14:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",291.54,290.67,1022,55,288.71,294.26,1.0,0,0,,0.56,
15,2020-03-19 15:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",291.75,290.72,1022,52,289.82,293.15,1.0,0,0,,0.56,
16,2020-03-19 16:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",291.53,290.17,1022,48,289.26,292.59,1.0,0,0,,0.56,
17,2020-03-19 17:00:00,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",290.28,288.92,1021,52,287.59,292.59,1.0,0,0,,0.44,
