,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,snow.3h,rain.3h,snow.1h
0,2020-03-19 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.34,276.7,1026,66,276.48,282.59,1.0,80,5,,,,
1,2020-03-19 01:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",279.21,276.55,1026,66,275.93,282.59,1.0,80,11,,,,
2,2020-03-19 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.55,277.42,1026,70,275.37,283.15,0.5,0,0,,,,
3,2020-03-19 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.26,276.38,1026,70,274.82,282.59,1.5,80,0,,,,
4,2020-03-19 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.22,276.21,1026,81,274.26,280.37,0.5,0,0,,,,
5,2020-03-19 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.21,275.33,1026,75,273.71,282.59,1.5,90,0,,,,
6,2020-03-19 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.6,274.21,1026,75,273.71,279.82,2.1,80,0,,,,
7,2020-03-19 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.14,275.25,1026,75,273.71,280.37,1.5,0,0,,,,
8,2020-03-19 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",282.04,279.43,1026,65,276.48,287.04,1.5,0,0,,,,
9,2020-03-19 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",283.12,279.95,1025,57,278.71,287.04,2.1,100,0,,,,
10,2020-03-19 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",285.95,283.19,1025,47,284.26,287.04,1.5,90,0,,,,
11,2020-03-19 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",288.0,285.58,1025,41,286.48,288.71,1.0,0,4,,,,
12,2020-03-19 12:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",288.91,286.69,1024,42,285.93,290.15,1.0,0,20,,,,
13,2020-03-19 13:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",288.3,284.93,1022,37,284.26,292.15,2.1,230,20,,,,
14,2020-03-19 14:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",289.78,285.95,1022,32,284.26,293.15,2.6,240,20,,,,
15,2020-03-19 15:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",288.82,283.42,1021,37,283.71,293.15,5.1,250,20,,,,
