,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,259.76,281.93,270.62,276.33,273.21,273.06,270.77,276.67,4.83,216,1000,1038,1024.0,1022.1,1014.0,1031.0,10.67,216,49,100,92.0,88.75,83.0,98.0,11.24,213,0.0,10.8,1.23,1.82,0.98,2.1,1.66,216,0,0.9,0.0,0.12,0,0.0,0.29,216,0,100,75.0,58.19,18.5,90.0,37.16,216
0,1,2,262.69,279.66,270.5,276.71,273.14,273.53,271.72,276.36,3.36,216,1004,1037,1018.0,1019.85,1012.0,1030.0,9.95,216,45,100,92.0,88.54,84.0,97.0,11.05,206,0.0,10.3,1.5,2.23,1.0,2.6,2.02,216,0,0.9,0.0,0.15,0,0.3,0.29,216,0,100,78.0,74.17,74.0,90.0,23.94,216
0,1,3,268.06,286.4,270.88,276.8,272.99,273.83,271.41,276.23,3.45,216,965,1037,1018.5,1017.56,1008.5,1027.0,14.95,216,60,100,93.0,91.06,86.0,97.5,8.0,212,0.0,13.4,1.33,2.06,1.0,2.1,2.12,216,0,3.0,0.0,0.24,0,0.3,0.62,216,0,100,75.0,67.63,50.0,90.0,28.33,216
0,1,4,268.27,285.44,271.32,276.78,273.46,274.18,271.67,276.34,3.41,216,997,1038,1018.5,1019.06,1005.5,1034.0,14.41,216,64,100,92.0,88.64,82.0,97.0,9.25,211,0.0,9.3,1.27,1.92,1.0,2.1,1.74,216,0,0.9,0.0,0.25,0,0.3,0.37,216,0,100,76.5,74.18,72.5,90.0,21.48,216
0,1,5,262.61,285.11,270.58,275.97,273.15,273.35,270.1,275.71,4.75,216,998,1038,1024.0,1020.26,1006.0,1034.0,14.21,216,59,100,92.5,89.12,84.5,96.0,8.7,216,0.0,7.2,1.5,1.85,1.04,2.1,1.36,216,0,0.9,0.0,0.16,0,0.3,0.29,216,0,100,75.0,54.14,18.0,90.0,35.77,216
0,1,6,260.08,281.14,270.08,275.69,273.27,272.89,270.17,276.4,4.76,216,1001,1038,1026.5,1021.19,1008.0,1032.0,11.98,216,54,100,92.0,89.82,87.0,96.0,9.3,216,0.0,4.1,1.31,1.43,1.0,1.81,0.64,216,0,0.3,0.0,0.08,0,0.3,0.13,216,0,100,75.0,58.92,20.5,90.0,35.01,216
0,1,7,258.6,279.82,269.9,275.91,273.96,272.72,270.88,276.56,4.93,216,971,1036,1029.0,1022.17,1014.0,1032.0,12.15,216,53,100,93.0,90.98,87.0,96.0,8.27,216,0.0,6.7,1.3,1.72,1.0,2.1,1.2,216,0,0.9,0.0,0.08,0,0.0,0.21,216,0,97,75.0,56.56,20.5,90.0,34.24,216
0,1,8,263.45,280.67,271.06,277.08,274.35,273.84,271.91,276.29,3.32,216,968,1035,1020.5,1016.38,1012.0,1029.0,17.84,216,47,100,93.0,90.5,86.0,96.0,9.12,216,0.28,7.2,1.5,2.09,1.03,2.12,1.55,216,0,0.9,0.0,0.12,0,0.0,0.26,216,0,98,66.5,52.68,15.0,82.0,33.87,216
0,1,9,265.66,287.04,272.38,278.95,275.15,274.78,272.52,276.71,3.58,216,966,1036,1016.0,1013.22,1012.0,1024.0,16.75,216,46,100,86.0,84.44,80.0,95.0,13.74,216,0.0,8.2,1.5,2.17,1.11,2.42,1.6,216,0,3.0,0.0,0.35,0,0.3,0.83,216,0,100,75.0,61.42,30.0,92.0,34.16,216
0,1,10,264.74,282.31,271.8,276.57,274.02,274.4,271.87,276.7,4.05,216,999,1030,1018.0,1016.5,1013.0,1021.0,7.04,216,32,100,92.0,87.22,81.0,97.0,12.81,211,0.0,5.96,1.22,1.9,1.0,2.59,1.4,216,0,3.0,0.0,0.31,0,0.3,0.71,216,0,96,75.0,60.86,36.0,90.0,30.78,216
0,1,11,264.08,280.22,271.36,277.09,274.68,274.04,272.5,276.39,3.4,216,992,1033,1018.5,1017.57,1014.0,1025.0,9.95,216,55,100,93.0,90.27,86.0,97.0,9.25,207,0.0,6.7,1.5,1.9,1.0,2.6,1.3,216,0,3.0,0.0,0.41,0,0.3,0.83,216,0,92,75.0,68.24,56.5,90.0,25.01,216
0,1,12,268.48,278.47,272.47,276.85,274.75,274.56,273.05,276.64,2.33,216,998,1031,1021.0,1018.75,1013.0,1026.0,8.4,216,54,100,90.0,86.46,78.0,95.0,11.71,204,0.0,7.2,2.1,2.33,1.0,3.18,1.42,216,0,0.9,0.0,0.15,0,0.3,0.28,216,0,100,81.0,72.46,75.0,90.0,30.43,216
0,1,13,266.27,280.4,270.8,277.62,274.17,274.21,272.38,276.1,2.65,216,997,1028,1016.0,1015.9,1013.0,1020.0,5.9,216,49,100,91.0,85.99,77.0,96.0,12.42,211,0.0,11.3,2.05,2.6,1.17,3.6,2.04,216,0,0.9,0.0,0.09,0,0.0,0.22,216,0,100,75.0,56.89,20.0,90.0,36.62,216
0,1,14,266.02,279.53,271.1,275.53,273.59,273.47,272.23,274.44,2.48,216,1005,1022,1014.0,1014.37,1011.0,1018.0,4.46,216,44,100,94.0,90.66,86.0,98.0,9.94,209,0.0,9.8,1.5,2.08,1.0,2.6,1.78,216,0,0.9,0.0,0.19,0,0.3,0.32,216,0,100,86.0,74.39,75.0,90.0,26.56,216
0,1,15,265.57,281.33,270.16,275.6,272.7,272.88,271.09,274.3,2.57,216,1007,1027,1016.0,1016.45,1012.0,1021.0,4.78,216,52,100,92.0,87.58,80.0,96.0,11.06,216,0.0,5.7,1.5,1.78,1.0,2.1,1.06,216,0,0.9,0.0,0.04,0,0.0,0.16,216,0,100,75.0,61.63,26.5,90.0,34.28,216
0,1,16,263.69,283.37,269.96,276.63,271.76,272.96,269.79,276.24,4.39,216,1000,1029,1015.5,1014.77,1007.0,1023.0,8.7,216,39,100,89.0,86.79,80.0,95.0,10.36,206,0.0,11.8,1.5,2.11,1.0,2.11,2.0,216,0,0.9,0.0,0.09,0,0.0,0.24,216,0,100,75.0,56.65,29.5,84.0,33.07,216
0,1,17,267.18,280.4,270.28,274.81,272.76,272.71,269.04,275.61,3.57,216,948,1028,1014.0,1012.84,1007.0,1023.0,14.39,216,45,100,95.0,88.58,81.0,97.0,12.61,211,0.5,9.3,2.19,2.98,1.29,4.35,2.26,216,0,0.9,0.0,0.1,0,0.0,0.23,216,0,100,75.5,70.42,68.5,90.0,29.25,216
0,1,18,256.48,281.83,268.34,273.18,270.49,270.81,268.31,273.85,5.16,216,1001,1030,1018.0,1017.49,1011.0,1024.0,8.18,216,55,100,91.0,86.86,79.0,95.0,10.93,216,0.0,13.4,1.5,2.34,1.0,2.6,2.35,216,0,0.9,0.0,0.07,0,0.0,0.22,216,0,100,75.0,54.55,20.0,90.0,35.3,216
0,1,19,257.86,279.49,267.16,273.87,269.7,270.35,267.27,273.22,4.43,216,997,1040,1014.0,1015.62,1010.0,1019.5,10.63,216,63,100,89.0,87.0,80.0,93.0,8.32,216,0.5,8.7,1.5,1.93,1.0,2.1,1.42,216,0,0.9,0.0,0.07,0,0.0,0.23,216,0,100,67.0,56.15,25.5,90.0,32.67,216
0,1,20,264.18,279.44,268.91,274.25,271.76,271.6,268.86,274.11,3.62,216,932,1041,1012.0,1013.08,1004.0,1020.5,16.41,216,32,100,92.0,87.96,80.0,97.0,11.85,216,0.0,9.77,1.5,2.1,1.0,2.6,1.61,216,0,0.9,0.0,0.09,0,0.0,0.24,216,0,100,90.0,70.51,63.0,92.0,33.21,216
0,1,21,262.86,280.5,269.43,274.59,271.9,271.96,269.56,274.27,4.11,216,989,1040,1016.0,1015.38,1008.0,1027.0,13.45,216,35,100,92.0,88.37,81.0,98.0,12.45,214,0.5,8.23,1.5,1.85,1.0,2.6,1.31,216,0,0.9,0.0,0.08,0,0.0,0.19,216,0,96,75.0,56.58,15.5,90.0,36.97,216
