,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,259.84,281.93,271.69,276.71,274.39,273.87,271.77,277.43,4.81,216,956,1038,1020.0,1015.33,1008.0,1027.0,17.83,216,47,100,87.0,86.97,80.0,100.0,12.17,213,0.0,10.8,1.06,1.82,1.0,2.1,1.71,216,0,0.9,0,0.1,0,0.0,0.24,216,0,98,90.0,68.08,48.0,90.0,31.48,216
0,1,2,262.38,283.62,271.4,277.77,274.67,274.47,272.94,277.07,3.42,216,922,1035,1014.0,1012.06,1009.0,1022.0,18.78,216,45,100,92.0,87.87,80.0,99.0,11.6,207,0.0,10.3,1.5,2.49,1.0,3.16,2.05,216,0,0.9,0,0.17,0,0.3,0.29,216,0,92,75.0,72.23,75.0,90.0,22.34,216
0,1,3,268.11,286.41,272.09,277.88,274.3,274.94,272.3,277.74,3.65,216,952,1037,1013.0,1010.98,1008.0,1027.0,21.68,216,54,100,93.0,90.23,86.0,98.0,9.27,213,0.0,13.4,1.43,2.26,1.0,2.6,2.34,216,0,0.9,0,0.16,0,0.3,0.3,216,0,100,75.0,70.45,75.0,90.0,26.48,216
0,1,4,269.64,285.44,272.9,277.64,275.77,275.49,272.92,277.79,3.31,216,994,1040,1018.5,1018.65,1007.0,1033.5,14.39,216,64,100,86.0,86.19,80.0,93.0,9.2,212,0.0,9.3,1.5,2.25,1.0,2.6,1.84,216,0,0.9,0,0.18,0,0.3,0.31,216,0,100,75.0,72.04,75.0,90.0,25.34,216
0,1,5,265.96,285.12,272.44,277.37,274.19,274.97,271.71,277.49,4.04,216,995,1038,1024.0,1019.81,1006.0,1032.0,13.96,216,59,100,87.0,86.49,80.0,94.0,9.57,216,0.0,7.2,1.5,2.01,1.0,2.6,1.4,216,0,0.9,0,0.08,0,0.0,0.17,216,0,92,75.0,61.72,34.0,90.0,33.89,216
0,1,6,260.38,281.15,271.6,276.42,274.6,273.76,271.28,277.8,4.64,216,999,1038,1022.0,1020.7,1010.5,1032.0,11.87,216,54,100,93.0,89.5,86.0,98.0,10.63,214,0.0,4.1,1.3,1.44,1.0,2.1,0.73,216,0,0.9,0,0.11,0,0.3,0.2,216,0,92,75.0,58.71,20.0,90.0,33.55,216
0,1,7,258.58,284.1,271.89,276.9,275.33,274.37,272.59,277.34,4.78,216,996,1036,1027.0,1022.36,1014.5,1031.0,10.66,213,53,100,93.0,89.04,85.0,96.0,10.5,213,0.0,6.7,1.17,1.72,1.0,2.1,1.37,216,0,0.9,0,0.13,0,0.0,0.29,216,0,95,75.0,59.36,20.0,90.0,35.32,216
0,1,8,267.58,284.22,272.91,278.39,276.15,275.61,273.21,277.91,3.21,216,514,1032,1022.0,1018.32,1016.0,1029.0,37.14,194,6,100,87.0,86.55,81.0,98.0,15.35,198,0.0,8.0,1.5,2.14,1.0,3.0,1.89,216,0,0.9,0,0.14,0,0.3,0.28,216,0,92,75.0,55.9,20.0,86.5,34.43,216
0,1,9,265.87,283.68,273.13,278.98,276.24,275.93,273.04,278.46,4.06,216,513,1030,1016.0,1014.6,1013.0,1024.0,36.89,194,40,100,87.0,84.17,78.0,93.0,14.31,194,0.0,9.29,1.5,2.18,1.0,2.6,2.04,216,0,0.9,0,0.12,0,0.0,0.26,216,0,100,75.0,65.22,40.0,92.0,32.88,216
0,1,10,265.48,288.11,273.03,277.77,275.03,275.5,272.01,278.14,4.86,216,998,1030,1017.0,1015.81,1013.0,1020.0,6.91,216,24,100,86.0,86.15,79.0,96.0,11.71,213,0.0,13.0,2.05,2.3,1.0,2.6,1.92,216,0,0.9,0,0.11,0,0.0,0.24,216,0,96,75.0,64.08,48.5,84.5,28.61,216
