,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,264.2,282.3,272.0,276.55,274.67,274.05,271.56,276.85,3.91,216,1003,1038,1023.0,1022.18,1013.5,1032.0,10.41,216,49,100,93.0,89.27,86.0,98.0,11.83,210,0.0,12.3,1.5,2.27,1.15,2.6,1.91,216,0,0.9,0,0.1,0,0.3,0.16,216,0,92,75.0,53.26,16.0,85.0,34.5,216
0,1,2,263.2,280.24,271.64,277.1,274.89,274.56,273.15,276.95,3.31,216,1007,1038,1017.0,1020.35,1011.0,1031.0,10.22,216,48,100,92.0,87.15,80.0,97.0,12.03,213,0.5,7.7,2.6,2.69,1.5,3.42,1.57,216,0,0.9,0,0.24,0,0.3,0.34,216,0,92,75.0,74.28,75.0,90.0,22.95,216
0,1,3,267.36,284.54,272.22,278.41,274.74,275.29,273.01,278.48,3.7,216,980,1037,1019.5,1018.68,1010.0,1028.0,13.11,216,43,100,92.0,88.64,86.0,95.0,10.63,210,0.0,18.0,2.1,3.07,1.49,3.66,2.83,216,0,3.0,0,0.24,0,0.3,0.61,216,0,100,75.0,67.39,56.5,90.0,26.91,216
0,1,4,267.74,284.53,272.17,278.22,275.64,275.54,273.34,277.4,3.52,216,995,1039,1021.5,1019.73,1007.0,1034.0,14.68,216,55,100,92.0,88.78,85.0,96.0,9.57,211,0.5,13.9,2.49,3.2,1.32,4.6,2.56,216,0,3.0,0,0.36,0,0.3,0.65,216,0,92,75.0,64.15,48.5,89.5,28.67,216
0,1,5,264.76,284.75,272.0,277.54,273.86,275.01,272.64,276.99,4.05,216,996,1039,1026.5,1020.89,1008.0,1034.0,14.37,216,67,100,92.0,89.97,86.0,95.0,6.41,216,0.5,7.2,2.1,2.38,1.35,3.34,1.34,216,0,0.9,0,0.11,0,0.3,0.17,216,0,92,75.0,52.85,12.0,75.0,35.25,216
0,1,6,260.74,282.46,272.1,277.37,274.19,274.17,271.69,277.68,4.92,216,1000,1039,1026.0,1021.63,1011.0,1032.5,12.28,216,59,100,92.0,89.52,86.0,95.5,8.74,216,0.5,6.2,1.5,1.86,1.0,2.6,1.15,216,0,0.9,0,0.09,0,0.0,0.24,216,0,100,75.0,57.47,20.0,86.5,33.87,216
0,1,7,258.76,280.81,272.07,277.5,275.53,274.78,273.65,278.53,4.68,216,996,1037,1029.0,1023.1,1014.0,1032.0,10.97,216,58,100,90.0,88.67,86.0,95.0,9.12,216,0.5,6.96,1.59,2.02,1.14,2.6,1.3,216,0,3.0,0,0.16,0,0.0,0.52,216,0,92,75.0,68.83,56.0,90.0,26.91,216
0,1,8,268.67,282.97,273.01,278.79,276.46,276.01,273.67,278.04,2.98,216,1002,1036,1024.0,1022.94,1016.0,1030.0,8.44,216,60,100,93.0,90.84,90.0,93.0,7.39,211,0.5,8.7,2.1,2.55,1.34,3.29,1.7,216,0,0.9,0,0.12,0,0.3,0.23,216,0,100,75.0,68.06,60.0,90.0,26.19,216
0,1,9,266.87,283.71,273.58,278.89,276.36,275.99,273.41,278.68,3.88,216,1001,1037,1018.0,1019.62,1015.0,1027.0,8.58,216,46,100,92.0,87.62,81.0,95.0,10.82,202,0.5,11.83,2.1,3.13,1.5,4.71,2.41,216,0,3.0,0,0.35,0,0.3,0.83,216,12,100,75.0,72.87,74.5,90.0,22.78,216
0,1,10,269.87,283.91,274.58,277.91,275.12,276.06,272.47,279.29,4.07,216,997,1031,1019.0,1016.57,1013.0,1021.0,7.71,216,32,100,92.0,88.46,86.0,95.0,10.11,212,0.0,10.8,2.6,3.63,1.5,5.49,2.67,216,0,3.0,0,0.29,0,0.3,0.56,216,0,100,75.0,72.39,70.5,90.0,23.32,216
