,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,260.47,281.74,270.37,275.13,271.93,272.41,269.47,276.91,4.54,216,1004,1038,1024.0,1022.63,1015.0,1032.0,10.09,216,21,100,93.0,88.66,86.0,97.0,14.8,209,0.0,7.7,1.0,1.51,0.61,2.1,1.3,216,0,0.9,0,0.08,0,0.0,0.18,216,0,90,75.0,60.16,34.0,90.0,33.85,216
0,1,2,264.13,280.14,270.09,275.52,272.72,272.77,271.0,275.57,3.51,216,1004,1037,1018.0,1020.7,1013.0,1031.0,9.74,216,21,100,93.0,85.67,80.0,99.0,17.96,214,0.0,9.3,1.02,1.85,0.67,2.6,1.72,216,0,0.9,0,0.14,0,0.3,0.27,216,0,100,90.0,76.52,75.0,90.0,21.33,216
0,1,3,263.27,287.4,269.63,275.99,271.64,272.75,270.58,275.74,3.99,216,901,1038,1019.5,1016.1,1011.0,1028.0,24.95,216,42,100,92.0,86.89,80.0,96.0,12.81,215,0.0,20.6,1.0,2.17,0.72,2.6,2.86,216,0,3.0,0,0.22,0,0.0,0.65,216,0,100,75.0,67.53,42.0,90.0,26.59,216
0,1,4,265.71,285.43,269.77,275.97,272.23,273.03,269.81,276.2,4.26,216,998,1039,1020.5,1019.91,1008.0,1034.0,13.66,216,22,100,92.0,88.17,83.0,96.0,11.68,212,0.0,9.8,1.0,1.75,0.79,2.1,1.71,216,0,0.9,0,0.21,0,0.3,0.32,216,0,99,75.0,65.06,40.0,90.0,29.72,216
0,1,5,261.43,284.31,269.34,275.09,272.1,272.56,269.4,274.72,5.09,216,998,1039,1024.0,1020.84,1008.0,1034.0,13.88,216,57,100,92.0,89.07,86.0,97.0,9.87,216,0.0,7.2,1.0,1.44,0.62,1.5,1.28,216,0,0.9,0,0.07,0,0.0,0.17,216,0,92,75.0,59.5,20.0,90.0,35.79,216
0,1,6,260.85,280.99,269.2,274.73,272.03,272.12,268.42,275.52,4.92,216,1001,1037,1026.0,1021.7,1010.5,1033.0,11.65,216,51,100,92.0,88.31,86.0,95.5,10.52,216,0.0,3.6,1.0,1.18,0.61,1.5,0.81,216,0,0.9,0,0.05,0,0.0,0.13,216,0,90,75.0,53.46,9.0,90.0,37.2,216
0,1,7,258.97,280.51,268.87,274.91,272.39,271.83,267.74,276.3,5.36,216,1000,1035,1030.0,1023.33,1015.0,1032.0,10.32,216,26,100,92.0,88.19,85.0,94.0,9.54,216,0.0,6.2,1.0,1.25,0.72,1.5,0.88,216,0,0.3,0,0.02,0,0.0,0.08,216,0,92,75.0,59.78,25.5,90.0,34.11,216
0,1,8,262.02,280.3,269.74,275.71,273.12,272.82,270.15,276.43,4.02,216,1005,1036,1025.0,1023.1,1016.0,1030.0,8.2,216,23,100,93.0,88.83,86.0,97.0,12.42,216,0.0,7.7,1.0,1.43,0.76,2.08,1.02,216,0,0.9,0,0.09,0,0.0,0.22,216,0,100,75.0,58.28,20.0,90.0,35.34,216
0,1,9,265.63,281.6,270.77,276.8,274.13,273.87,271.9,276.09,3.3,216,1003,1037,1019.0,1019.85,1015.0,1027.0,8.22,216,40,100,89.0,85.91,80.0,95.0,12.86,207,0.0,6.2,1.27,1.54,0.81,2.1,1.01,216,0,3.0,0,0.24,0,0.3,0.59,216,0,100,85.5,69.45,44.0,90.0,29.38,216
0,1,10,267.89,281.61,270.84,275.74,272.73,273.52,271.07,276.16,3.46,216,897,1030,1019.0,1015.89,1013.0,1021.0,12.25,216,29,100,92.0,85.57,75.0,97.0,13.86,214,0.0,6.2,1.03,1.49,0.71,1.89,1.12,216,0,0.9,0,0.16,0,0.3,0.27,216,0,94,84.0,68.71,48.0,90.0,29.34,216
