,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,259.76,281.93,271.47,277.1,274.43,273.9,271.76,277.35,4.72,216,956,1038,1023.0,1021.53,1013.0,1031.0,12.0,216,44,100,92.0,87.69,80.5,100.0,12.29,213,0.0,10.8,1.5,1.87,1.0,2.1,1.69,216,0,0.9,0,0.1,0,0.0,0.25,216,0,98,90.0,65.25,44.0,90.0,34.99,216
0,1,2,262.69,285.29,271.25,278.15,274.93,274.5,272.63,277.07,3.4,216,954,1037,1017.0,1019.12,1012.0,1030.0,12.29,216,45,100,93.0,88.33,80.0,100.0,11.69,208,0.0,10.3,1.86,2.47,1.0,3.1,2.03,216,0,0.9,0,0.19,0,0.3,0.32,216,0,92,75.0,72.64,75.0,90.0,23.02,216
0,1,3,268.06,286.4,271.57,277.69,274.19,274.72,272.25,277.51,3.53,216,957,1037,1019.5,1017.51,1009.0,1027.0,15.15,216,51,100,93.0,90.56,86.0,100.0,9.85,214,0.0,13.4,1.48,2.16,1.0,2.6,2.13,216,0,3.0,0,0.27,0,0.3,0.64,216,0,100,75.0,68.97,62.0,90.0,26.48,216
0,1,4,268.27,285.45,272.76,277.31,275.45,275.22,272.69,277.51,3.37,216,994,1038,1018.5,1019.05,1007.0,1034.0,14.65,216,64,100,87.0,87.4,80.0,96.0,9.58,210,0.0,9.3,1.52,2.25,1.0,2.6,1.75,216,0,0.9,0,0.26,0,0.3,0.36,216,0,100,75.0,73.64,75.0,90.0,22.78,216
0,1,5,262.61,285.11,271.82,276.79,274.04,274.39,271.38,277.53,4.65,216,995,1038,1024.0,1020.29,1006.5,1034.0,14.32,216,59,100,87.0,87.08,80.0,95.0,9.7,216,0.0,7.2,1.5,2.01,1.0,2.48,1.38,216,0,0.9,0,0.09,0,0.0,0.18,216,0,92,75.0,61.52,38.5,90.0,34.13,216
0,1,6,260.07,281.14,271.14,276.4,274.43,273.67,271.38,277.85,4.75,216,999,1038,1026.5,1021.21,1010.5,1032.0,12.02,216,54,100,92.0,89.07,86.0,98.0,10.4,215,0.0,4.1,1.5,1.49,1.0,2.1,0.74,216,0,0.9,0,0.09,0,0.0,0.18,216,0,92,75.0,57.39,20.0,90.0,34.44,216
0,1,7,258.59,283.73,271.05,276.66,275.15,273.78,272.17,277.53,5.39,216,978,1036,1029.0,1022.54,1014.0,1032.0,11.26,213,45,100,92.0,88.77,85.0,96.0,10.72,214,0.0,6.7,1.27,1.74,1.0,2.1,1.34,216,0,0.9,0,0.09,0,0.0,0.23,216,0,92,75.0,56.65,7.0,90.0,37.1,216
0,1,8,263.45,284.12,272.22,278.2,275.93,275.01,272.39,277.39,3.71,216,514,1035,1021.0,1016.52,1016.0,1030.0,45.92,197,47,100,93.0,89.22,83.5,100.0,10.42,197,0.0,7.2,1.5,1.97,1.0,2.15,1.66,216,0,0.9,0,0.14,0,0.15,0.29,216,0,92,75.0,56.19,28.5,76.5,33.34,216
0,1,9,266.34,283.43,272.66,278.77,275.91,275.61,272.86,277.9,3.68,216,509,1036,1018.0,1007.77,1012.5,1024.5,72.04,197,37,100,87.0,84.59,80.0,94.0,15.0,197,0.0,8.2,1.5,2.05,1.0,2.6,1.75,216,0,3.0,0,0.23,0,0.3,0.6,216,0,100,75.0,58.06,27.5,90.0,35.82,216
0,1,10,266.15,282.31,272.42,277.0,274.57,275.07,271.87,277.97,3.91,216,998,1030,1019.0,1016.6,1013.0,1021.0,7.24,216,24,100,89.0,86.98,80.0,96.0,12.08,212,0.0,5.96,2.06,2.16,1.0,2.7,1.39,216,0,0.9,0,0.12,0,0.0,0.25,216,0,96,75.0,63.53,44.0,90.0,29.76,216
0,1,11,266.31,280.22,272.34,277.21,275.14,274.63,272.78,276.96,3.25,216,993,1033,1018.5,1017.76,1014.0,1025.0,9.98,216,50,100,93.0,90.07,86.0,97.0,9.27,208,0.0,7.2,1.5,1.92,1.0,2.6,1.36,216,0,3.0,0,0.37,0,0.3,0.83,216,0,92,75.0,73.09,75.0,90.0,23.31,216
0,1,12,268.43,280.26,273.36,277.76,276.16,275.53,274.41,277.11,2.25,216,997,1031,1020.0,1018.86,1014.0,1025.5,8.44,216,53,100,86.0,84.97,75.0,95.0,12.45,202,0.0,6.7,2.1,2.39,1.5,3.1,1.44,216,0,0.9,0,0.12,0,0.3,0.22,216,0,97,75.0,74.05,75.0,90.0,22.91,216
0,1,13,269.34,280.4,272.24,278.11,275.15,275.03,273.8,276.46,2.14,216,964,1028,1017.0,1015.73,1013.0,1020.0,6.83,216,52,100,80.5,82.54,73.5,93.0,12.96,212,0.45,11.3,2.08,2.88,1.03,4.12,2.28,216,0,0.9,0,0.13,0,0.3,0.26,216,0,100,75.0,57.73,22.0,76.5,32.6,216
0,1,14,269.24,279.39,271.9,276.16,273.82,274.09,272.42,275.9,2.24,216,1005,1022,1015.0,1014.51,1011.0,1018.0,4.64,216,44,100,92.0,87.68,80.0,98.5,11.58,208,0.0,8.7,1.76,2.48,1.0,3.6,1.92,216,0,0.9,0,0.15,0,0.3,0.26,216,0,100,75.0,71.48,75.0,90.0,26.41,216
0,1,15,266.51,281.43,270.9,276.39,273.14,273.67,272.23,275.42,2.42,216,959,1027,1016.0,1016.19,1012.0,1021.0,6.74,216,40,100,86.0,82.88,74.0,94.5,14.28,216,0.0,6.7,1.67,2.13,1.0,2.6,1.43,216,0,0.9,0,0.07,0,0.0,0.21,216,0,100,75.0,62.41,30.0,90.0,33.54,216
0,1,16,264.76,283.39,271.09,277.38,273.35,273.91,270.19,277.49,4.37,216,1000,1029,1015.5,1014.68,1006.0,1022.0,8.91,216,40,100,86.0,85.58,78.0,93.0,11.09,206,0.0,11.8,1.51,2.41,1.0,3.1,2.19,216,0,0.9,0,0.13,0,0.0,0.28,216,0,100,75.0,59.53,27.5,90.0,33.42,216
0,1,17,266.57,285.29,270.85,276.21,273.33,274.04,270.49,277.14,4.53,216,948,1028,1015.0,1009.46,1006.0,1022.0,20.16,216,45,100,92.5,88.14,80.0,100.0,12.97,212,0.0,9.3,2.41,3.22,1.36,5.1,2.39,216,0,0.9,0,0.17,0,0.3,0.32,216,0,97,75.0,73.72,75.0,90.0,25.1,216
0,1,18,259.82,285.29,270.13,275.48,272.86,273.32,268.57,276.15,5.95,216,955,1030,1017.0,1012.18,1011.0,1026.0,21.07,216,55,100,84.0,83.76,74.0,96.0,12.33,216,0.5,13.4,2.08,3.04,1.5,3.1,2.67,216,0,0.9,0,0.17,0,0.0,0.33,216,0,96,75.0,61.51,33.0,90.0,34.23,216
0,1,19,264.8,285.29,268.62,274.74,270.75,271.61,267.39,274.96,4.98,216,955,1040,1014.0,1013.68,1010.0,1023.0,16.34,216,65,100,86.0,86.71,79.0,94.0,9.29,216,0.5,8.7,1.55,2.11,1.02,2.57,1.55,216,0,0.9,0,0.15,0,0.0,0.32,216,0,100,75.0,59.52,26.0,90.0,32.68,216
