,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,264.49,279.86,272.03,276.73,274.63,273.96,272.44,276.77,3.5,216,1008,1038,1023.0,1023.06,1015.0,1032.0,9.31,216,61,100,93.0,91.16,86.0,98.0,8.8,202,0.0,9.8,1.05,1.78,0.92,2.1,1.76,216,0,0.9,0,0.12,0,0.0,0.27,216,0,100,80.0,70.92,52.0,90.0,28.41,216
0,1,2,264.68,285.69,271.87,277.61,274.46,274.31,272.53,276.76,3.22,216,933,1038,1020.0,1020.53,1012.0,1031.0,11.98,216,51,100,90.0,87.45,80.0,96.0,11.17,211,0.0,7.76,1.5,1.97,1.0,2.6,1.37,216,0,0.9,0,0.15,0,0.3,0.25,216,0,100,75.0,75.81,75.0,90.0,22.12,216
0,1,3,268.17,281.2,272.17,277.77,274.66,274.85,271.86,277.92,3.16,216,947,1037,1019.0,1018.49,1013.0,1028.0,16.44,216,41,100,90.0,86.13,80.0,94.0,12.27,214,0.0,12.9,2.94,3.22,1.5,4.6,2.22,216,0,3.0,0,0.24,0,0.3,0.55,216,0,100,75.0,58.73,20.0,90.0,34.44,216
0,1,4,267.41,280.9,272.1,277.3,275.32,274.83,271.72,276.88,3.11,216,994,1041,1024.0,1020.76,1011.0,1034.0,13.74,216,51,100,87.0,86.95,81.0,98.0,11.35,207,0.0,11.3,1.83,2.67,1.0,3.6,2.27,216,0,0.9,0,0.33,0,0.9,0.4,216,0,100,75.0,64.65,43.0,90.0,30.28,216
0,1,5,267.08,282.13,271.57,276.83,273.79,274.16,271.69,276.19,3.33,216,995,1039,1026.0,1021.26,1009.0,1034.0,13.78,216,24,100,86.0,84.4,80.0,93.0,12.4,208,0.0,9.3,1.5,2.35,0.9,3.6,1.97,216,0,0.9,0,0.19,0,0.3,0.33,216,0,100,75.0,56.51,24.0,80.0,32.53,216
0,1,6,264.18,282.37,271.34,277.07,274.52,273.66,270.8,276.92,4.14,216,999,1035,1026.5,1021.63,1014.0,1032.0,11.58,216,54,100,86.0,85.51,78.0,98.0,12.41,215,0.0,8.7,1.5,2.16,1.0,2.69,1.9,216,0,3.0,0,0.09,0,0.0,0.31,216,0,100,75.0,60.97,40.0,90.0,31.25,216
0,1,7,262.18,281.99,271.91,277.35,274.82,274.2,270.69,277.74,4.7,216,998,1034,1030.0,1023.35,1017.5,1032.0,10.39,216,62,100,87.0,86.07,75.0,93.0,10.64,215,0.0,6.2,1.5,1.76,1.0,2.24,1.28,216,0,0.9,0,0.07,0,0.0,0.24,216,0,93,75.0,60.04,32.0,90.0,30.82,216
0,1,8,267.66,283.15,272.81,277.83,275.8,275.32,273.04,277.73,3.5,216,1004,1038,1024.0,1022.97,1019.0,1030.0,8.48,214,65,100,87.0,87.08,80.0,93.0,9.44,215,0.0,7.2,1.5,2.04,1.0,3.06,1.4,216,0,0.9,0,0.18,0,0.3,0.32,216,0,100,75.0,65.59,45.5,82.0,25.15,216
0,1,9,267.45,283.57,273.44,278.5,275.64,275.62,273.11,278.5,3.86,216,1003,1038,1020.0,1020.41,1015.0,1027.0,8.8,216,39,100,92.0,86.79,77.0,100.0,13.45,202,0.45,11.2,2.08,2.31,1.0,3.1,1.83,216,0,3.0,0,0.21,0,0.3,0.38,216,0,100,75.0,73.18,75.0,90.0,25.06,216
0,1,10,268.05,282.42,273.49,276.96,275.76,275.23,271.77,277.96,3.77,216,997,1031,1019.0,1017.45,1013.0,1022.0,7.86,216,24,100,93.0,89.51,81.0,100.0,11.23,214,0.0,7.7,1.61,2.39,1.0,3.6,1.75,216,0,0.9,0,0.18,0,0.3,0.29,216,0,98,75.0,68.97,53.0,90.0,24.91,216
0,1,11,267.31,280.6,272.62,277.58,274.96,274.72,272.48,277.15,3.18,216,992,1033,1021.0,1019.58,1016.0,1027.0,9.98,216,50,100,93.0,88.8,81.0,100.0,11.76,212,0.0,10.3,2.1,2.55,1.0,3.1,2.08,216,0,3.0,0,0.26,0,0.3,0.4,216,0,98,75.0,65.6,43.0,88.0,26.32,216
0,1,12,268.15,279.63,272.78,277.29,275.29,274.94,273.53,276.59,2.27,216,1000,1033,1022.0,1021.2,1016.0,1028.0,7.78,216,57,100,92.0,88.24,80.0,98.0,10.1,212,0.45,9.3,2.68,3.11,1.5,4.06,2.05,216,0,0.9,0,0.17,0,0.3,0.3,216,0,100,75.0,69.9,71.0,90.0,26.31,216
0,1,13,270.63,280.74,272.66,277.82,274.7,274.96,273.52,276.14,2.05,216,1006,1028,1019.0,1018.25,1015.0,1022.0,4.93,216,40,100,91.0,85.41,75.0,99.0,14.02,208,0.0,9.8,3.06,3.09,1.0,4.97,2.14,216,0,0.9,0,0.14,0,0.3,0.25,216,0,100,75.0,64.72,40.0,90.0,31.08,216
0,1,14,268.19,281.72,272.36,277.12,275.22,274.89,272.77,276.82,2.66,216,934,1025,1018.0,1015.88,1012.0,1020.0,7.82,216,53,100,93.0,90.46,86.0,100.0,11.87,206,0.0,7.7,2.34,2.63,1.0,3.92,1.78,216,0,3.0,0,0.31,0,0.3,0.71,216,0,100,75.0,72.76,75.0,90.0,26.28,216
0,1,15,266.15,282.62,271.16,276.98,274.15,274.23,271.88,276.3,3.13,216,1007,1029,1019.0,1017.69,1013.0,1022.0,5.32,216,44,100,91.0,85.89,75.0,98.5,13.72,201,0.0,11.8,1.58,2.48,1.0,3.55,2.21,216,0,0.9,0,0.09,0,0.0,0.24,216,0,100,75.0,58.56,21.0,85.5,34.7,216
0,1,16,265.31,282.38,271.69,277.01,274.29,274.1,271.36,276.83,3.97,216,1003,1031,1015.5,1015.95,1007.0,1025.0,8.93,216,46,100,86.5,84.66,80.0,93.0,11.73,208,0.45,9.8,2.6,3.04,1.0,3.6,2.54,216,0,3.0,0,0.36,0,0.3,0.74,216,0,100,75.0,60.52,34.5,87.0,33.02,216
0,1,17,262.28,285.69,270.32,276.0,273.89,273.63,270.53,275.77,4.68,216,929,1030,1018.0,1008.93,1008.5,1023.5,26.41,216,45,100,92.0,85.34,73.0,97.0,14.4,214,0.0,14.9,2.6,3.69,1.46,5.01,3.23,216,0,0.9,0,0.21,0,0.3,0.33,216,0,100,75.0,68.9,56.5,90.0,26.44,216
0,1,18,261.3,285.69,269.66,275.11,271.91,272.61,268.12,275.27,5.75,216,933,1032,1017.0,1010.52,1014.0,1026.0,27.73,216,52,100,87.0,85.8,74.0,98.0,12.39,215,0.0,9.3,1.8,2.65,1.0,3.93,2.15,216,0,0.9,0,0.15,0,0.0,0.31,216,0,100,75.0,59.54,38.5,80.0,28.28,216
0,1,19,264.79,285.69,269.46,275.72,271.98,272.58,269.35,275.31,4.6,216,933,1038,1015.0,1012.99,1011.0,1027.0,20.19,216,51,100,88.0,85.95,75.5,98.0,12.02,216,0.0,9.8,1.52,2.38,1.0,3.06,1.95,216,0,0.9,0,0.16,0,0.0,0.32,216,0,100,75.0,65.52,40.0,89.0,27.59,216
0,1,20,264.6,280.71,270.52,275.78,273.14,272.83,271.15,275.14,3.06,216,911,1039,1013.0,1012.41,1008.0,1019.0,19.33,216,45,100,90.0,88.24,80.0,99.0,11.44,211,0.0,8.7,1.5,2.31,1.0,3.06,1.97,216,0,0.9,0,0.08,0,0.0,0.22,216,0,100,82.5,73.37,75.0,90.0,28.46,216
0,1,21,265.12,281.89,270.2,276.54,273.14,273.37,270.82,275.53,3.72,216,988,1039,1016.0,1015.16,1008.0,1025.0,12.75,216,43,100,92.0,87.23,80.0,93.0,10.72,208,0.0,6.7,1.5,1.99,1.0,2.6,1.38,216,0,0.9,0,0.1,0,0.0,0.24,216,0,100,80.0,71.23,68.0,90.0,27.57,216
0,1,22,266.21,281.37,270.3,277.12,272.96,273.51,270.12,277.21,4.11,216,921,1035,1016.0,1012.7,1004.0,1024.0,19.04,216,43,100,92.0,89.39,86.0,98.0,10.69,208,0.0,8.7,1.34,1.96,1.0,2.6,1.55,216,0,0.9,0,0.13,0,0.0,0.3,216,0,100,75.0,63.52,40.0,90.0,33.42,216
0,1,23,265.67,282.57,270.96,276.59,273.24,273.5,270.92,275.68,3.45,216,927,1036,1022.0,1015.09,1003.0,1027.0,19.09,216,37,100,92.0,89.43,86.0,98.0,11.18,212,0.0,12.8,1.52,2.16,1.0,2.68,1.8,216,0,0.9,0,0.07,0,0.0,0.21,216,0,100,75.0,66.45,40.0,90.0,30.68,216
0,1,24,261.11,283.93,269.27,275.8,272.07,272.18,270.08,274.38,4.04,216,939,1036,1023.0,1015.65,1006.0,1026.0,18.26,216,55,100,92.0,88.91,80.0,100.0,12.12,211,0.0,8.2,1.33,1.61,0.76,1.94,1.38,216,0,3.0,0,0.08,0,0.0,0.3,216,0,100,75.0,59.0,27.0,90.0,34.82,216
0,1,25,258.06,284.78,269.16,275.77,272.41,272.15,269.78,274.11,5.04,216,939,1033,1019.0,1013.96,1012.0,1028.0,22.58,216,43,100,92.0,86.62,80.0,97.0,14.04,212,0.25,19.25,1.97,2.54,1.0,3.12,2.25,216,0,0.9,0,0.06,0,0.0,0.22,216,0,100,73.5,53.64,10.0,89.5,36.57,216
0,1,26,261.07,283.46,269.56,276.06,273.0,272.86,270.46,275.77,4.14,216,995,1032,1021.0,1020.12,1015.0,1026.0,7.61,216,39,100,87.0,85.42,79.0,98.0,13.97,211,0.0,25.7,1.8,2.25,1.0,2.6,2.18,216,0,0.9,0,0.09,0,0.0,0.22,216,0,100,75.0,63.19,40.0,90.0,32.2,216
0,1,27,258.77,284.12,269.63,277.71,274.42,273.96,271.59,276.75,4.32,216,992,1036,1020.5,1016.99,1011.0,1025.0,10.68,216,36,100,86.0,85.72,80.0,98.0,12.29,211,0.0,10.3,1.5,2.41,1.0,3.84,2.17,216,0,0.9,0,0.12,0,0.0,0.27,216,0,100,75.0,62.31,40.0,90.0,32.32,216
0,1,28,262.74,283.11,271.81,278.43,275.14,274.71,272.03,277.59,4.07,216,997,1039,1016.0,1015.82,1007.5,1023.5,11.27,216,32,100,86.0,84.62,79.0,93.0,11.68,211,0.0,11.8,1.84,2.66,1.0,3.6,2.46,216,0,3.0,0,0.09,0,0.0,0.29,216,0,100,75.0,63.07,40.0,90.0,27.37,216
0,1,29,268.36,282.9,273.18,278.0,275.05,275.49,273.33,277.66,3.26,216,980,1038,1015.0,1015.12,1005.0,1024.0,13.6,216,54,100,92.0,88.82,81.0,99.0,9.95,211,0.0,9.3,1.5,2.45,1.0,3.64,1.94,216,0,0.9,0,0.09,0,0.3,0.17,216,0,100,75.0,71.48,69.0,90.0,25.87,216
0,1,30,267.76,283.44,272.56,277.91,274.89,275.21,272.95,277.8,3.01,216,980,1033,1018.0,1011.61,1002.0,1023.0,14.61,216,23,100,93.0,88.1,84.0,97.0,13.02,201,0.0,10.3,2.6,3.09,1.0,4.47,2.48,216,0,0.9,0,0.08,0,0.0,0.19,216,0,100,82.0,75.76,75.0,90.0,24.19,216
0,1,31,266.64,284.73,274.12,278.96,277.42,276.33,272.83,279.38,4.18,216,985,1027,1017.0,1009.85,1001.0,1019.0,12.11,216,61,100,94.0,91.61,87.0,97.0,8.62,193,0.0,9.8,2.1,2.67,1.1,3.35,2.03,216,0,3.0,0,0.14,0,0.3,0.32,216,0,100,75.0,65.41,54.5,88.5,29.38,216
0,2,1,266.9,285.24,274.46,278.94,276.66,276.7,274.31,279.23,4.09,216,936,1030,1007.0,1009.15,999.0,1017.0,13.23,216,58,100,94.0,90.68,87.0,97.0,10.5,201,0.0,9.8,2.56,2.9,1.22,3.75,2.11,216,0,0.9,0,0.12,0,0.3,0.24,216,0,100,75.0,69.27,59.0,90.0,28.3,216
0,2,2,260.77,284.25,273.61,279.01,276.18,276.36,273.0,280.23,4.45,216,930,1029,1011.0,1009.24,1005.0,1016.0,14.17,216,47,100,97.0,90.18,87.0,99.0,12.73,197,0.0,8.2,1.5,2.37,1.0,3.6,1.93,216,0,0.9,0,0.04,0,0.0,0.12,216,0,100,83.0,76.11,75.0,92.0,25.52,216
0,2,3,260.81,285.6,273.6,278.58,275.86,276.0,273.05,280.12,5.23,216,988,1031,1009.0,1011.13,1006.0,1018.0,8.13,216,48,100,86.0,84.09,71.0,98.0,14.17,201,0.0,11.3,2.37,2.87,1.17,3.68,2.29,216,0,0.9,0,0.1,0,0.0,0.24,216,0,100,75.0,70.81,56.5,90.0,22.84,216
0,2,4,266.36,285.29,271.96,277.27,274.06,274.15,272.44,275.96,3.64,216,943,1034,1016.0,1016.0,1010.0,1024.0,11.16,216,47,100,86.0,83.97,74.0,95.0,13.45,208,0.0,12.3,1.74,2.54,1.0,3.6,2.28,216,0,0.9,0,0.11,0,0.0,0.24,216,0,100,75.0,63.23,40.0,76.0,28.88,216
0,2,5,266.48,281.85,272.15,276.9,274.06,274.08,272.65,276.21,3.59,216,921,1034,1016.0,1016.22,1010.0,1027.0,14.84,216,43,100,93.0,88.31,85.5,95.0,11.21,200,0.0,7.2,1.5,2.34,1.0,3.6,1.78,216,0,0.9,0,0.08,0,0.0,0.19,216,0,100,75.0,69.12,58.0,90.0,29.4,216
0,2,6,266.68,283.73,271.98,277.99,274.65,274.6,272.35,277.1,3.74,216,998,1032,1012.0,1014.55,1009.0,1022.0,8.93,216,32,100,92.0,87.08,81.0,95.0,12.89,195,0.0,8.2,1.5,2.25,1.0,3.1,1.72,216,0,0.9,0,0.05,0,0.0,0.16,216,0,100,75.0,65.6,40.0,90.0,34.17,216
0,2,7,259.7,280.21,271.04,276.31,274.36,273.72,272.63,276.38,4.34,216,991,1029,1013.0,1012.5,1003.5,1020.0,9.36,216,37,100,92.0,87.54,86.0,94.0,11.78,199,0.0,9.8,1.52,2.23,1.0,3.09,1.65,216,0,3.0,0,0.14,0,0.3,0.36,216,0,100,75.0,60.53,31.0,90.0,35.15,216
0,2,8,261.8,282.59,271.32,277.44,274.56,274.35,272.47,276.31,3.72,216,992,1031,1015.0,1014.43,1008.0,1022.0,9.52,216,52,100,86.0,84.27,71.0,95.0,13.34,200,0.0,13.4,2.51,2.72,1.0,3.6,2.33,216,0,0.9,0,0.12,0,0.3,0.24,216,0,100,75.0,58.04,33.0,75.0,31.95,216
0,2,9,266.41,283.9,272.37,278.57,275.12,275.13,272.76,277.56,3.87,216,995,1033,1015.0,1013.78,1003.0,1019.0,9.86,216,29,100,80.0,77.85,69.0,92.0,14.52,203,0.0,11.3,3.38,3.85,2.08,5.1,2.59,216,0,3.0,0,0.17,0,0.0,0.46,216,0,100,75.0,61.66,40.0,90.0,32.45,216
0,2,10,264.91,283.14,272.59,277.95,274.68,274.92,272.62,277.12,4.05,216,989,1029,1014.0,1011.76,1005.0,1017.0,9.53,216,50,100,83.0,79.87,65.5,95.0,15.38,208,0.0,14.9,2.1,3.87,1.07,6.08,3.69,216,0,3.0,0,0.19,0,0.3,0.36,216,0,100,75.0,66.31,70.0,90.0,31.15,216
