,dt,weather,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,clouds.all,rain.1h,rain.3h,snow.1h,snow.3h
0,2020-03-19 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.13,278.45,1025,81,276.594,283.71,0.5,0,0,,,,
1,2020-03-19 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.56,277.81,1025,93,276.15,283.15,1.0,40,0,,,,
2,2020-03-19 02:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",279.4,276.44,1025,86,276.15,282.59,2.37,156,0,,,,
3,2020-03-19 03:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.84,277.08,1025,86,275.15,282.59,0.5,0,0,,,,
4,2020-03-19 04:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",278.49,275.36,1025,86,275.094,282.04,2.37,156,0,,,,
5,2020-03-19 05:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",277.92,274.97,1025,86,275.15,281.48,1.97,152,0,,,,
6,2020-03-19 06:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",277.74,274.96,1025,93,274.983,280.93,1.97,152,0,,,,
7,2020-03-19 07:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",278.31,276.46,1025,86,276.15,280.93,0.5,20,0,,,,
8,2020-03-19 08:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",281.75,279.92,1025,81,278.261,285.37,1.16,343,0,,,,
9,2020-03-19 09:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",284.07,282.31,1025,71,280.094,286.48,1.16,343,0,,,,
10,2020-03-19 10:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",286.1,284.53,1025,66,284.15,289.82,1.16,343,0,,,,
11,2020-03-19 11:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",287.95,286.69,1025,62,284.82,292.04,1.0,0,0,,,,
12,2020-03-19 12:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",289.64,288.58,1024,59,285.37,292.59,1.0,0,0,,,,
13,2020-03-19 13:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",291.01,289.93,1023,59,286.48,293.71,1.5,0,0,,,,
14,2020-03-19 14:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",291.47,290.02,1023,52,287.04,293.71,1.5,30,24,,,,
15,2020-03-19 15:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",291.73,290.76,1022,48,287.59,294.26,0.5,0,24,,,,
16,2020-03-19 16:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",291.49,290.28,1022,48,286.48,293.71,0.78,358,24,,,,
17,2020-03-19 17:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",290.48,288.37,1022,55,285.37,292.59,2.42,154,15,,,,
18,2020-03-19 18:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",287.88,285.22,1021,55,284.26,291.15,2.42,154,20,,,,
19,2020-03-19 19:00:00,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",285.72,284.58,1022,67,283.15,287.59,0.5,0,75,,,,
20,2020-03-19 20:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",284.38,281.35,1022,67,282.15,287.15,2.82,160,40,,,,
21,2020-03-19 21:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",283.03,279.7,1022,66,280.15,286.15,2.82,160,20,,,,
22,2020-03-19 22:00:00,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",282.92,281.05,1022,71,280.15,285.37,1.0,0,40,,,,
23,2020-03-19 23:00:00,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",281.86,279.12,1022,87,278.15,284.26,2.81,159,20,,,,
24,2020-03-20 00:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",281.12,278.22,1021,87,278.15,283.71,2.81,159,0,,,,
25,2020-03-20 01:00:00,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",280.32,277.32,1021,87,275.983,283.71,2.73,159,0,,,,
