,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,258.73,282.28,272.28,277.31,275.88,274.7,271.74,278.49,5.1,216,981,1038,1019.0,1017.16,1010.0,1027.0,13.57,216,49,100,92.0,86.91,81.0,96.0,11.55,208,0.0,12.3,2.6,2.84,1.33,4.13,2.05,216,0,0.9,0,0.13,0,0.0,0.28,216,0,92,75.0,55.61,20.0,75.0,33.1,216
0,1,2,258.73,286.29,272.19,278.48,275.84,275.17,273.94,278.01,4.34,216,968,1036,1014.0,1014.51,1010.0,1024.0,14.09,216,60,100,87.0,86.19,80.0,94.0,10.34,214,0.0,7.7,3.1,3.05,2.1,4.13,1.58,216,0,0.9,0,0.2,0,0.3,0.3,216,0,100,75.0,67.02,75.0,90.0,29.76,216
0,1,3,268.63,284.88,272.9,278.71,275.14,275.81,273.24,279.09,3.59,216,969,1040,1013.0,1014.31,1009.0,1028.0,17.35,216,51,100,87.0,86.87,82.0,96.0,10.54,210,0.0,18.0,2.1,3.1,1.5,4.16,2.77,216,0,3.0,0,0.19,0,0.3,0.37,216,0,100,75.0,74.81,75.0,90.0,23.96,216
0,1,4,268.9,285.45,272.87,278.83,276.22,276.27,273.67,278.73,3.44,216,994,1052,1021.5,1021.24,1007.0,1036.0,16.93,216,69,100,87.0,87.69,80.0,96.0,8.35,210,0.29,13.9,2.6,3.13,1.5,4.1,2.35,216,0,3.0,0,0.29,0,0.3,0.54,216,0,92,75.0,67.72,75.0,90.0,28.04,216
0,1,5,266.32,285.45,272.62,279.22,275.5,276.05,273.52,278.61,3.87,216,995,1052,1026.5,1022.27,1007.5,1036.0,16.11,216,67,100,87.0,87.71,81.5,95.5,8.21,216,0.43,7.2,1.66,2.25,1.1,2.77,1.44,216,0,3.0,0,0.16,0,0.3,0.34,216,0,92,75.0,63.86,40.0,90.0,31.69,216
0,1,6,262.15,282.5,272.7,277.93,275.82,275.07,272.55,279.46,4.82,216,999,1043,1028.0,1023.03,1011.0,1034.0,13.72,216,65,100,88.0,88.23,85.0,96.0,8.71,216,0.0,6.2,2.1,2.33,1.07,3.6,1.42,216,0,0.9,0,0.15,0,0.0,0.32,216,0,92,75.0,57.08,20.0,90.0,35.61,216
0,1,7,259.56,286.77,273.0,278.23,276.4,275.72,274.12,278.8,4.65,216,994,1046,1030.0,1024.12,1015.0,1033.0,12.57,216,58,100,87.0,87.95,84.0,96.0,8.88,215,0.0,8.2,2.1,2.22,1.07,3.1,1.35,216,0,3.0,0,0.17,0,0.0,0.41,216,0,92,75.0,67.6,75.0,90.0,29.19,216
0,1,8,268.98,285.85,273.54,279.19,277.15,276.47,273.89,278.2,3.11,216,1004,1050,1022.0,1023.78,1017.0,1030.0,10.75,216,28,100,86.0,86.2,80.0,93.0,9.38,212,0.44,8.7,2.1,2.7,1.5,3.6,1.8,216,0,0.9,0,0.19,0,0.3,0.32,216,0,92,75.0,70.29,75.0,90.0,25.3,216
0,1,9,268.24,283.79,273.92,279.01,276.58,276.31,274.03,278.65,3.66,215,1001,1051,1019.0,1020.45,1014.0,1027.0,10.64,215,50,100,93.0,88.27,81.0,96.0,10.32,202,0.5,7.7,2.1,2.71,1.5,3.6,1.71,215,0,0.9,0,0.19,0,0.3,0.34,215,0,100,75.0,75.74,75.0,90.0,21.2,215
0,1,10,268.37,288.85,274.52,278.82,275.76,276.63,273.46,279.23,4.51,216,997,1043,1019.0,1018.08,1013.0,1022.0,9.79,216,64,100,92.0,89.1,85.5,97.0,8.46,213,0.0,7.2,2.6,3.09,1.54,4.16,1.8,216,0,0.9,0,0.16,0,0.3,0.3,216,0,100,75.0,69.44,68.5,90.0,28.02,216
0,1,11,266.9,284.3,273.3,278.72,276.01,275.66,273.51,277.87,3.39,216,993,1045,1020.0,1019.8,1015.0,1027.0,11.84,216,49,100,93.0,89.04,86.0,94.0,9.23,210,0.5,8.7,2.1,2.55,1.5,3.61,1.7,216,0,3.0,0,0.21,0,0.3,0.45,216,0,97,75.0,70.82,75.0,90.0,25.42,216
0,1,12,269.29,280.6,273.91,278.72,276.56,276.37,275.75,277.57,2.02,216,996,1045,1021.0,1020.87,1016.0,1027.0,10.64,216,64,100,86.0,86.53,81.0,93.0,7.62,213,0.5,11.3,3.09,3.27,1.5,4.36,2.07,216,0,3.0,0,0.16,0,0.3,0.34,216,0,100,75.0,75.25,75.0,90.0,19.69,216
0,1,13,270.45,284.15,273.41,280.36,276.24,276.52,274.62,278.32,2.65,216,969,1037,1018.0,1017.66,1014.0,1021.0,8.12,216,49,100,81.0,81.52,74.0,93.0,11.93,204,0.51,11.3,4.11,4.32,2.6,5.7,2.29,216,0,0.9,0,0.18,0,0.3,0.31,216,0,100,75.0,64.44,48.0,90.0,30.26,216
0,1,14,270.05,283.95,273.01,279.01,274.57,275.66,273.26,278.17,3.11,216,1007,1035,1016.0,1016.61,1012.0,1019.0,6.75,216,42,100,87.0,85.99,80.0,93.0,10.81,195,0.5,8.75,3.6,4.01,2.59,5.1,2.09,216,0,0.9,0,0.08,0,0.0,0.2,216,0,100,75.0,62.63,40.5,90.0,31.7,216
0,1,15,267.04,286.29,271.56,278.45,274.03,274.72,272.86,276.45,3.0,216,968,1032,1019.0,1017.58,1013.0,1022.0,6.95,216,47,100,88.0,86.16,80.0,94.0,11.17,210,0.5,8.7,2.6,2.91,1.5,3.6,1.72,216,0,0.9,0,0.09,0,0.0,0.26,216,0,92,75.0,66.49,56.5,88.0,26.39,216
0,1,16,265.8,284.58,272.11,277.66,274.55,274.87,271.65,278.22,4.11,216,1000,1028,1020.0,1016.14,1005.0,1024.0,9.34,216,46,100,86.0,85.62,80.0,94.0,11.05,210,0.43,15.4,2.57,3.13,1.5,4.1,2.53,216,0,0.9,0,0.17,0,0.3,0.31,216,0,95,75.0,66.54,75.0,90.0,31.99,216
0,1,17,266.58,286.29,271.59,277.34,274.62,274.94,271.56,277.36,4.61,216,961,1033,1019.0,1013.01,1008.0,1025.0,18.16,216,50,100,87.0,85.6,79.0,94.0,11.45,214,0.0,12.3,3.6,4.02,2.1,5.25,2.34,216,0,0.9,0,0.17,0,0.3,0.31,216,0,97,75.0,65.54,47.0,89.0,28.82,216
0,1,18,264.63,286.29,272.28,276.04,273.35,274.29,269.64,276.85,5.65,216,968,1033,1019.0,1015.58,1013.0,1028.0,18.37,216,54,100,86.0,84.26,75.0,94.0,11.82,216,0.0,12.3,3.1,3.32,1.5,4.16,2.33,216,0,0.9,0,0.14,0,0.0,0.3,216,0,100,75.0,59.66,33.0,75.5,31.51,216
0,1,19,267.33,286.29,270.52,276.07,272.95,273.28,269.72,275.79,4.38,216,968,1041,1015.0,1014.94,1011.0,1025.0,14.86,216,59,100,86.0,84.88,75.0,93.0,10.94,216,0.0,9.3,2.6,2.83,1.36,4.16,1.76,216,0,0.9,0,0.1,0,0.0,0.25,216,0,92,75.0,63.04,40.0,90.0,33.0,216
0,1,20,266.91,280.48,271.67,275.76,273.3,273.44,272.15,275.75,3.25,216,945,1042,1012.0,1013.56,1004.0,1022.0,15.98,216,37,100,92.0,86.18,80.0,95.0,11.69,215,0.3,9.3,2.6,2.83,1.5,3.6,1.56,216,0,0.9,0,0.09,0,0.0,0.23,216,0,100,75.0,61.97,20.0,90.0,34.78,216
0,1,21,266.15,284.21,271.92,276.12,273.49,273.95,271.14,277.09,3.94,216,990,1040,1018.0,1015.76,1008.0,1025.5,13.44,216,50,100,86.0,85.42,81.0,97.0,12.85,209,0.3,8.75,2.1,2.63,1.5,3.6,1.61,216,0,0.9,0,0.13,0,0.0,0.29,216,0,100,76.0,63.81,23.0,90.0,35.09,216
0,1,22,265.08,285.55,270.92,276.93,273.72,274.22,271.25,276.72,4.64,216,954,1036,1013.0,1013.08,1004.0,1025.0,15.67,216,50,100,87.5,86.94,81.5,94.5,10.78,212,0.0,8.7,2.1,2.61,1.25,3.97,1.71,216,0,0.9,0,0.17,0,0.0,0.33,216,0,92,75.0,65.01,48.0,90.0,31.9,216
0,1,23,264.97,282.72,271.44,276.43,273.67,273.78,271.36,276.61,3.92,216,960,1038,1022.0,1015.82,1002.0,1027.0,15.96,216,46,100,92.0,87.23,82.0,93.0,10.26,211,0.0,7.2,2.23,2.61,1.5,3.6,1.39,216,0,0.9,0,0.09,0,0.0,0.24,216,0,97,75.0,75.51,75.0,90.0,20.77,216
0,1,24,263.71,283.74,270.7,276.29,273.52,273.39,271.5,275.9,3.8,216,972,1038,1020.0,1016.29,1005.5,1025.0,13.67,216,50,100,86.0,85.56,80.0,92.5,10.79,216,0.3,9.26,2.6,2.62,1.5,3.85,1.51,216,0,0.9,0,0.08,0,0.0,0.24,216,0,92,75.0,63.07,41.0,90.0,33.53,216
0,1,25,261.89,285.01,270.52,276.92,273.19,273.17,271.66,275.02,4.25,216,972,1045,1018.0,1016.67,1011.5,1027.0,16.26,216,40,100,84.0,83.93,77.0,94.5,12.35,216,0.41,7.2,2.33,2.59,1.5,3.6,1.45,216,0,0.9,0,0.09,0,0.0,0.27,216,0,93,75.0,58.03,4.0,90.0,36.47,216
0,1,26,257.21,284.06,271.01,276.94,274.01,274.2,272.15,277.08,4.21,216,998,1044,1020.0,1021.45,1017.0,1025.0,8.73,216,54,100,81.0,83.44,76.0,93.0,10.91,214,0.0,6.7,2.6,2.73,1.57,3.6,1.37,216,0,0.9,0,0.09,0,0.0,0.23,216,0,100,75.0,66.23,75.0,90.0,32.27,216
0,1,27,257.13,282.58,271.79,278.37,275.43,274.97,273.04,278.58,4.78,216,991,1039,1019.0,1016.99,1010.0,1025.0,12.28,216,46,100,86.0,84.22,79.0,93.0,11.42,205,0.5,9.8,2.1,2.62,1.5,3.1,1.73,216,0,0.9,0,0.07,0,0.0,0.18,216,0,92,75.0,52.46,20.0,75.0,33.43,216
