,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,262.47,280.12,271.47,276.24,273.9,273.51,271.74,276.64,4.01,216,942,1038,1019.0,1012.41,1007.0,1027.0,23.87,216,7,100,93.0,91.53,86.0,100.0,10.06,212,0.0,10.3,1.32,1.65,0.77,2.1,1.47,216,0,0.9,0,0.07,0,0.0,0.16,216,0,100,87.0,66.56,40.0,90.0,33.54,216
0,1,2,262.33,284.12,271.34,277.27,274.39,274.06,272.65,276.54,3.45,216,929,1035,1014.0,1009.52,1008.0,1022.0,24.82,216,51,100,92.0,89.0,84.0,99.5,11.37,212,0.0,8.2,1.81,2.14,1.0,2.66,1.53,216,0,0.9,0,0.14,0,0.3,0.23,216,0,100,75.0,73.8,75.0,90.0,23.05,216
0,1,3,266.97,280.89,271.13,277.52,273.87,274.33,271.78,277.62,3.66,216,935,1038,1013.5,1009.32,1008.0,1027.0,27.34,216,50,100,92.0,87.59,81.0,95.0,11.75,213,0.0,17.7,1.5,2.48,1.0,3.15,2.51,216,0,0.9,0,0.14,0,0.3,0.24,216,0,93,75.0,62.71,40.0,90.0,32.09,216
0,1,4,266.68,281.57,271.89,277.5,275.62,274.96,271.58,277.48,3.51,216,948,1045,1021.5,1019.92,1008.0,1034.5,16.82,216,55,100,92.0,86.87,79.0,96.0,11.86,211,0.0,14.4,2.12,2.76,1.0,3.6,2.24,216,0,0.9,0,0.21,0,0.3,0.33,216,0,92,75.0,62.6,40.0,88.0,30.27,216
0,1,5,264.44,282.76,271.24,277.26,273.21,274.35,271.74,276.72,3.52,216,954,1045,1024.5,1019.46,1006.0,1034.0,18.33,216,1,100,92.0,87.89,84.0,95.0,11.69,210,0.0,7.2,1.5,1.93,1.0,2.6,1.32,216,0,0.9,0,0.09,0,0.3,0.19,216,0,92,75.0,53.85,9.5,75.0,35.35,216
0,1,6,260.76,282.79,271.49,277.37,274.12,273.82,271.32,277.13,4.42,216,985,1039,1029.5,1021.81,1011.0,1033.0,13.04,216,51,100,92.0,86.97,80.0,96.0,11.24,215,0.0,5.1,1.5,1.53,1.0,2.1,0.86,216,0,0.9,0,0.06,0,0.0,0.15,216,0,90,75.0,58.64,22.0,90.0,35.79,216
0,1,7,258.48,282.32,271.5,277.94,274.64,274.29,272.84,277.46,4.76,216,966,1043,1029.0,1022.59,1014.0,1032.0,12.68,216,44,100,87.0,86.66,80.0,93.5,10.79,216,0.0,5.18,1.29,1.47,1.0,2.06,0.88,216,0,0.9,0,0.07,0,0.0,0.18,216,0,91,75.0,61.74,40.0,90.0,33.68,216
0,1,8,267.3,283.44,272.91,277.99,275.44,275.24,273.21,277.17,3.27,216,971,1048,1024.5,1022.99,1016.0,1029.0,11.36,216,10,100,92.0,87.21,80.0,93.0,11.79,214,0.0,11.2,1.5,2.05,1.0,2.6,1.71,216,0,0.9,0,0.13,0,0.3,0.24,216,0,100,75.0,65.34,47.5,90.0,29.05,216
0,1,9,265.23,283.01,271.78,278.09,275.27,274.89,271.79,277.84,4.08,216,944,1048,1017.0,1017.86,1013.0,1026.0,14.8,216,2,100,92.0,86.67,79.0,99.0,14.72,202,0.0,14.4,1.97,2.66,1.0,2.76,2.55,216,0,3.0,0,0.19,0,0.3,0.43,216,0,100,80.5,72.46,75.0,90.0,25.84,216
0,1,10,267.35,284.25,273.09,277.16,275.08,275.21,271.35,278.02,4.13,216,965,1042,1017.0,1016.4,1012.0,1021.5,12.44,216,56,100,92.0,88.33,80.5,99.0,11.12,216,0.0,14.4,2.31,3.21,1.5,4.63,2.57,216,0,0.9,0,0.12,0,0.3,0.21,216,0,92,75.0,68.71,61.0,90.0,28.49,216
0,1,11,265.81,280.65,272.1,277.5,274.77,274.4,272.61,276.86,3.5,216,965,1043,1018.5,1017.9,1014.0,1026.5,13.78,216,49,100,91.0,88.81,81.0,100.0,11.27,212,0.0,12.8,1.61,2.35,1.0,3.09,2.03,216,0,3.0,0,0.16,0,0.3,0.37,216,0,92,75.0,68.22,68.0,90.0,28.3,216
0,1,12,266.23,279.28,272.31,277.64,275.49,275.03,273.83,276.64,2.35,216,936,1042,1020.0,1019.17,1015.5,1027.0,13.57,216,7,100,87.0,85.38,80.0,98.0,15.18,214,0.0,8.23,2.6,2.87,1.02,4.1,1.95,216,0,0.9,0,0.12,0,0.3,0.23,216,0,100,75.0,67.28,44.0,88.0,24.96,216
0,1,13,269.9,281.45,273.1,278.4,275.27,275.36,273.54,276.88,2.44,216,963,1034,1019.0,1017.79,1013.0,1021.0,7.5,216,1,100,86.0,81.53,74.0,99.0,19.18,210,0.0,22.5,2.63,3.73,1.5,5.5,3.2,216,0,0.9,0,0.14,0,0.3,0.27,216,0,100,75.0,60.07,31.5,88.0,31.87,216
0,1,14,268.45,281.05,272.79,276.91,275.15,274.81,272.65,277.17,2.74,216,1002,1029,1017.0,1016.27,1011.0,1020.0,6.4,216,46,100,92.0,88.48,81.0,100.0,12.23,199,0.0,19.3,2.66,3.74,1.5,5.66,3.01,216,0,3.0,0,0.12,0,0.3,0.29,216,0,100,75.0,70.78,75.0,90.0,25.13,216
0,1,15,263.96,282.41,270.79,276.7,273.53,273.92,271.77,276.51,2.99,216,957,1029,1019.0,1017.31,1013.0,1023.0,9.81,216,40,100,92.0,87.07,80.0,95.0,11.64,199,0.5,9.6,2.57,3.06,1.5,3.6,2.46,216,0,0.9,0,0.05,0,0.0,0.13,216,0,90,75.0,58.05,20.0,88.0,34.63,216
0,1,16,263.51,283.38,271.57,276.66,273.61,273.68,270.84,277.49,4.3,216,1001,1029,1020.0,1017.22,1006.0,1026.0,9.42,216,15,100,90.0,85.0,80.0,93.0,12.94,207,0.3,9.6,1.73,2.9,1.0,3.6,2.82,216,0,3.0,0,0.14,0,0.3,0.32,216,0,99,75.0,59.32,39.0,76.0,31.62,216
0,1,17,263.12,284.12,270.53,276.36,273.9,274.0,270.04,276.99,5.01,216,675,1030,1020.0,1004.29,1006.0,1024.0,39.43,214,32,100,91.0,86.08,79.0,98.0,13.25,215,0.0,9.6,2.66,3.15,1.5,4.1,2.14,216,0,0.9,0,0.13,0,0.3,0.21,216,0,93,75.0,70.32,75.0,88.0,23.84,216
0,1,18,259.32,284.12,269.8,275.13,272.07,272.61,268.2,275.55,5.57,216,929,1030,1018.0,1010.2,1011.5,1027.0,29.44,216,52,100,86.0,84.0,73.0,96.0,13.29,216,0.0,8.7,1.93,2.12,1.02,2.66,1.43,216,0,0.9,0,0.09,0,0.0,0.2,216,0,100,75.0,51.82,20.0,75.0,33.07,216
0,1,19,263.34,284.12,269.46,275.65,271.87,272.32,269.23,275.16,4.61,216,929,1038,1015.0,1012.27,1010.0,1024.0,21.88,216,45,100,91.5,86.01,77.5,96.0,12.78,216,0.0,9.8,1.54,2.36,1.0,2.66,1.91,216,0,0.9,0,0.07,0,0.0,0.16,216,0,100,75.0,66.39,47.5,88.0,28.68,216
0,1,20,264.96,277.97,270.47,275.29,272.78,272.56,271.14,274.84,3.03,216,911,1041,1014.0,1012.75,1005.0,1020.0,18.34,216,56,100,92.0,88.06,80.0,98.0,11.01,216,0.0,8.2,1.5,2.14,1.0,2.6,1.8,216,0,0.9,0,0.04,0,0.0,0.13,216,0,100,75.5,71.02,68.0,90.0,27.44,216
0,1,21,265.16,282.58,270.29,276.33,273.13,273.33,270.95,275.79,3.86,216,988,1041,1017.0,1015.1,1006.5,1024.5,12.94,216,43,100,92.0,87.83,81.0,98.0,11.8,204,0.44,8.2,1.58,2.13,1.03,2.66,1.46,216,0,0.9,0,0.09,0,0.0,0.22,216,0,90,75.0,67.41,52.5,90.0,26.07,216
0,1,22,264.4,281.13,270.06,276.54,272.72,273.25,270.56,276.81,4.18,216,920,1036,1015.0,1011.86,1003.0,1025.0,20.52,216,40,100,92.0,89.15,83.0,98.0,10.44,211,0.0,11.32,1.54,2.08,1.03,2.6,1.59,216,0,0.9,0,0.11,0,0.0,0.25,216,0,100,75.0,60.23,40.0,90.0,32.99,216
0,1,23,264.17,283.38,270.15,276.4,272.96,273.03,270.62,275.4,3.81,216,926,1037,1021.5,1014.11,1001.5,1028.0,20.47,216,60,100,92.0,90.77,87.0,97.0,8.48,215,0.0,9.6,1.8,2.31,1.0,2.78,1.75,216,0,0.9,0,0.05,0,0.0,0.13,216,0,100,75.0,68.2,68.0,90.0,28.51,216
0,1,24,260.06,283.15,269.24,275.99,272.46,272.21,270.65,274.61,4.1,216,912,1036,1022.0,1013.59,1004.0,1027.0,22.9,215,38,100,92.0,88.74,84.0,100.0,12.33,214,0.0,9.6,1.5,1.77,1.0,2.1,1.36,216,0,3.0,0,0.05,0,0.0,0.23,216,0,100,75.0,57.41,20.0,90.0,36.83,216
0,1,25,256.64,283.72,268.97,275.58,272.12,271.83,269.67,273.76,4.8,216,914,1040,1017.0,1011.68,1008.5,1024.0,26.54,216,40,100,91.0,87.7,80.0,99.0,11.71,215,0.0,19.3,1.66,2.38,1.0,2.66,2.37,216,0,0.3,0,0.03,0,0.0,0.09,216,0,93,73.0,50.08,0.0,88.0,37.28,216
0,1,26,257.94,283.48,269.04,276.1,272.27,272.76,270.5,275.89,4.26,216,1001,1039,1020.0,1020.71,1014.0,1023.0,8.25,216,52,100,87.0,84.92,79.0,93.0,11.6,216,0.5,7.7,2.03,2.1,1.0,3.1,1.21,216,0,0.9,0,0.07,0,0.0,0.18,216,0,100,75.0,63.58,40.0,90.0,33.11,216
0,1,27,255.93,282.49,268.83,277.43,273.8,273.33,270.94,276.82,4.78,216,992,1035,1019.0,1017.36,1011.0,1024.0,11.25,216,36,100,90.0,86.36,81.0,95.0,12.27,214,0.0,10.3,1.63,2.44,1.0,3.2,1.96,216,0,0.9,0,0.15,0,0.0,0.31,216,0,92,64.0,54.09,24.0,86.5,31.64,216
0,1,28,265.01,283.09,271.32,278.41,275.14,274.42,270.62,277.22,4.47,216,996,1038,1014.0,1016.06,1007.0,1026.0,11.82,216,46,100,90.0,85.4,80.0,94.0,12.29,214,0.0,12.8,1.52,3.02,1.0,4.36,2.7,216,0,3.0,0,0.07,0,0.0,0.25,216,0,92,75.0,58.31,36.5,81.0,29.99,216
0,1,29,263.61,282.92,272.02,277.83,274.52,274.57,272.17,277.57,4.16,216,942,1036,1013.0,1013.91,1006.0,1024.0,14.12,216,23,100,92.0,88.03,81.0,97.5,12.03,212,0.41,14.4,1.69,2.97,1.0,4.8,2.69,216,0,0.9,0,0.09,0,0.3,0.17,216,0,100,75.0,57.63,36.0,80.5,31.09,216
0,1,30,264.58,283.88,271.77,277.99,274.66,274.62,271.85,277.82,3.87,216,976,1033,1017.0,1011.64,1000.0,1022.0,12.78,216,37,100,93.0,89.14,85.0,96.0,10.16,214,0.0,10.3,2.01,2.83,1.0,4.1,2.36,216,0,0.9,0,0.09,0,0.0,0.18,216,0,100,75.0,65.64,54.0,88.0,27.44,216
0,1,31,264.21,285.7,273.7,279.3,277.15,276.23,272.2,279.66,4.76,216,894,1026,1016.0,1004.29,998.0,1018.0,26.1,215,61,100,93.0,89.98,86.0,98.0,9.52,215,0.0,7.7,2.1,2.47,1.23,3.42,1.59,216,0,3.0,0,0.14,0,0.3,0.3,216,0,99,75.0,66.07,60.0,90.0,27.52,216
0,2,1,262.38,285.41,273.33,279.35,277.0,276.5,273.75,280.0,5.05,216,900,1028,1006.0,998.39,993.0,1017.0,33.0,216,56,100,93.0,89.11,81.0,99.0,11.05,210,0.0,9.8,2.1,2.82,1.05,3.88,2.25,216,0,0.9,0,0.1,0,0.0,0.21,216,0,100,75.0,64.09,41.0,88.0,30.7,216
0,2,2,260.95,284.47,273.97,279.18,276.95,276.62,272.8,280.57,4.79,216,912,1028,1009.0,1000.66,1001.0,1017.0,29.62,216,51,100,93.0,89.39,81.0,100.0,11.83,216,0.0,10.3,2.1,2.67,1.34,3.6,1.89,216,0,0.9,0,0.07,0,0.0,0.18,216,0,100,75.0,68.6,68.0,90.0,28.62,216
