,month,day,temp.record_min,temp.record_max,temp.average_min,temp.average_max,temp.median,temp.mean,temp.p25,temp.p75,temp.st_dev,temp.num,pressure.min,pressure.max,pressure.median,pressure.mean,pressure.p25,pressure.p75,pressure.st_dev,pressure.num,humidity.min,humidity.max,humidity.median,humidity.mean,humidity.p25,humidity.p75,humidity.st_dev,humidity.num,wind.min,wind.max,wind.median,wind.mean,wind.p25,wind.p75,wind.st_dev,wind.num,precipitation.min,precipitation.max,precipitation.median,precipitation.mean,precipitation.p25,precipitation.p75,precipitation.st_dev,precipitation.num,clouds.min,clouds.max,clouds.median,clouds.mean,clouds.p25,clouds.p75,clouds.st_dev,clouds.num
0,1,1,262.59,282.88,273.1,278.11,276.01,275.17,273.07,278.35,4.22,216,957,1038,1020.0,1015.56,1010.0,1027.5,19.08,216,61,100,87.0,86.58,80.0,93.0,9.77,206,0.0,9.8,1.07,1.83,1.0,2.11,1.66,216,0,3.0,0,0.1,0,0.0,0.31,216,0,90,75.0,57.96,0.0,82.5,35.43,216
0,1,2,264.13,286.2,272.62,278.8,276.06,275.6,274.17,278.11,3.63,216,944,1038,1015.5,1013.96,1011.0,1023.0,18.96,216,41,100,83.0,81.75,74.0,93.0,13.37,209,0.0,8.2,1.62,2.37,1.0,3.6,1.82,216,0,3.0,0,0.14,0,0.3,0.35,216,0,100,75.0,65.44,75.0,77.5,28.15,216
0,1,3,266.02,286.9,272.72,279.15,275.51,275.92,274.08,278.1,3.42,216,951,1034,1016.0,1010.65,1009.0,1027.5,23.87,216,37,100,85.0,81.15,74.0,93.0,15.5,213,0.0,12.9,2.1,3.09,1.0,5.1,2.57,216,0,3.0,0,0.21,0,0.3,0.48,216,0,100,75.0,56.84,20.0,90.0,35.21,216
0,1,4,268.28,283.46,272.72,278.75,276.2,276.0,273.89,278.26,3.35,216,954,1040,1012.0,1012.2,1003.5,1032.0,23.02,216,38,100,86.0,83.76,75.0,93.0,13.24,212,0.0,11.3,2.1,2.89,1.0,4.1,2.57,216,0,12.0,0,0.3,0,0.3,0.91,216,0,92,75.0,54.02,20.0,75.0,33.55,216
0,1,5,266.11,285.18,272.81,278.9,275.22,275.4,273.21,277.93,4.24,216,952,1039,1013.0,1013.32,1005.0,1032.0,22.55,216,44,100,81.0,81.17,74.0,90.0,11.3,209,0.0,8.2,1.5,2.27,1.0,3.6,1.78,216,0,3.0,0,0.14,0,0.0,0.42,216,0,92,40.0,45.95,20.0,75.0,32.16,216
0,1,6,266.73,283.51,272.63,278.48,276.28,275.26,272.4,278.0,4.08,216,948,1035,1017.0,1012.81,1005.0,1032.0,24.71,216,54,100,86.0,82.24,70.0,93.0,12.8,216,0.0,8.7,1.5,2.11,0.97,2.18,1.97,216,0,3.0,0,0.07,0,0.0,0.33,216,0,92,75.0,48.24,11.0,75.0,33.96,216
0,1,7,265.79,285.37,273.15,278.62,276.5,275.55,272.53,279.07,4.44,216,952,1034,1021.0,1017.22,1012.0,1032.0,19.8,216,58,100,81.0,81.58,73.0,93.0,11.11,214,0.0,6.2,1.5,1.81,1.0,2.59,1.28,216,0,3.0,0,0.1,0,0.0,0.47,216,0,100,75.0,58.64,35.0,75.0,31.87,216
0,1,8,266.53,285.77,273.42,278.89,276.5,276.18,273.82,278.62,3.4,216,956,1036,1022.0,1015.19,1014.0,1028.0,20.58,216,56,100,86.0,84.98,80.0,93.0,10.41,216,0.5,7.2,1.5,1.73,1.0,2.11,1.08,216,0,3.0,0,0.11,0,0.0,0.35,216,0,100,75.0,61.48,40.0,75.0,29.2,216
0,1,9,270.11,284.21,273.65,278.53,275.74,276.22,273.72,278.75,3.21,216,961,1038,1017.0,1015.81,1013.0,1026.0,14.63,216,34,100,87.0,82.25,71.0,93.0,16.06,195,0.0,9.26,1.5,2.22,1.0,2.97,1.82,216,0,3.0,0,0.11,0,0.0,0.3,216,0,100,75.0,68.65,75.0,90.0,25.88,216
0,1,10,269.42,284.3,273.66,278.53,275.69,276.17,273.13,279.02,3.52,216,949,1030,1017.0,1009.06,1011.0,1019.0,20.18,216,45,100,92.0,85.49,74.0,96.0,12.99,213,0.0,9.3,1.57,2.82,1.0,4.6,2.29,216,0,0.9,0,0.11,0,0.0,0.23,216,0,96,75.0,62.97,40.0,75.0,29.11,216
0,1,11,268.14,284.67,273.08,278.67,275.18,275.68,273.11,277.97,3.47,216,945,1032,1018.0,1010.98,1012.0,1023.0,21.89,216,49,100,92.0,84.81,70.0,98.0,14.23,210,0.5,10.3,1.69,2.47,1.11,3.09,2.06,216,0,3.0,0,0.17,0,0.0,0.47,216,0,92,75.0,68.51,75.0,90.0,25.06,216
0,1,12,267.89,281.03,272.76,278.73,276.15,275.75,273.32,278.08,2.88,216,950,1030,1020.0,1012.77,1012.0,1024.0,21.4,216,49,100,87.0,87.26,81.0,93.0,9.94,213,0.16,9.8,1.78,2.47,1.0,3.1,2.1,216,0,0.9,0,0.12,0,0.0,0.26,216,0,100,75.0,69.34,75.0,80.0,24.59,216
0,1,13,270.33,280.91,272.64,278.9,275.76,275.68,274.28,277.24,2.27,216,945,1027,1019.0,1009.49,1012.0,1021.5,23.46,216,34,100,90.0,85.79,80.0,93.0,12.56,213,0.0,7.2,1.66,2.16,1.0,2.99,1.62,216,0,12.0,0,0.18,0,0.3,0.86,216,0,100,75.0,61.81,40.0,75.0,28.66,216
